WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;09/08/2024;20:00;Blackburn;Derby County;4;2;2
1;09/08/2024;20:00;Preston;Sheffield Utd;0;2;-2
1;10/08/2024;12:30;Millwall;Watford;2;3;-1
1;10/08/2024;12:30;Cardiff City;Sunderland;0;2;-2
1;10/08/2024;12:30;QPR;West Brom;1;3;-2
1;10/08/2024;12:30;Middlesbrough;Swansea City;1;0;1
1;10/08/2024;12:30;Hull City;Bristol City;1;1;0
1;10/08/2024;12:30;Oxford United;Norwich City;2;0;2
1;10/08/2024;12:30;Leeds United;Portsmouth;3;3;0
1;10/08/2024;12:30;Stoke City;Coventry City;1;0;1
1;11/08/2024;16:00;Sheffield Weds;Plymouth Argyle;4;0;4
1;12/08/2024;20:00;Luton Town;Burnley;1;4;-3
2;16/08/2024;20:00;Coventry City;Oxford United;3;2;1
2;17/08/2024;12:30;Portsmouth;Luton Town;0;0;0
2;17/08/2024;12:30;West Brom;Leeds United;0;0;0
2;17/08/2024;12:30;Derby County;Middlesbrough;1;0;1
2;17/08/2024;15:00;Bristol City;Millwall;4;3;1
2;17/08/2024;15:00;Swansea City;Preston;3;0;3
2;17/08/2024;15:00;Burnley;Cardiff City;5;0;5
2;17/08/2024;15:00;Plymouth Argyle;Hull City;1;1;0
2;17/08/2024;15:00;Norwich City;Blackburn;2;2;0
2;17/08/2024;15:00;Sheffield Utd;QPR;2;2;0
2;17/08/2024;15:00;Watford;Stoke City;3;0;3
2;18/08/2024;12:00;Sunderland;Sheffield Weds;4;0;4
3;23/08/2024;20:00;Sheffield Weds;Leeds United;0;2;-2
3;24/08/2024;12:30;QPR;Plymouth Argyle;1;1;0
3;24/08/2024;12:30;Hull City;Millwall;0;0;0
3;24/08/2024;12:30;Bristol City;Coventry City;1;1;0
3;24/08/2024;15:00;Sunderland;Burnley;1;0;1
3;24/08/2024;15:00;Preston;Luton Town;1;0;1
3;24/08/2024;15:00;Watford;Derby County;2;1;1
3;24/08/2024;15:00;Blackburn;Oxford United;2;1;1
3;24/08/2024;15:00;Stoke City;West Brom;1;2;-1
3;24/08/2024;15:00;Middlesbrough;Portsmouth;2;2;0
3;24/08/2024;15:00;Norwich City;Sheffield Utd;1;1;0
3;25/08/2024;15:00;Swansea City;Cardiff City;1;1;0
4;30/08/2024;20:00;Luton Town;QPR;1;2;-1
4;31/08/2024;12:30;Cardiff City;Middlesbrough;0;2;-2
4;31/08/2024;12:30;Burnley;Blackburn;1;1;0
4;31/08/2024;12:30;Coventry City;Norwich City;0;1;-1
4;31/08/2024;15:00;Portsmouth;Sunderland;1;3;-2
4;31/08/2024;15:00;Derby County;Bristol City;3;0;3
4;31/08/2024;15:00;Leeds United;Hull City;2;0;2
4;31/08/2024;15:00;Oxford United;Preston;3;1;2
4;31/08/2024;15:00;West Brom;Swansea City;1;0;1
4;31/08/2024;15:00;Millwall;Sheffield Weds;3;0;3
4;31/08/2024;15:00;Plymouth Argyle;Stoke City;0;1;-1
4;01/09/2024;15:00;Sheffield Utd;Watford;1;0;1
5;13/09/2024;20:00;Hull City;Sheffield Utd;0;2;-2
5;14/09/2024;12:30;Oxford United;Stoke City;1;0;1
5;14/09/2024;12:30;Leeds United;Burnley;0;1;-1
5;14/09/2024;12:30;Millwall;Luton Town;0;1;-1
5;14/09/2024;15:00;Swansea City;Norwich City;1;0;1
5;14/09/2024;15:00;Derby County;Cardiff City;1;0;1
5;14/09/2024;15:00;Sheffield Weds;QPR;1;1;0
5;14/09/2024;15:00;Blackburn;Bristol City;3;0;3
5;14/09/2024;15:00;Watford;Coventry City;1;1;0
5;14/09/2024;15:00;Plymouth Argyle;Sunderland;3;2;1
5;14/09/2024;15:00;Middlesbrough;Preston;1;1;0
5;15/09/2024;15:00;Portsmouth;West Brom;0;3;-3
6;20/09/2024;20:00;Stoke City;Hull City;1;3;-2
6;21/09/2024;12:30;QPR;Millwall;1;1;0
6;21/09/2024;12:30;Norwich City;Watford;4;1;3
6;21/09/2024;12:30;Sunderland;Middlesbrough;1;0;1
6;21/09/2024;15:00;West Brom;Plymouth Argyle;1;0;1
6;21/09/2024;15:00;Luton Town;Sheffield Weds;2;1;1
6;21/09/2024;15:00;Bristol City;Oxford United;2;1;1
6;21/09/2024;15:00;Sheffield Utd;Derby County;1;0;1
6;21/09/2024;15:00;Burnley;Portsmouth;2;1;1
6;21/09/2024;15:00;Coventry City;Swansea City;1;2;-1
6;21/09/2024;15:00;Cardiff City;Leeds United;0;2;-2
6;22/09/2024;12:00;Preston;Blackburn;0;0;0
7;27/09/2024;20:00;Plymouth Argyle;Luton Town;3;1;2
7;28/09/2024;12:30;Blackburn;QPR;2;0;2
7;28/09/2024;12:30;Derby County;Norwich City;2;3;-1
7;28/09/2024;12:30;Sheffield Weds;West Brom;3;2;1
7;28/09/2024;15:00;Leeds United;Coventry City;3;0;3
7;28/09/2024;15:00;Watford;Sunderland;2;1;1
7;28/09/2024;15:00;Millwall;Preston;3;1;2
7;28/09/2024;15:00;Middlesbrough;Stoke City;2;0;2
7;28/09/2024;15:00;Oxford United;Burnley;0;0;0
7;28/09/2024;15:00;Portsmouth;Sheffield Utd;0;0;0
7;28/09/2024;15:00;Hull City;Cardiff City;4;1;3
7;29/09/2024;15:00;Swansea City;Bristol City;1;1;0
8;01/10/2024;19:45;Burnley;Plymouth Argyle;1;0;1
8;01/10/2024;19:45;QPR;Hull City;1;3;-2
8;01/10/2024;19:45;Sunderland;Derby County;2;0;2
8;01/10/2024;19:45;Luton Town;Oxford United;2;2;0
8;01/10/2024;19:45;Coventry City;Blackburn;3;0;3
8;01/10/2024;19:45;Cardiff City;Millwall;1;0;1
8;01/10/2024;19:45;Norwich City;Leeds United;1;1;0
8;01/10/2024;20:00;West Brom;Middlesbrough;0;1;-1
8;02/10/2024;19:45;Stoke City;Portsmouth;6;1;5
8;02/10/2024;19:45;Sheffield Utd;Swansea City;1;0;1
8;02/10/2024;19:45;Preston;Watford;3;0;3
8;02/10/2024;20:00;Bristol City;Sheffield Weds;0;0;0
9;04/10/2024;20:00;Sunderland;Leeds United;2;2;0
9;05/10/2024;12:30;Burnley;Preston;0;0;0
9;05/10/2024;12:30;Portsmouth;Oxford United;1;1;0
9;05/10/2024;12:30;Norwich City;Hull City;4;0;4
