WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;16/08/2024;20:45;Le Havre;Paris S-G;1;4;-3
1;17/08/2024;17:00;Brest;Marseille;1;5;-4
1;17/08/2024;19:00;Reims;Lille;0;2;-2
1;17/08/2024;21:00;Monaco;Saint-Étienne;1;0;1
1;18/08/2024;15:00;Auxerre;Nice;2;1;1
1;18/08/2024;17:00;Angers;Lens;0;1;-1
1;18/08/2024;17:00;Toulouse;Nantes;0;0;0
1;18/08/2024;17:00;Montpellier;Strasbourg;1;1;0
1;18/08/2024;20:45;Rennes;Lyon;3;0;3
2;23/08/2024;20:45;Paris S-G;Montpellier;6;0;6
2;24/08/2024;17:00;Lyon;Monaco;0;2;-2
2;24/08/2024;19:00;Lille;Angers;2;0;2
2;24/08/2024;21:00;Saint-Étienne;Le Havre;0;2;-2
2;25/08/2024;15:00;Lens;Brest;2;0;2
2;25/08/2024;17:00;Nantes;Auxerre;2;0;2
2;25/08/2024;17:00;Nice;Toulouse;1;1;0
2;25/08/2024;17:00;Strasbourg;Rennes;3;1;2
2;25/08/2024;20:45;Marseille;Reims;2;2;0
3;30/08/2024;20:45;Lyon;Strasbourg;4;3;1
3;31/08/2024;17:00;Brest;Saint-Étienne;4;0;4
3;31/08/2024;19:00;Montpellier;Nantes;1;3;-2
3;31/08/2024;21:00;Toulouse;Marseille;1;3;-2
3;01/09/2024;15:00;Monaco;Lens;1;1;0
3;01/09/2024;17:00;Reims;Rennes;2;1;1
3;01/09/2024;17:00;Le Havre;Auxerre;3;1;2
3;01/09/2024;17:00;Angers;Nice;1;4;-3
3;01/09/2024;20:45;Lille;Paris S-G;1;3;-2
4;13/09/2024;20:45;Saint-Étienne;Lille;1;0;1
4;14/09/2024;17:00;Marseille;Nice;2;0;2
4;14/09/2024;19:00;Auxerre;Monaco;0;3;-3
4;14/09/2024;21:00;Paris S-G;Brest;3;1;2
4;15/09/2024;15:00;Rennes;Montpellier;3;0;3
4;15/09/2024;17:00;Nantes;Reims;1;2;-1
4;15/09/2024;17:00;Strasbourg;Angers;1;1;0
4;15/09/2024;17:00;Toulouse;Le Havre;2;0;2
4;15/09/2024;20:45;Lens;Lyon;0;0;0
5;20/09/2024;20:45;Nice;Saint-Étienne;8;0;8
5;21/09/2024;17:00;Lille;Strasbourg;3;3;0
5;21/09/2024;19:00;Rennes;Lens;1;1;0
5;21/09/2024;21:00;Reims;Paris S-G;1;1;0
5;22/09/2024;15:00;Monaco;Le Havre;3;1;2
5;22/09/2024;17:00;Brest;Toulouse;2;0;2
5;22/09/2024;17:00;Angers;Nantes;1;1;0
5;22/09/2024;17:00;Montpellier;Auxerre;3;2;1
5;22/09/2024;20:45;Lyon;Marseille;2;3;-1
6;27/09/2024;19:00;Auxerre;Brest;3;0;3
6;27/09/2024;21:00;Paris S-G;Rennes;3;1;2
6;28/09/2024;17:00;Lens;Nice;0;0;0
6;28/09/2024;19:00;Le Havre;Lille;0;3;-3
6;28/09/2024;21:00;Monaco;Montpellier;2;1;1
6;29/09/2024;15:00;Toulouse;Lyon;1;2;-1
6;29/09/2024;17:00;Nantes;Saint-Étienne;2;2;0
6;29/09/2024;17:00;Angers;Reims;1;3;-2
6;29/09/2024;20:45;Strasbourg;Marseille;1;0;1
7;04/10/2024;20:45;Marseille;Angers;1;1;0
7;05/10/2024;17:00;Saint-Étienne;Auxerre;3;1;2
7;05/10/2024;19:00;Lille;Toulouse;2;1;1
7;05/10/2024;21:00;Rennes;Monaco;1;2;-1
7;06/10/2024;15:00;Lyon;Nantes;2;0;2
7;06/10/2024;17:00;Brest;Le Havre;2;0;2
7;06/10/2024;17:00;Strasbourg;Lens;2;2;0
7;06/10/2024;17:00;Reims;Montpellier;4;2;2
7;06/10/2024;20:45;Nice;Paris S-G;1;1;0
8;18/10/2024;20:45;Monaco;Lille;0;0;0
8;19/10/2024;17:00;Brest;Rennes;1;1;0
8;19/10/2024;19:00;Saint-Étienne;Lens;0;2;-2
8;19/10/2024;21:00;Paris S-G;Strasbourg;4;2;2
8;20/10/2024;15:00;Le Havre;Lyon;0;4;-4
