WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;09/08/2024;20:00;Chesterfield;Swindon Town;1;1;0
1;10/08/2024;15:00;Walsall;Morecambe;1;0;1
1;10/08/2024;15:00;Tranmere Rovers;Notts County;0;0;0
1;10/08/2024;15:00;Gillingham;Carlisle United;4;1;3
1;10/08/2024;15:00;Fleetwood Town;Grimsby Town;1;0;1
1;10/08/2024;15:00;Harrogate;Bromley;0;2;-2
1;10/08/2024;15:00;Cheltenham;Newport County;3;2;1
1;10/08/2024;15:00;MK Dons;Bradford City;1;2;-1
1;10/08/2024;15:00;Barrow;Crewe Alexandra;1;0;1
1;10/08/2024;15:00;Doncaster;Acc'ton Stanley;4;1;3
1;10/08/2024;15:00;AFC Wimbledon;Colchester Utd;4;2;2
1;10/08/2024;15:00;Salford City;Port Vale;0;2;-2
2;17/08/2024;12:30;Carlisle United;Barrow;1;0;1
2;17/08/2024;12:30;Bromley;AFC Wimbledon;2;0;2
2;17/08/2024;15:00;Newport County;Doncaster;3;1;2
2;17/08/2024;15:00;Acc'ton Stanley;Harrogate;3;3;0
2;17/08/2024;15:00;Grimsby Town;Cheltenham;3;2;1
2;17/08/2024;15:00;Swindon Town;Walsall;0;4;-4
2;17/08/2024;15:00;Colchester Utd;MK Dons;2;0;2
2;17/08/2024;15:00;Morecambe;Gillingham;0;1;-1
2;17/08/2024;15:00;Port Vale;Tranmere Rovers;0;0;0
2;17/08/2024;15:00;Crewe Alexandra;Chesterfield;0;5;-5
2;17/08/2024;15:00;Bradford City;Salford City;0;0;0
2;18/08/2024;13:00;Notts County;Fleetwood Town;2;2;0
3;22/08/2024;20:00;Notts County;Grimsby Town;4;1;3
3;24/08/2024;12:30;Crewe Alexandra;Swindon Town;0;0;0
3;24/08/2024;12:30;Tranmere Rovers;Walsall;1;0;1
3;24/08/2024;15:00;MK Dons;Carlisle United;3;0;3
3;24/08/2024;15:00;Chesterfield;Salford City;1;1;0
3;24/08/2024;15:00;Fleetwood Town;Gillingham;0;0;0
3;24/08/2024;15:00;Doncaster;Morecambe;1;0;1
3;24/08/2024;15:00;Barrow;Port Vale;4;0;4
3;24/08/2024;15:00;Newport County;Acc'ton Stanley;3;1;2
3;24/08/2024;15:00;Cheltenham;AFC Wimbledon;0;1;-1
3;24/08/2024;15:00;Bradford City;Bromley;3;1;2
3;24/08/2024;15:00;Colchester Utd;Harrogate;0;1;-1
4;31/08/2024;12:30;Gillingham;Chesterfield;1;0;1
4;31/08/2024;12:30;Port Vale;Doncaster;2;3;-1
4;31/08/2024;15:00;AFC Wimbledon;Fleetwood Town;1;0;1
4;31/08/2024;15:00;Walsall;Cheltenham;2;1;1
4;31/08/2024;15:00;Bromley;Crewe Alexandra;1;2;-1
4;31/08/2024;15:00;Morecambe;Newport County;0;1;-1
4;31/08/2024;15:00;Acc'ton Stanley;Colchester Utd;1;1;0
4;31/08/2024;15:00;Grimsby Town;Bradford City;2;1;1
4;31/08/2024;15:00;Swindon Town;Notts County;1;2;-1
4;31/08/2024;15:00;Carlisle United;Tranmere Rovers;1;2;-1
4;31/08/2024;15:00;Harrogate;Barrow;0;1;-1
4;02/09/2024;20:00;Salford City;MK Dons;1;0;1
5;07/09/2024;15:00;Newport County;Port Vale;1;4;-3
5;07/09/2024;15:00;Crewe Alexandra;Morecambe;1;0;1
5;07/09/2024;15:00;Bradford City;Carlisle United;2;1;1
5;07/09/2024;15:00;MK Dons;Walsall;1;0;1
5;07/09/2024;15:00;Cheltenham;Harrogate;1;0;1
5;07/09/2024;15:00;Barrow;Swindon Town;1;1;0
5;07/09/2024;15:00;Doncaster;Gillingham;1;0;1
5;07/09/2024;15:00;Notts County;Acc'ton Stanley;2;0;2
5;07/09/2024;15:00;Colchester Utd;Bromley;1;1;0
5;07/09/2024;15:00;Chesterfield;Grimsby Town;2;1;1
6;12/09/2024;20:00;Harrogate;Doncaster;2;0;2
6;14/09/2024;12:30;AFC Wimbledon;MK Dons;3;0;3
6;14/09/2024;12:30;Swindon Town;Newport County;4;0;4
6;14/09/2024;15:00;Walsall;Bradford City;2;1;1
