WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;15/08/2024;20:30;Granada;Albacete;1;2;-1
1;16/08/2024;19:00;CD Mirandés;Córdoba;1;0;1
1;16/08/2024;21:30;Cádiz;Zaragoza;0;4;-4
1;17/08/2024;17:00;Eibar;Castellón;1;0;1
1;17/08/2024;17:00;Racing Ferrol;Málaga;2;2;0
1;17/08/2024;19:00;La Coruña;Oviedo;0;1;-1
1;18/08/2024;17:00;Racing Sant;Almería;2;2;0
1;18/08/2024;17:00;Sporting Gijón;Levante;1;2;-1
1;18/08/2024;19:30;Burgos;Cartagena;3;1;2
1;18/08/2024;19:30;Elche;Huesca;0;1;-1
1;19/08/2024;20:30;Eldense;Tenerife;2;1;1
2;23/08/2024;19:00;Racing Sant;Eibar;2;2;0
2;23/08/2024;21:30;Huesca;La Coruña;2;1;1
2;24/08/2024;17:00;Racing Ferrol;Granada;0;1;-1
2;24/08/2024;17:00;Sporting Gijón;Eldense;0;0;0
2;24/08/2024;19:00;Levante;Cádiz;1;1;0
2;24/08/2024;20:30;Tenerife;Almería;0;1;-1
2;24/08/2024;21:30;Málaga;CD Mirandés;1;1;0
2;25/08/2024;19:00;Albacete;Elche;1;0;1
2;25/08/2024;21:30;Castellón;Oviedo;0;0;0
2;26/08/2024;19:00;Cartagena;Zaragoza;1;2;-1
2;26/08/2024;21:30;Córdoba;Burgos;2;2;0
3;30/08/2024;19:00;Granada;Huesca;1;3;-2
3;30/08/2024;21:30;Oviedo;Racing Sant;1;3;-2
3;31/08/2024;19:00;Cádiz;Tenerife;2;2;0
3;31/08/2024;21:30;Almería;Sporting Gijón;1;1;0
3;31/08/2024;21:30;Málaga;Albacete;2;1;1
3;01/09/2024;17:00;La Coruña;Racing Ferrol;1;0;1
3;01/09/2024;17:00;Burgos;Castellón;0;2;-2
3;01/09/2024;19:00;Eldense;Cartagena;1;2;-1
3;01/09/2024;19:00;CD Mirandés;Zaragoza;0;0;0
3;02/09/2024;19:00;Eibar;Levante;2;2;0
3;02/09/2024;21:30;Elche;Córdoba;3;1;2
4;06/09/2024;20:00;Tenerife;Racing Sant;0;1;-1
4;07/09/2024;16:15;Granada;La Coruña;1;1;0
4;07/09/2024;18:30;Sporting Gijón;Oviedo;3;1;2
4;07/09/2024;18:30;Huesca;Burgos;0;1;-1
4;07/09/2024;21:00;Córdoba;Málaga;0;0;0
4;08/09/2024;14:00;Racing Ferrol;CD Mirandés;0;0;0
4;08/09/2024;16:15;Cartagena;Levante;0;1;-1
4;08/09/2024;18:30;Eldense;Almería;1;0;1
4;08/09/2024;18:30;Zaragoza;Elche;3;0;3
4;09/09/2024;21:00;Castellón;Cádiz;1;3;-2
4;09/09/2024;21:00;Albacete;Eibar;0;1;-1
5;13/09/2024;20:30;Córdoba;La Coruña;2;0;2
5;14/09/2024;16:15;Levante;Eldense;3;1;2
5;14/09/2024;16:15;Eibar;Tenerife;1;0;1
5;14/09/2024;18:30;Racing Sant;Sporting Gijón;1;0;1
5;14/09/2024;18:30;Málaga;Huesca;1;0;1
5;15/09/2024;14:00;CD Mirandés;Albacete;2;0;2
5;15/09/2024;16:15;Oviedo;Cartagena;1;0;1
5;15/09/2024;18:30;Burgos;Zaragoza;1;0;1
5;15/09/2024;18:30;Cádiz;Racing Ferrol;0;0;0
5;15/09/2024;21:00;Elche;Granada;2;2;0
5;16/09/2024;20:30;Almería;Castellón;2;5;-3
6;20/09/2024;20:30;Granada;Málaga;2;2;0
6;21/09/2024;16:15;Racing Ferrol;Albacete;1;4;-3
6;21/09/2024;18:30;La Coruña;Burgos;0;2;-2
6;21/09/2024;18:30;Eldense;Oviedo;1;1;0
6;21/09/2024;21:00;Zaragoza;Levante;2;1;1
6;22/09/2024;13:00;Tenerife;Sporting Gijón;1;1;0
6;22/09/2024;16:15;Cartagena;Cádiz;1;2;-1
6;22/09/2024;16:15;Castellón;Racing Sant;0;1;-1
6;22/09/2024;18:30;Elche;CD Mirandés;1;0;1
6;22/09/2024;21:00;Almería;Eibar;2;2;0
6;23/09/2024;20:30;Huesca;Córdoba;4;1;3
7;27/09/2024;20:30;Albacete;La Coruña;2;5;-3
7;28/09/2024;16:15;CD Mirandés;Huesca;1;0;1
7;28/09/2024;16:15;Cádiz;Eldense;1;2;-1
7;28/09/2024;18:30;Sporting Gijón;Zaragoza;1;0;1
7;28/09/2024;21:00;Málaga;Elche;0;3;-3
