WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;16/08/2024;20:30;Brescia;Palermo;1;0;1
1;17/08/2024;20:30;Bari;Juve Stabia;1;3;-2
1;17/08/2024;20:30;Südtirol;Modena;2;1;1
1;17/08/2024;20:30;Salernitana;Cittadella;2;1;1
1;17/08/2024;20:30;Pisa;Spezia;2;2;0
1;18/08/2024;20:30;Frosinone;Sampdoria;2;2;0
1;18/08/2024;20:30;Reggiana;Mantova;2;2;0
1;18/08/2024;20:30;Catanzaro;Sassuolo;1;1;0
1;18/08/2024;20:30;Cesena;Carrarese;2;1;1
1;18/08/2024;20:30;Cosenza;Cremonese;1;0;1
2;23/08/2024;20:30;Modena;Bari;2;1;1
2;24/08/2024;19:30;Südtirol;Salernitana;3;2;1
2;24/08/2024;20:30;Pisa;Palermo;2;0;2
2;24/08/2024;20:30;Sampdoria;Reggiana;0;1;-1
2;24/08/2024;20:30;Spezia;Frosinone;2;1;1
2;24/08/2024;20:30;Cremonese;Carrarese;1;0;1
2;24/08/2024;20:30;Brescia;Cittadella;0;1;-1
2;24/08/2024;20:30;Sassuolo;Cesena;2;1;1
2;25/08/2024;20:30;Mantova;Cosenza;3;2;1
2;25/08/2024;20:30;Catanzaro;Juve Stabia;0;0;0
3;27/08/2024;20:30;Cremonese;Palermo;0;1;-1
3;27/08/2024;20:30;Bari;Sassuolo;1;1;0
3;27/08/2024;20:30;Cittadella;Pisa;0;3;-3
3;27/08/2024;20:30;Frosinone;Modena;1;1;0
3;27/08/2024;20:30;Salernitana;Sampdoria;3;2;1
3;27/08/2024;20:30;Reggiana;Brescia;2;0;2
3;27/08/2024;20:30;Carrarese;Südtirol;2;0;2
3;28/08/2024;20:30;Cesena;Catanzaro;2;0;2
3;28/08/2024;20:30;Cosenza;Spezia;0;0;0
3;28/08/2024;20:30;Juve Stabia;Mantova;1;0;1
4;31/08/2024;18:00;Sampdoria;Bari;0;0;0
4;31/08/2024;20:30;Südtirol;Brescia;1;2;-1
4;31/08/2024;20:30;Pisa;Reggiana;2;1;1
4;31/08/2024;20:30;Modena;Cittadella;0;1;-1
4;31/08/2024;20:30;Sassuolo;Cremonese;1;4;-3
4;01/09/2024;20:30;Frosinone;Juve Stabia;0;0;0
4;01/09/2024;20:30;Spezia;Cesena;2;1;1
4;01/09/2024;20:30;Palermo;Cosenza;1;1;0
4;01/09/2024;20:30;Catanzaro;Carrarese;3;1;2
4;01/09/2024;20:30;Mantova;Salernitana;1;0;1
5;13/09/2024;20:30;Cesena;Modena;2;2;0
5;14/09/2024;15:00;Brescia;Frosinone;4;0;4
5;14/09/2024;15:00;Cittadella;Catanzaro;0;0;0
5;14/09/2024;15:00;Bari;Mantova;2;0;2
5;14/09/2024;15:00;Cremonese;Spezia;1;1;0
5;14/09/2024;15:00;Juve Stabia;Palermo;1;3;-2
5;15/09/2024;15:00;Reggiana;Südtirol;1;3;-2
5;15/09/2024;15:00;Cosenza;Sampdoria;2;1;1
5;15/09/2024;15:00;Carrarese;Sassuolo;0;2;-2
5;15/09/2024;17:30;Salernitana;Pisa;2;3;-1
6;20/09/2024;20:30;Catanzaro;Cremonese;1;2;-1
6;21/09/2024;15:00;Sampdoria;Südtirol;1;0;1
6;21/09/2024;15:00;Reggiana;Salernitana;0;0;0
6;21/09/2024;15:00;Cosenza;Sassuolo;0;1;-1
6;21/09/2024;15:00;Palermo;Cesena;0;0;0
6;21/09/2024;15:00;Pisa;Brescia;2;1;1
6;21/09/2024;18:00;Modena;Juve Stabia;3;0;3
6;22/09/2024;15:00;Mantova;Cittadella;1;0;1
6;22/09/2024;15:00;Frosinone;Bari;0;3;-3
6;22/09/2024;15:00;Spezia;Carrarese;4;2;2
7;27/09/2024;20:30;Cittadella;Frosinone;1;2;-1
7;28/09/2024;15:00;Sassuolo;Spezia;0;0;0
7;28/09/2024;15:00;Bari;Cosenza;1;1;0
7;28/09/2024;15:00;Carrarese;Reggiana;0;0;0
7;29/09/2024;15:00;Modena;Sampdoria;1;3;-2
7;29/09/2024;15:00;Salernitana;Catanzaro;0;0;0
7;29/09/2024;15:00;Juve Stabia;Pisa;2;0;2
7;29/09/2024;15:00;Cesena;Mantova;4;2;2
7;30/09/2024;19:30;Südtirol;Palermo;1;3;-2
7;30/09/2024;20:30;Brescia;Cremonese;3;2;1
8;04/10/2024;20:30;Sampdoria;Juve Stabia;1;2;-1
8;05/10/2024;15:00;Sassuolo;Cittadella;6;1;5
