WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;09/08/2024;20:00;Groningen;NAC Breda;4;1;3
1;10/08/2024;16:30;Feyenoord;Willem II;1;1;0
1;10/08/2024;18:45;NEC Nijmegen;Twente;1;2;-1
1;10/08/2024;20:00;Almere City;AZ Alkmaar;0;1;-1
1;10/08/2024;21:00;PSV Eindhoven;RKC Waalwijk;5;1;4
1;11/08/2024;12:15;Sparta R'dam;Heracles Almelo;0;0;0
1;11/08/2024;14:30;Utrecht;Zwolle;1;0;1
1;11/08/2024;14:30;Go Ahead Eag;Fortuna Sittard;0;2;-2
1;11/08/2024;16:45;Ajax;Heerenveen;1;0;1
2;16/08/2024;20:00;Fortuna Sittard;Almere City;3;0;3
2;17/08/2024;16:30;Heerenveen;Utrecht;1;1;0
2;17/08/2024;18:45;Twente;Sparta R'dam;1;1;0
2;17/08/2024;20:00;AZ Alkmaar;NEC Nijmegen;1;0;1
2;17/08/2024;21:00;RKC Waalwijk;Groningen;1;2;-1
2;18/08/2024;12:15;Heracles Almelo;PSV Eindhoven;1;3;-2
2;18/08/2024;14:30;Willem II;Go Ahead Eag;2;0;2
2;18/08/2024;14:30;Zwolle;Feyenoord;1;5;-4
2;18/08/2024;16:45;NAC Breda;Ajax;2;1;1
3;24/08/2024;18:45;NEC Nijmegen;Zwolle;1;0;1
3;24/08/2024;20:00;Almere City;PSV Eindhoven;1;7;-6
3;24/08/2024;21:00;NAC Breda;Utrecht;1;2;-1
3;25/08/2024;12:15;Groningen;AZ Alkmaar;0;0;0
3;25/08/2024;14:30;Sparta R'dam;Feyenoord;1;1;0
3;25/08/2024;14:30;Heracles Almelo;Willem II;1;1;0
3;25/08/2024;16:45;Go Ahead Eag;RKC Waalwijk;2;0;2
4;30/08/2024;20:00;RKC Waalwijk;AZ Alkmaar;0;3;-3
4;31/08/2024;16:30;Almere City;Groningen;1;1;0
4;31/08/2024;18:45;Fortuna Sittard;NEC Nijmegen;0;3;-3
4;31/08/2024;20:00;Heerenveen;NAC Breda;4;0;4
4;31/08/2024;21:00;Willem II;Sparta R'dam;1;2;-1
4;01/09/2024;12:15;Utrecht;Twente;2;1;1
4;01/09/2024;14:30;Zwolle;Heracles Almelo;3;0;3
