WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;09/08/2024;21:00;Galatasaray;Hatayspor;2;1;1
1;10/08/2024;19:15;Kasımpaşa;Konyaspor;2;3;-1
1;10/08/2024;21:45;Antalyaspor;Göztepe;0;0;0
1;10/08/2024;21:45;Fenerbahçe;Adana Demirspor;1;0;1
1;11/08/2024;19:15;Sivasspor;Trabzonspor;0;0;0
1;11/08/2024;21:45;Samsunspor;Beşiktaş;0;2;-2
1;11/08/2024;21:45;Alanyaspor;Eyüpspor;1;1;0
1;12/08/2024;21:00;Rizespor;Başakşehir;1;1;0
1;12/08/2024;21:00;BB Bodrumspor;Gaziantep FK;0;1;-1
2;16/08/2024;21:00;Konyaspor;Galatasaray;1;2;-1
2;17/08/2024;19:15;Kayserispor;Sivasspor;1;2;-1
2;17/08/2024;21:45;Adana Demirspor;Rizespor;1;2;-1
2;17/08/2024;21:45;Göztepe;Fenerbahçe;2;2;0
2;18/08/2024;19:15;Başakşehir;Alanyaspor;4;2;2
2;18/08/2024;21:45;Gaziantep FK;Samsunspor;0;1;-1
2;18/08/2024;21:45;Beşiktaş;Antalyaspor;4;2;2
2;19/08/2024;21:00;Hatayspor;Kasımpaşa;1;1;0
2;19/08/2024;21:00;Eyüpspor;BB Bodrumspor;4;1;3
3;23/08/2024;21:00;Alanyaspor;Göztepe;1;1;0
3;24/08/2024;19:15;Sivasspor;Eyüpspor;0;1;-1
3;24/08/2024;21:45;BB Bodrumspor;Konyaspor;3;1;2
3;25/08/2024;19:15;Kasımpaşa;Adana Demirspor;2;2;0
3;25/08/2024;21:45;Rizespor;Fenerbahçe;0;5;-5
3;25/08/2024;21:45;Antalyaspor;Hatayspor;3;2;1
4;30/08/2024;21:00;Fenerbahçe;Alanyaspor;3;0;3
4;31/08/2024;19:15;Rizespor;Kasımpaşa;0;1;-1
4;31/08/2024;19:15;Konyaspor;Kayserispor;0;0;0
4;31/08/2024;21:45;Adana Demirspor;Galatasaray;1;5;-4
4;31/08/2024;21:45;Göztepe;BB Bodrumspor;2;0;2
4;01/09/2024;19:15;Eyüpspor;Trabzonspor;0;0;0
4;01/09/2024;19:15;Başakşehir;Antalyaspor;5;2;3
4;01/09/2024;21:45;Hatayspor;Samsunspor;0;3;-3
4;01/09/2024;21:45;Beşiktaş;Sivasspor;2;0;2
5;14/09/2024;17:00;Samsunspor;Konyaspor;0;1;-1
5;14/09/2024;17:00;Sivasspor;Gaziantep FK;3;2;1
5;14/09/2024;20:00;Galatasaray;Rizespor;5;0;5
5;14/09/2024;20:00;BB Bodrumspor;Başakşehir;0;1;-1
5;15/09/2024;17:00;Kasımpaşa;Fenerbahçe;0;2;-2
5;15/09/2024;17:00;Kayserispor;Eyüpspor;2;2;0
5;15/09/2024;20:00;Trabzonspor;Beşiktaş;1;1;0
5;15/09/2024;20:00;Alanyaspor;Hatayspor;0;0;0
5;16/09/2024;20:00;Antalyaspor;Adana Demirspor;2;1;1
3;17/09/2024;20:00;Galatasaray;Gaziantep FK;3;1;2
3;18/09/2024;20:00;Samsunspor;Başakşehir;2;0;2
3;19/09/2024;20:00;Trabzonspor;Kayserispor;2;2;0
6;20/09/2024;20:00;Hatayspor;BB Bodrumspor;0;1;-1
6;21/09/2024;17:00;Konyaspor;Sivasspor;0;0;0
6;21/09/2024;20:00;Fenerbahçe;Galatasaray;1;3;-2
6;22/09/2024;17:00;Rizespor;Samsunspor;0;1;-1
6;22/09/2024;17:00;Kasımpaşa;Antalyaspor;0;0;0
6;22/09/2024;20:00;Beşiktaş;Eyüpspor;2;1;1
6;22/09/2024;20:00;Adana Demirspor;Alanyaspor;0;2;-2
6;23/09/2024;20:00;Gaziantep FK;Trabzonspor;0;0;0
6;23/09/2024;20:00;Göztepe;Kayserispor;3;0;3
7;27/09/2024;20:00;Sivasspor;Başakşehir;1;2;-1
7;28/09/2024;16:00;Samsunspor;Göztepe;4;3;1
7;28/09/2024;19:00;Alanyaspor;Rizespor;1;0;1
7;28/09/2024;19:00;Galatasaray;Kasımpaşa;3;3;0
7;29/09/2024;16:00;Eyüpspor;Gaziantep FK;3;2;1
7;29/09/2024;16:00;Trabzonspor;Konyaspor;3;2;1
7;29/09/2024;19:00;Antalyaspor;Fenerbahçe;0;2;-2
7;29/09/2024;19:00;BB Bodrumspor;Adana Demirspor;3;1;2
7;30/09/2024;20:00;Kayserispor;Beşiktaş;0;3;-3
8;04/10/2024;20:00;Rizespor;Antalyaspor;2;1;1
8;05/10/2024;13:30;Kasımpaşa;BB Bodrumspor;0;0;0
8;05/10/2024;16:00;Göztepe;Sivasspor;3;2;1
8;05/10/2024;19:00;Başakşehir;Kayserispor;1;1;0
8;05/10/2024;19:00;Hatayspor;Trabzonspor;1;1;0
8;06/10/2024;13:30;Konyaspor;Eyüpspor;2;1;1
8;06/10/2024;16:00;Adana Demirspor;Samsunspor;1;3;-2
8;06/10/2024;19:00;Galatasaray;Alanyaspor;1;0;1
8;06/10/2024;19:00;Gaziantep FK;Beşiktaş;1;1;0
9;19/10/2024;13:30;Kayserispor;Gaziantep FK;2;2;0
9;19/10/2024;16:00;Trabzonspor;Başakşehir;1;0;1
9;19/10/2024;19:00;Antalyaspor;Galatasaray;0;3;-3
9;19/10/2024;19:00;Eyüpspor;Göztepe;1;0;1
9;20/10/2024;13:30;Sivasspor;Hatayspor;3;2;1
9;20/10/2024;16:00;Beşiktaş;Konyaspor;2;0;2
9;20/10/2024;19:00;Samsunspor;Fenerbahçe;2;2;0
