WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;17/08/2024;20:00;Volos NFC;Olympiacos;0;2;-2
1;17/08/2024;20:00;PAOK;Panserraikos;3;2;1
1;18/08/2024;19:00;Levadiakos;Kallithea;0;0;0
1;18/08/2024;20:00;Panathinaikos;Asteras Tripoli;0;1;-1
1;18/08/2024;20:30;Atromitos;Aris;1;1;0
1;18/08/2024;22:00;AEK Athens;OFI Crete;3;0;3
1;19/08/2024;21:00;Panetolikos;PAS Lamia;0;1;-1
2;24/08/2024;19:30;OFI Crete;Atromitos;1;1;0
2;24/08/2024;20:00;Panserraikos;Aris;0;1;-1
2;24/08/2024;21:30;AEK Athens;PAS Lamia;1;1;0
2;25/08/2024;19:00;Asteras Tripoli;Volos NFC;0;1;-1
2;25/08/2024;20:30;PAOK;Panetolikos;2;0;2
2;25/08/2024;21:00;Panathinaikos;Levadiakos;1;0;1
2;26/08/2024;20:30;Olympiacos;Kallithea;2;1;1
3;31/08/2024;19:30;PAS Lamia;Olympiacos;0;3;-3
3;31/08/2024;20:00;Aris;Asteras Tripoli;1;1;0
3;31/08/2024;22:00;Panetolikos;Panserraikos;3;0;3
3;01/09/2024;19:00;Levadiakos;AEK Athens;0;3;-3
3;01/09/2024;19:30;Volos NFC;OFI Crete;1;3;-2
3;01/09/2024;20:30;Atromitos;PAOK;1;2;-1
3;01/09/2024;22:00;Kallithea;Panathinaikos;2;2;0
4;14/09/2024;18:00;PAS Lamia;Kallithea;0;0;0
4;14/09/2024;20:00;Asteras Tripoli;Atromitos;1;2;-1
4;15/09/2024;16:30;Panserraikos;Levadiakos;2;2;0
4;15/09/2024;18:30;Olympiacos;Panetolikos;0;0;0
4;15/09/2024;20:30;PAOK;Panathinaikos;0;0;0
4;15/09/2024;20:30;OFI Crete;Aris;3;2;1
4;16/09/2024;20:00;AEK Athens;Volos NFC;2;0;2
5;21/09/2024;17:00;Volos NFC;PAOK;1;4;-3
5;21/09/2024;20:00;Aris;Olympiacos;2;1;1
5;21/09/2024;20:30;Panetolikos;Asteras Tripoli;1;1;0
5;22/09/2024;16:30;Levadiakos;OFI Crete;1;1;0
5;22/09/2024;18:00;Panathinaikos;Panserraikos;3;1;2
5;22/09/2024;20:30;Atromitos;PAS Lamia;4;2;2
5;22/09/2024;21:00;Kallithea;AEK Athens;0;0;0
6;28/09/2024;17:00;Volos NFC;Kallithea;1;1;0
6;28/09/2024;20:00;Asteras Tripoli;Levadiakos;1;1;0
6;29/09/2024;17:00;OFI Crete;Panetolikos;1;2;-1
6;29/09/2024;18:00;Olympiacos;Atromitos;2;0;2
6;29/09/2024;20:30;PAOK;Aris;0;1;-1
6;29/09/2024;21:30;AEK Athens;Panathinaikos;2;0;2
6;30/09/2024;20:00;PAS Lamia;Panserraikos;1;2;-1
7;05/10/2024;18:30;Atromitos;Volos NFC;1;2;-1
7;05/10/2024;19:30;Panetolikos;AEK Athens;1;0;1
7;05/10/2024;20:00;Aris;PAS Lamia;2;0;2
7;06/10/2024;16:00;Panserraikos;OFI Crete;2;3;-1
7;06/10/2024;17:00;Kallithea;Asteras Tripoli;1;3;-2
7;06/10/2024;20:30;Levadiakos;PAOK;0;2;-2
7;06/10/2024;20:30;Panathinaikos;Olympiacos;0;0;0
8;19/10/2024;17:00;Volos NFC;Panserraikos;0;1;-1
8;19/10/2024;20:00;Atromitos;Panetolikos;0;2;-2
8;19/10/2024;20:30;PAS Lamia;Asteras Tripoli;0;0;0
8;20/10/2024;16:00;Olympiacos;Levadiakos;2;2;0
8;20/10/2024;18:00;OFI Crete;Panathinaikos;0;1;-1
8;20/10/2024;20:00;Aris;Kallithea;2;0;2
8;20/10/2024;20:30;AEK Athens;PAOK;1;1;0
9;26/10/2024;17:00;Panetolikos;Volos NFC;0;1;-1
9;26/10/2024;17:30;Levadiakos;PAS Lamia;2;2;0
9;26/10/2024;20:00;Panserraikos;AEK Athens;1;0;1
9;27/10/2024;17:00;Asteras Tripoli;Olympiacos;1;0;1
9;27/10/2024;18:00;Panathinaikos;Aris;1;1;0
9;27/10/2024;21:00;PAOK;OFI Crete;1;2;-1
9;27/10/2024;21:30;Kallithea;Atromitos;0;3;-3
10;02/11/2024;17:00;Olympiacos;Panserraikos;2;1;1
10;02/11/2024;20:30;Kallithea;Panetolikos;1;1;0
10;03/11/2024;16:30;Aris;Levadiakos;3;1;2
10;03/11/2024;17:00;Volos NFC;Panathinaikos;0;1;-1
10;03/11/2024;20:30;PAS Lamia;PAOK;1;2;-1
10;03/11/2024;20:30;Atromitos;AEK Athens;0;1;-1
10;04/11/2024;17:30;Asteras Tripoli;OFI Crete;3;0;3
11;09/11/2024;17:00;Panetolikos;Aris;2;1;1
11;09/11/2024;18:45;Panserraikos;Atromitos;2;3;-1
11;09/11/2024;20:00;AEK Athens;Asteras Tripoli;3;0;3
11;10/11/2024;16:00;OFI Crete;Kallithea;2;2;0
11;10/11/2024;16:30;Levadiakos;Volos NFC;3;2;1
11;10/11/2024;19:30;Panathinaikos;PAS Lamia;1;0;1
11;10/11/2024;20:30;PAOK;Olympiacos;2;3;-1
12;22/11/2024;19:30;Kallithea;Panserraikos;1;2;-1
12;23/11/2024;17:00;PAS Lamia;OFI Crete;1;1;0
12;23/11/2024;19:30;Aris;Volos NFC;0;1;-1
12;24/11/2024;17:00;Panetolikos;Panathinaikos;1;2;-1
12;24/11/2024;19:30;Asteras Tripoli;PAOK;1;2;-1
12;24/11/2024;20:30;Olympiacos;AEK Athens;4;1;3
12;25/11/2024;18:00;Atromitos;Levadiakos;2;1;1
13;30/11/2024;17:00;Volos NFC;PAS Lamia;0;0;0
13;30/11/2024;19:30;Levadiakos;Panetolikos;1;1;0
13;30/11/2024;20:30;AEK Athens;Aris;4;0;4
13;01/12/2024;15:30;Panserraikos;Asteras Tripoli;2;1;1
13;01/12/2024;17:00;OFI Crete;Olympiacos;0;2;-2
13;01/12/2024;19:00;PAOK;Kallithea;2;2;0
13;01/12/2024;20:30;Panathinaikos;Atromitos;1;1;0
14;07/12/2024;17:00;Olympiacos;Volos NFC;3;0;3
14;07/12/2024;19:30;Aris;Atromitos;2;1;1
14;08/12/2024;15:30;Panserraikos;PAOK;1;4;-3
14;08/12/2024;17:00;OFI Crete;AEK Athens;1;2;-1
14;08/12/2024;19:00;Asteras Tripoli;Panathinaikos;0;1;-1
14;08/12/2024;20:30;PAS Lamia;Panetolikos;0;1;-1
14;09/12/2024;17:30;Kallithea;Levadiakos;2;4;-2
15;14/12/2024;17:00;PAS Lamia;AEK Athens;0;1;-1
15;14/12/2024;19:30;Atromitos;OFI Crete;0;0;0
15;14/12/2024;20:30;Volos NFC;Asteras Tripoli;2;1;1
15;15/12/2024;15:30;Aris;Panserraikos;1;0;1
15;15/12/2024;18:00;Levadiakos;Panathinaikos;0;1;-1
15;15/12/2024;19:00;Panetolikos;PAOK;0;1;-1
15;16/12/2024;20:30;Kallithea;Olympiacos;1;1;0
16;21/12/2024;19:00;Olympiacos;PAS Lamia;1;0;1
16;22/12/2024;15:30;Panserraikos;Panetolikos;0;0;0
16;22/12/2024;18:00;Panathinaikos;Kallithea;1;0;1
16;22/12/2024;19:30;PAOK;Atromitos;3;0;3
16;22/12/2024;21:00;AEK Athens;Levadiakos;1;1;0
16;23/12/2024;15:00;Asteras Tripoli;Aris;2;1;1
16;23/12/2024;18:00;OFI Crete;Volos NFC;4;0;4
17;04/01/2025;17:00;Kallithea;PAS Lamia;2;1;1
17;05/01/2025;15:00;Levadiakos;Panserraikos;1;0;1
17;05/01/2025;16:30;Aris;OFI Crete;0;2;-2
17;05/01/2025;17:00;Volos NFC;AEK Athens;2;4;-2
17;05/01/2025;19:30;Atromitos;Asteras Tripoli;0;1;-1
17;05/01/2025;20:30;Panathinaikos;PAOK;2;1;1
17;06/01/2025;18:00;Panetolikos;Olympiacos;0;2;-2
18;11/01/2025;20:30;Olympiacos;Aris;2;1;1
18;12/01/2025;16:30;Panserraikos;Panathinaikos;2;2;0
18;12/01/2025;17:00;PAS Lamia;Atromitos;0;3;-3
18;12/01/2025;19:30;PAOK;Volos NFC;1;2;-1
18;12/01/2025;20:30;AEK Athens;Kallithea;2;0;2
18;13/01/2025;18:00;OFI Crete;Levadiakos;0;0;0
18;13/01/2025;18:00;Asteras Tripoli;Panetolikos;2;0;2
19;18/01/2025;17:00;Kallithea;Volos NFC;2;0;2
19;19/01/2025;15:00;Atromitos;Olympiacos;1;2;-1
19;19/01/2025;16:30;Levadiakos;Asteras Tripoli;1;2;-1
19;19/01/2025;16:30;Panetolikos;OFI Crete;1;0;1
19;19/01/2025;19:00;Aris;PAOK;0;0;0
19;19/01/2025;20:30;Panathinaikos;AEK Athens;1;0;1
19;20/01/2025;18:00;Panserraikos;PAS Lamia;2;0;2
20;24/01/2025;20:00;Volos NFC;Atromitos;0;1;-1
20;25/01/2025;17:00;OFI Crete;Panserraikos;3;2;1
20;25/01/2025;17:00;Asteras Tripoli;Kallithea;1;0;1
20;25/01/2025;20:00;AEK Athens;Panetolikos;1;0;1
20;26/01/2025;17:00;PAS Lamia;Aris;0;2;-2
20;26/01/2025;19:30;PAOK;Levadiakos;1;0;1
20;26/01/2025;20:30;Olympiacos;Panathinaikos;1;1;0
21;01/02/2025;18:00;Panathinaikos;OFI Crete;3;2;1
21;01/02/2025;19:30;Panserraikos;Volos NFC;1;1;0
21;02/02/2025;16:30;Levadiakos;Olympiacos;0;1;-1
21;02/02/2025;17:00;Kallithea;Aris;0;1;-1
21;02/02/2025;19:30;PAOK;AEK Athens;1;2;-1
21;02/02/2025;20:30;Panetolikos;Atromitos;0;1;-1
21;03/02/2025;18:00;Asteras Tripoli;PAS Lamia;1;0;1
22;08/02/2025;17:00;Volos NFC;Panetolikos;0;1;-1
22;08/02/2025;20:00;OFI Crete;PAOK;0;5;-5
22;09/02/2025;17:00;Olympiacos;Asteras Tripoli;1;1;0
22;09/02/2025;19:30;Aris;Panathinaikos;2;0;2
22;09/02/2025;20:30;AEK Athens;Panserraikos;5;0;5
22;10/02/2025;18:00;PAS Lamia;Levadiakos;0;2;-2
22;10/02/2025;18:00;Atromitos;Kallithea;1;2;-1
23;15/02/2025;17:00;OFI Crete;Asteras Tripoli;2;1;1
23;15/02/2025;20:00;AEK Athens;Atromitos;2;1;1
23;16/02/2025;15:00;Levadiakos;Aris;4;1;3
23;16/02/2025;17:00;Panserraikos;Olympiacos;0;4;-4
23;16/02/2025;17:00;Panathinaikos;Volos NFC;2;1;1
23;16/02/2025;20:00;PAOK;PAS Lamia;7;0;7
23;16/02/2025;20:30;Panetolikos;Kallithea;2;0;2
24;22/02/2025;17:00;Kallithea;OFI Crete;1;3;-2
24;22/02/2025;19:30;Atromitos;Panserraikos;1;0;1
24;22/02/2025;20:00;Volos NFC;Levadiakos;1;2;-1
24;23/02/2025;16:30;Aris;Panetolikos;2;1;1
24;23/02/2025;17:00;PAS Lamia;Panathinaikos;3;1;2
24;23/02/2025;19:30;Asteras Tripoli;AEK Athens;0;3;-3
24;23/02/2025;20:30;Olympiacos;PAOK;2;1;1
25;01/03/2025;17:00;Volos NFC;Aris;1;1;0
25;01/03/2025;17:00;Panserraikos;Kallithea;2;1;1
25;01/03/2025;20:00;Panathinaikos;Panetolikos;2;0;2
25;02/03/2025;16:30;Levadiakos;Atromitos;1;2;-1
25;02/03/2025;17:00;OFI Crete;PAS Lamia;3;0;3
25;02/03/2025;19:30;PAOK;Asteras Tripoli;2;0;2
25;02/03/2025;20:30;AEK Athens;Olympiacos;0;1;-1
26;09/03/2025;19:00;Aris;AEK Athens;0;0;0
26;09/03/2025;19:00;Kallithea;PAOK;2;1;1
26;09/03/2025;19:00;Asteras Tripoli;Panserraikos;1;2;-1
26;09/03/2025;19:00;Atromitos;Panathinaikos;1;1;0
26;09/03/2025;19:00;Olympiacos;OFI Crete;1;0;1
26;09/03/2025;19:00;Panetolikos;Levadiakos;0;0;0
26;09/03/2025;19:00;PAS Lamia;Volos NFC;1;0;1
1;29/03/2025;16:30;OFI Crete;Atromitos;1;2;-1
1;29/03/2025;18:30;Kallithea;Volos NFC;1;1;0
1;29/03/2025;19:30;Asteras Tripoli;Aris;0;2;-2
1;29/03/2025;20:30;Panetolikos;Levadiakos;1;2;-1
1;30/03/2025;17:00;Panserraikos;PAS Lamia;1;1;0
1;30/03/2025;19:00;AEK Athens;PAOK;2;3;-1
1;30/03/2025;21:00;Olympiacos;Panathinaikos;4;2;2
2;05/04/2025;17:00;Levadiakos;Panserraikos;3;0;3
2;05/04/2025;19:30;Aris;OFI Crete;2;0;2
2;05/04/2025;20:00;PAS Lamia;Kallithea;0;2;-2
2;06/04/2025;17:00;Volos NFC;Panetolikos;0;0;0
2;06/04/2025;19:30;PAOK;Olympiacos;2;1;1
2;06/04/2025;21:30;Panathinaikos;AEK Athens;3;1;2
2;07/04/2025;18:00;Atromitos;Asteras Tripoli;0;1;-1
3;12/04/2025;17:00;Panetolikos;PAS Lamia;1;0;1
3;12/04/2025;19:30;Panserraikos;Kallithea;3;1;2
3;12/04/2025;20:00;Volos NFC;Levadiakos;1;0;1
3;13/04/2025;16:30;Asteras Tripoli;OFI Crete;2;1;1
3;13/04/2025;19:00;Panathinaikos;PAOK;3;1;2
3;13/04/2025;19:30;Aris;Atromitos;1;0;1
3;13/04/2025;21:00;Olympiacos;AEK Athens;1;0;1
4;23/04/2025;18:00;Panserraikos;Panetolikos;1;1;0
4;23/04/2025;18:00;PAS Lamia;Volos NFC;1;3;-2
4;23/04/2025;20:30;Kallithea;Levadiakos;0;3;-3
4;26/04/2025;20:00;Atromitos;Aris;1;1;0
4;26/04/2025;20:00;OFI Crete;Asteras Tripoli;0;2;-2
4;27/04/2025;20:00;PAOK;Panathinaikos;2;1;1
4;27/04/2025;20:00;AEK Athens;Olympiacos;0;2;-2
5;28/04/2025;18:00;Panetolikos;Kallithea;0;1;-1
5;28/04/2025;18:00;Levadiakos;PAS Lamia;0;0;0
5;28/04/2025;20:00;Volos NFC;Panserraikos;3;0;3
5;03/05/2025;20:00;Asteras Tripoli;Atromitos;1;4;-3
5;03/05/2025;20:00;OFI Crete;Aris;1;1;0
5;04/05/2025;20:00;AEK Athens;Panathinaikos;1;2;-1
5;04/05/2025;20:00;Olympiacos;PAOK;4;2;2
6;05/05/2025;18:00;Kallithea;Panetolikos;0;0;0
6;05/05/2025;18:00;Panserraikos;Volos NFC;3;0;3
6;05/05/2025;20:00;PAS Lamia;Levadiakos;2;3;-1
7;10/05/2025;17:00;Levadiakos;Kallithea;4;1;3
7;10/05/2025;17:00;PAS Lamia;Panserraikos;2;1;1
6;10/05/2025;18:30;Aris;Asteras Tripoli;4;2;2
6;10/05/2025;19:15;Atromitos;OFI Crete;0;0;0
7;10/05/2025;20:00;Panetolikos;Volos NFC;0;3;-3
6;11/05/2025;20:00;PAOK;AEK Athens;1;0;1
6;11/05/2025;20:00;Panathinaikos;Olympiacos;0;1;-1
8;14/05/2025;18:00;Levadiakos;Panetolikos;1;2;-1
8;14/05/2025;20:00;Kallithea;Panserraikos;1;1;0
8;14/05/2025;20:00;Volos NFC;PAS Lamia;3;0;3
9;18/05/2025;15:00;Panserraikos;Levadiakos;0;1;-1
9;18/05/2025;18:00;PAS Lamia;Panetolikos;1;3;-2
9;18/05/2025;20:00;Volos NFC;Kallithea;0;2;-2
10;22/05/2025;18:00;Panetolikos;Panserraikos;1;0;1
