WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;05/07/2024;16:45;Puebla;Santos;1;0;1
1;06/07/2024;17:00;Atlético;América;2;1;1
1;05/07/2024;19:00;Querétaro;Tijuana;1;2;-1
1;05/07/2024;21:10;FC Juárez;Atlas;2;2;0
1;07/07/2024;13:00;UNAM;León;4;1;3
1;06/07/2024;19:00;Guadalajara;Toluca;0;0;0
1;06/07/2024;19:00;UANL;Necaxa;1;0;1
1;06/07/2024;21:00;Cruz Azul;Mazatlán;1;0;1
1;07/07/2024;19:06;Pachuca;Monterrey;0;1;-1
2;13/07/2024;17:00;León;Pachuca;0;0;0
2;13/07/2024;17:00;Necaxa;Puebla;4;1;3
2;12/07/2024;19:00;América;Querétaro;3;1;2
2;12/07/2024;20:00;Tijuana;Guadalajara;4;2;2
2;12/07/2024;20:00;Mazatlán;Atlético;2;2;0
2;12/07/2024;21:05;Atlas;UANL;1;1;0
2;13/07/2024;19:10;Toluca;FC Juárez;3;2;1
2;13/07/2024;19:25;Santos;UNAM;1;1;0
2;13/07/2024;21:10;Monterrey;Cruz Azul;0;4;-4
3;16/07/2024;19:00;Atlas;Santos;1;0;1
3;16/07/2024;19:00;Querétaro;Guadalajara;0;2;-2
3;16/07/2024;19:00;Pachuca;Atlético;2;0;2
3;16/07/2024;21:00;Puebla;León;2;2;0
3;16/07/2024;21:05;Cruz Azul;Tijuana;3;0;3
3;17/07/2024;19:00;Necaxa;Monterrey;0;1;-1
3;17/07/2024;19:06;FC Juárez;UNAM;1;2;-1
3;17/07/2024;21:00;Toluca;Mazatlán;3;0;3
3;17/07/2024;21:00;UANL;América;1;0;1
4;20/07/2024;17:05;Guadalajara;Mazatlán;2;0;2
4;19/07/2024;19:00;Atlético;Tijuana;1;1;0
4;19/07/2024;21:05;Puebla;Atlas;1;2;-1
4;21/07/2024;17:00;UNAM;Pachuca;2;0;2
4;20/07/2024;19:00;Monterrey;Querétaro;2;1;1
4;20/07/2024;19:00;Santos;UANL;0;3;-3
4;20/07/2024;21:05;Cruz Azul;Toluca;1;1;0
4;20/07/2024;21:10;FC Juárez;América;1;2;-1
4;21/07/2024;19:05;León;Necaxa;1;1;0
16;16/08/2024;19:00;Puebla;Monterrey;1;2;-1
8;18/08/2024;17:05;Tijuana;Santos;3;1;2
13;18/08/2024;20:00;Atlético;Querétaro;4;0;4
5;24/08/2024;17:00;Necaxa;FC Juárez;3;0;3
5;23/08/2024;19:00;Mazatlán;Pachuca;3;0;3
5;23/08/2024;19:00;Querétaro;Cruz Azul;0;2;-2
5;23/08/2024;20:05;Tijuana;Monterrey;2;2;0
5;25/08/2024;13:00;Toluca;Atlético;2;1;1
5;24/08/2024;19:00;León;Santos;1;1;0
5;24/08/2024;19:00;UANL;Guadalajara;1;1;0
5;24/08/2024;19:00;Atlas;UNAM;2;1;1
5;24/08/2024;21:05;América;Puebla;0;1;-1
6;31/08/2024;17:00;Pachuca;Querétaro;1;1;0
6;31/08/2024;17:05;Guadalajara;FC Juárez;5;0;5
6;30/08/2024;19:00;Mazatlán;Puebla;1;1;0
6;30/08/2024;19:00;Atlético;Atlas;2;1;1
6;30/08/2024;20:05;Tijuana;León;2;1;1
6;01/09/2024;17:00;UNAM;UANL;1;3;-2
6;31/08/2024;19:00;Monterrey;Toluca;1;2;-1
6;31/08/2024;21:10;Cruz Azul;América;4;1;3
6;01/09/2024;19:05;Santos;Necaxa;3;2;1
7;14/09/2024;16:45;Toluca;Tijuana;4;0;4
7;13/09/2024;18:00;Puebla;Querétaro;2;1;1
7;13/09/2024;19:00;Atlas;Pachuca;2;0;2
7;13/09/2024;20:10;UANL;Atlético;1;0;1
7;13/09/2024;20:10;FC Juárez;Mazatlán;1;0;1
7;13/09/2024;21:00;Necaxa;UNAM;2;0;2
7;14/09/2024;18:50;América;Guadalajara;1;0;1
7;14/09/2024;20:35;León;Cruz Azul;1;2;-1
7;14/09/2024;21:00;Santos;Monterrey;0;2;-2
8;17/09/2024;19:00;Atlético;Cruz Azul;3;1;2
8;17/09/2024;19:00;Pachuca;Toluca;2;2;0
8;17/09/2024;19:00;América;Atlas;3;0;3
8;17/09/2024;21:00;Querétaro;UANL;1;0;1
8;17/09/2024;21:05;UNAM;Puebla;1;0;1
8;18/09/2024;19:00;Mazatlán;Necaxa;0;0;0
8;18/09/2024;19:05;Guadalajara;León;2;0;2
8;18/09/2024;21:00;Monterrey;FC Juárez;3;2;1
9;21/09/2024;17:00;León;Atlético;1;0;1
9;20/09/2024;19:00;Atlas;Querétaro;0;1;-1
9;20/09/2024;19:00;Puebla;Pachuca;2;3;-1
9;22/09/2024;17:00;UNAM;Tijuana;1;0;1
9;21/09/2024;19:00;Monterrey;Mazatlán;0;0;0
9;21/09/2024;19:00;Necaxa;América;1;1;0
9;21/09/2024;21:05;Cruz Azul;Guadalajara;1;0;1
