WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;09/08/2024;20:15;Sporting CP;Rio Ave;3;1;2
1;10/08/2024;15:30;AVS Futebol;Nacional;1;1;0
1;10/08/2024;18:00;Casa Pia;Boavista;0;1;-1
1;10/08/2024;20:30;Porto;Gil Vicente FC;3;0;3
1;11/08/2024;15:30;Estoril;Santa Clara;1;4;-3
1;11/08/2024;18:00;Famalicão;Benfica;2;0;2
1;11/08/2024;18:00;Farense;Moreirense;1;2;-1
1;11/08/2024;20:30;Braga;Estrela;1;1;0
1;12/08/2024;20:15;Arouca;Vitória;0;1;-1
2;16/08/2024;16:00;Santa Clara;Porto;0;2;-2
2;16/08/2024;20:15;Gil Vicente FC;AVS Futebol;4;2;2
2;17/08/2024;15:30;Rio Ave;Farense;1;0;1
2;17/08/2024;18:00;Nacional;Sporting CP;1;6;-5
2;17/08/2024;20:30;Benfica;Casa Pia;3;0;3
2;18/08/2024;15:30;Moreirense;Arouca;3;1;2
2;18/08/2024;18:00;Vitória;Estoril;1;0;1
2;18/08/2024;20:30;Boavista;Braga;0;1;-1
2;19/08/2024;20:15;Estrela;Famalicão;0;3;-3
3;23/08/2024;20:15;Farense;Sporting CP;0;5;-5
3;24/08/2024;15:30;Casa Pia;Santa Clara;0;2;-2
3;24/08/2024;18:00;Porto;Rio Ave;2;0;2
3;24/08/2024;20:30;Famalicão;Boavista;1;0;1
3;24/08/2024;20:30;Benfica;Estrela;1;0;1
3;25/08/2024;15:30;Arouca;Nacional;1;0;1
3;25/08/2024;18:00;Estoril;Gil Vicente FC;0;0;0
3;25/08/2024;20:30;AVS Futebol;Vitória;1;0;1
3;25/08/2024;20:30;Braga;Moreirense;3;1;2
4;30/08/2024;20:15;Moreirense;Benfica;1;1;0
4;31/08/2024;14:30;Santa Clara;AVS Futebol;2;1;1
4;31/08/2024;18:00;Boavista;Estoril;0;0;0
4;31/08/2024;18:00;Estrela;Casa Pia;0;1;-1
4;31/08/2024;20:30;Sporting CP;Porto;2;0;2
4;01/09/2024;15:30;Nacional;Farense;2;0;2
4;01/09/2024;18:00;Rio Ave;Arouca;1;0;1
4;01/09/2024;20:30;Gil Vicente FC;Braga;0;0;0
4;01/09/2024;20:30;Vitória;Famalicão;2;1;1
5;13/09/2024;20:15;Arouca;Sporting CP;0;3;-3
5;14/09/2024;15:30;Casa Pia;Moreirense;3;1;2
5;14/09/2024;18:00;AVS Futebol;Rio Ave;1;0;1
5;14/09/2024;20:30;Famalicão;Gil Vicente FC;1;1;0
