WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;02/08/2024;20:30;Köln;Hamburger SV;1;2;-1
1;03/08/2024;13:00;Magdeburg;Elversberg;0;0;0
1;03/08/2024;13:00;Karlsruher;Nürnberg;3;2;1
1;03/08/2024;13:00;Hannover 96;Jahn R'burg;2;0;2
1;03/08/2024;13:00;Hertha BSC;Paderborn 07;1;2;-1
1;03/08/2024;20:30;Schalke 04;BTSV;5;1;4
1;04/08/2024;13:30;Ulm;Kaiserslautern;1;2;-1
1;04/08/2024;13:30;Greuther Fürth;Preußen Münster;3;1;2
1;04/08/2024;13:30;Darmstadt 98;Düsseldorf;0;2;-2
2;09/08/2024;18:30;Jahn R'burg;Ulm;1;0;1
2;09/08/2024;18:30;Kaiserslautern;Greuther Fürth;2;2;0
2;10/08/2024;13:00;Düsseldorf;Karlsruher;0;0;0
2;10/08/2024;13:00;Nürnberg;Schalke 04;3;1;2
2;10/08/2024;13:00;Elversberg;Köln;2;2;0
2;10/08/2024;20:30;Hamburger SV;Hertha BSC;1;1;0
2;11/08/2024;13:30;BTSV;Magdeburg;1;3;-2
2;11/08/2024;13:30;Preußen Münster;Hannover 96;0;0;0
2;11/08/2024;13:30;Paderborn 07;Darmstadt 98;3;1;2
3;23/08/2024;18:30;Karlsruher;Elversberg;3;2;1
3;23/08/2024;18:30;Hannover 96;Hamburger SV;1;0;1
3;24/08/2024;13:00;Greuther Fürth;Paderborn 07;1;1;0
3;24/08/2024;13:00;Preußen Münster;Kaiserslautern;0;1;-1
3;24/08/2024;13:00;Hertha BSC;Jahn R'burg;2;0;2
3;24/08/2024;20:30;Köln;BTSV;5;0;5
3;25/08/2024;13:30;Magdeburg;Schalke 04;2;2;0
3;25/08/2024;13:30;Ulm;Düsseldorf;1;2;-1
3;25/08/2024;13:30;Darmstadt 98;Nürnberg;1;1;0
4;30/08/2024;18:30;Jahn R'burg;Greuther Fürth;0;4;-4
4;30/08/2024;18:30;Düsseldorf;Hannover 96;1;0;1
4;31/08/2024;13:00;Nürnberg;Magdeburg;0;4;-4
4;31/08/2024;13:00;Hamburger SV;Preußen Münster;4;1;3
4;31/08/2024;13:00;Elversberg;Darmstadt 98;4;0;4
4;31/08/2024;20:30;Kaiserslautern;Hertha BSC;3;4;-1
4;01/09/2024;13:30;Paderborn 07;Ulm;0;0;0
