WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;15/02/2025;18:00;O'Higgins;Huachipato;0;0;0
1;15/02/2025;18:00;Palestino;Cobresal;2;1;1
1;15/02/2025;20:30;U de Chile;Ñublense;5;0;5
1;14/02/2025;21:00;Iquique;Coquimbo Unido;0;3;-3
1;16/02/2025;12:00;La Serena;Colo-Colo;1;3;-2
1;16/02/2025;20:30;CD Limache;Everton;1;1;0
1;17/02/2025;18:00;Univ Católica;Audax Italiano;3;1;2
1;17/02/2025;20:30;La Calera;Unión Española;4;0;4
2;21/02/2025;18:00;Audax Italiano;Iquique;4;2;2
2;21/02/2025;18:00;Unión Española;Palestino;0;3;-3
2;22/02/2025;18:00;Coquimbo Unido;Univ Católica;1;0;1
2;22/02/2025;20:30;Ñublense;CD Limache;1;1;0
2;23/02/2025;12:00;Huachipato;Everton;4;0;4
2;23/02/2025;18:00;Cobresal;La Serena;3;1;2
2;23/02/2025;20:30;U de Chile;La Calera;1;0;1
2;24/02/2025;20:00;Colo-Colo;O'Higgins;0;1;-1
3;28/02/2025;20:00;CD Limache;Coquimbo Unido;1;2;-1
3;01/03/2025;12:00;La Serena;Unión Española;1;0;1
3;01/03/2025;18:00;Palestino;Audax Italiano;0;2;-2
3;01/03/2025;18:00;Univ Católica;Iquique;1;0;1
3;01/03/2025;20:30;Everton;Ñublense;1;2;-1
3;02/03/2025;12:00;Huachipato;Colo-Colo;2;1;1
3;02/03/2025;18:00;Cobresal;U de Chile;2;1;1
3;02/03/2025;20:30;La Calera;O'Higgins;2;2;0
4;07/03/2025;20:00;La Calera;Huachipato;1;0;1
4;08/03/2025;18:00;Ñublense;Univ Católica;1;1;0
4;08/03/2025;20:30;Iquique;Palestino;1;3;-2
4;08/03/2025;20:30;Audax Italiano;CD Limache;3;1;2
4;09/03/2025;12:00;Coquimbo Unido;Cobresal;1;1;0
4;09/03/2025;18:00;O'Higgins;La Serena;1;1;0
4;09/03/2025;20:30;Colo-Colo;Everton;2;0;2
5;14/03/2025;18:00;Audax Italiano;U de Chile;1;1;0
5;14/03/2025;20:30;CD Limache;Huachipato;2;3;-1
5;15/03/2025;20:30;Everton;Coquimbo Unido;0;0;0
5;16/03/2025;12:00;La Serena;La Calera;1;0;1
5;16/03/2025;18:00;Palestino;Ñublense;2;0;2
5;16/03/2025;18:00;Cobresal;O'Higgins;0;0;0
5;16/03/2025;20:30;Iquique;Unión Española;0;4;-4
6;27/03/2025;18:15;Colo-Colo;Palestino;1;1;0
6;27/03/2025;20:30;Everton;U de Chile;2;0;2
6;28/03/2025;18:15;Unión Española;Univ Católica;1;2;-1
6;28/03/2025;20:30;Ñublense;Iquique;1;1;0
6;29/03/2025;18:00;O'Higgins;CD Limache;3;1;2
6;30/03/2025;12:00;Huachipato;La Serena;3;1;2
6;30/03/2025;18:00;Coquimbo Unido;Audax Italiano;2;1;1
6;30/03/2025;20:30;La Calera;Cobresal;2;1;1
7;12/04/2025;12:30;Coquimbo Unido;Huachipato;0;0;0
7;12/04/2025;15:00;Cobresal;Univ Católica;1;1;0
7;13/04/2025;12:30;La Serena;Everton;2;1;1
7;12/04/2025;20:00;Audax Italiano;O'Higgins;1;0;1
7;14/04/2025;15:00;Palestino;La Calera;1;0;1
7;14/04/2025;18:00;Unión Española;Ñublense;3;0;3
7;14/04/2025;20:30;CD Limache;Iquique;2;0;2
8;17/04/2025;18:00;U de Chile;La Serena;3;1;2
8;18/04/2025;18:00;Audax Italiano;Unión Española;2;0;2
8;19/04/2025;15:00;Huachipato;Cobresal;0;1;-1
8;19/04/2025;17:30;Univ Católica;CD Limache;2;1;1
8;20/04/2025;12:30;Everton;La Calera;1;1;0
8;20/04/2025;15:00;O'Higgins;Palestino;1;0;1
8;20/04/2025;20:00;Ñublense;Coquimbo Unido;0;0;0
9;25/04/2025;18:00;Ñublense;La Serena;2;0;2
9;25/04/2025;18:00;La Calera;Audax Italiano;1;0;1
9;26/04/2025;14:00;Cobresal;CD Limache;3;1;2
9;26/04/2025;16:00;Colo-Colo;Coquimbo Unido;2;0;2
9;25/04/2025;20:30;Univ Católica;Everton;6;0;6
9;27/04/2025;12:30;O'Higgins;Iquique;2;2;0
9;27/04/2025;15:00;Palestino;U de Chile;2;3;-1
9;27/04/2025;17:30;Huachipato;Unión Española;2;1;1
10;02/05/2025;16:00;CD Limache;Colo-Colo;1;0;1
10;04/05/2025;00:30;Coquimbo Unido;O'Higgins;2;0;2
10;03/05/2025;12:30;Everton;Palestino;1;2;-1
10;03/05/2025;16:00;U de Chile;Univ Católica;1;0;1
10;02/05/2025;20:30;Unión Española;Cobresal;0;1;-1
10;04/05/2025;15:00;Iquique;Huachipato;3;0;3
