WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;19/07/2024;18:00;Jagiellonia;Puszcza Niepołomice;2;0;2
1;19/07/2024;20:30;Śląsk Wrocław;Lechia Gdańsk;1;1;0
1;20/07/2024;14:45;Katowice;Radomiak Radom;1;2;-1
1;20/07/2024;17:30;Pogoń Szczecin;Korona Kielce;3;0;3
1;20/07/2024;20:15;Legia Warsaw;Zagłębie Lubin;2;0;2
1;21/07/2024;14:45;Cracovia;Piast Gliwice;1;1;0
1;21/07/2024;17:30;Lech Poznań;Górnik Zabrze;2;0;2
1;21/07/2024;20:15;Motor Lublin;RKS Raków;0;2;-2
1;22/07/2024;19:00;Stal Mielec;Widzew Łódź;1;1;0
2;26/07/2024;18:00;Puszcza Niepołomice;Górnik Zabrze;2;2;0
2;26/07/2024;20:30;Lechia Gdańsk;Motor Lublin;0;2;-2
2;27/07/2024;14:45;Stal Mielec;Katowice;0;1;-1
2;27/07/2024;17:30;Radomiak Radom;Jagiellonia;2;3;-1
2;27/07/2024;20:15;Widzew Łódź;Lech Poznań;2;1;1
2;28/07/2024;14:45;Zagłębie Lubin;Pogoń Szczecin;2;2;0
2;28/07/2024;17:30;Piast Gliwice;Śląsk Wrocław;2;0;2
2;28/07/2024;20:15;Korona Kielce;Legia Warsaw;0;1;-1
2;29/07/2024;19:00;RKS Raków;Cracovia;0;1;-1
3;02/08/2024;18:00;Zagłębie Lubin;Puszcza Niepołomice;1;0;1
3;02/08/2024;20:30;Górnik Zabrze;Pogoń Szczecin;1;0;1
3;03/08/2024;14:45;Katowice;RKS Raków;0;1;-1
3;03/08/2024;17:30;Jagiellonia;Stal Mielec;2;0;2
3;03/08/2024;20:15;Lech Poznań;Lechia Gdańsk;3;1;2
3;04/08/2024;14:45;Motor Lublin;Korona Kielce;1;1;0
3;04/08/2024;20:15;Legia Warsaw;Piast Gliwice;1;2;-1
3;05/08/2024;19:00;Cracovia;Widzew Łódź;1;3;-2
4;09/08/2024;18:00;Radomiak Radom;Górnik Zabrze;1;2;-1
4;09/08/2024;20:30;RKS Raków;Lech Poznań;0;0;0
4;10/08/2024;17:30;Korona Kielce;Cracovia;0;2;-2
4;10/08/2024;20:15;Pogoń Szczecin;Stal Mielec;1;0;1
4;11/08/2024;14:45;Lechia Gdańsk;Zagłębie Lubin;1;1;0
4;11/08/2024;17:30;Puszcza Niepołomice;Legia Warsaw;2;2;0
4;11/08/2024;20:15;Widzew Łódź;Śląsk Wrocław;0;0;0
4;12/08/2024;19:00;Piast Gliwice;Katowice;2;2;0
5;16/08/2024;18:00;Puszcza Niepołomice;Lechia Gdańsk;4;1;3
5;16/08/2024;20:30;Katowice;Motor Lublin;0;0;0
5;17/08/2024;14:45;Jagiellonia;Cracovia;2;4;-2
5;17/08/2024;17:30;Zagłębie Lubin;Lech Poznań;0;1;-1
5;17/08/2024;20:15;Pogoń Szczecin;Widzew Łódź;2;0;2
5;18/08/2024;14:45;Śląsk Wrocław;Korona Kielce;1;1;0
5;18/08/2024;17:30;Legia Warsaw;Radomiak Radom;4;1;3
5;18/08/2024;20:15;Górnik Zabrze;RKS Raków;0;0;0
5;19/08/2024;19:00;Stal Mielec;Piast Gliwice;2;0;2
6;23/08/2024;18:00;Widzew Łódź;Radomiak Radom;3;2;1
6;23/08/2024;20:30;Lechia Gdańsk;RKS Raków;1;2;-1
6;24/08/2024;14:45;Motor Lublin;Puszcza Niepołomice;0;0;0
6;24/08/2024;17:30;Cracovia;Górnik Zabrze;3;2;1
6;24/08/2024;20:15;Piast Gliwice;Zagłębie Lubin;1;0;1
