WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;26/07/2024;20:45;Club Brugge;Mechelen;1;1;0
1;27/07/2024;16:00;Dender;Union SG;0;0;0
1;27/07/2024;18:15;Beerschot;OH Leuven;0;0;0
1;27/07/2024;20:45;Anderlecht;Sint-Truiden;1;0;1
1;28/07/2024;13:30;Genk;Standard Liège;0;0;0
1;28/07/2024;16:00;Kortrijk;Gent;0;1;-1
1;28/07/2024;18:30;Charleroi;Antwerp;0;1;-1
1;28/07/2024;19:15;Westerlo;Cercle Brugge;3;0;3
2;02/08/2024;20:45;Union SG;Beerschot;3;1;2
2;03/08/2024;16:00;Mechelen;Westerlo;2;4;-2
2;03/08/2024;18:15;OH Leuven;Genk;3;1;2
2;03/08/2024;20:45;Sint-Truiden;Charleroi;1;4;-3
2;04/08/2024;13:30;Antwerp;Anderlecht;1;2;-1
2;04/08/2024;16:00;Cercle Brugge;Kortrijk;1;2;-1
2;04/08/2024;18:30;Standard Liège;Club Brugge;1;0;1
2;04/08/2024;19:15;Gent;Dender;1;2;-1
3;09/08/2024;20:45;Standard Liège;Mechelen;0;0;0
3;10/08/2024;16:00;Dender;Kortrijk;4;1;3
3;10/08/2024;18:15;Westerlo;Union SG;4;3;1
3;10/08/2024;20:45;Anderlecht;OH Leuven;1;1;0
3;11/08/2024;13:30;Genk;Club Brugge;3;2;1
3;11/08/2024;16:00;Antwerp;Sint-Truiden;6;1;5
3;11/08/2024;18:30;Charleroi;Gent;1;0;1
3;11/08/2024;19:15;Cercle Brugge;Beerschot;4;1;3
4;16/08/2024;20:45;Union SG;Charleroi;1;0;1
4;17/08/2024;16:00;Beerschot;Genk;3;4;-1
4;17/08/2024;18:15;Sint-Truiden;Dender;3;3;0
4;17/08/2024;20:45;Mechelen;Anderlecht;1;3;-2
4;18/08/2024;13:30;Club Brugge;Antwerp;1;0;1
4;18/08/2024;16:00;OH Leuven;Cercle Brugge;1;1;0
4;18/08/2024;18:30;Kortrijk;Standard Liège;1;0;1
4;18/08/2024;19:15;Gent;Westerlo;4;1;3
5;24/08/2024;18:15;Westerlo;OH Leuven;1;1;0
5;24/08/2024;20:45;Antwerp;Mechelen;0;1;-1
5;25/08/2024;13:30;Dender;Club Brugge;1;2;-1
5;25/08/2024;16:00;Sint-Truiden;Union SG;0;0;0
5;25/08/2024;18:30;Standard Liège;Beerschot;1;0;1
5;25/08/2024;19:15;Charleroi;Kortrijk;1;0;1
6;30/08/2024;20:45;Genk;Westerlo;1;0;1
6;31/08/2024;16:00;Mechelen;Charleroi;5;2;3
6;31/08/2024;18:15;Beerschot;Dender;1;2;-1
6;31/08/2024;20:45;OH Leuven;Standard Liège;2;0;2
6;01/09/2024;13:30;Club Brugge;Cercle Brugge;3;0;3
6;01/09/2024;16:00;Gent;Antwerp;1;1;0
6;01/09/2024;18:30;Union SG;Anderlecht;0;0;0
6;01/09/2024;19:15;Kortrijk;Sint-Truiden;1;1;0
7;13/09/2024;20:45;Dender;Standard Liège;0;2;-2
7;14/09/2024;16:00;Cercle Brugge;Genk;2;3;-1
7;14/09/2024;18:15;Kortrijk;Club Brugge;0;3;-3
7;14/09/2024;20:45;Anderlecht;Westerlo;2;2;0
7;15/09/2024;13:30;Antwerp;Union SG;2;0;2
7;15/09/2024;16:00;Sint-Truiden;OH Leuven;2;1;1
7;15/09/2024;18:30;Charleroi;Beerschot;3;0;3
7;15/09/2024;19:15;Gent;Mechelen;2;0;2
5;17/09/2024;20:00;Anderlecht;Genk;0;2;-2
8;20/09/2024;20:45;Standard Liège;Union SG;0;0;0
8;21/09/2024;16:00;Beerschot;Sint-Truiden;0;3;-3
8;21/09/2024;18:15;Westerlo;Antwerp;1;2;-1
8;21/09/2024;20:45;Anderlecht;Charleroi;0;0;0
8;22/09/2024;13:30;Club Brugge;Gent;2;4;-2
8;22/09/2024;16:00;Mechelen;Cercle Brugge;2;0;2
8;22/09/2024;18:30;Genk;Dender;4;0;4
8;22/09/2024;19:15;OH Leuven;Kortrijk;1;1;0
5;26/09/2024;20:45;Cercle Brugge;Gent;2;1;1
9;27/09/2024;20:45;Charleroi;Club Brugge;1;1;0
9;28/09/2024;16:00;Genk;Mechelen;2;1;1
9;28/09/2024;18:15;Standard Liège;Westerlo;1;2;-1
9;28/09/2024;20:45;Dender;Anderlecht;1;1;0
9;29/09/2024;13:30;Antwerp;Beerschot;5;0;5
9;29/09/2024;16:00;Union SG;Kortrijk;3;0;3
9;29/09/2024;18:30;Gent;OH Leuven;3;0;3
9;29/09/2024;19:15;Cercle Brugge;Sint-Truiden;1;1;0
10;04/10/2024;20:45;Westerlo;Beerschot;2;2;0
10;05/10/2024;16:00;Mechelen;OH Leuven;5;0;5
10;05/10/2024;18:15;Kortrijk;Genk;2;1;1
10;05/10/2024;20:45;Dender;Charleroi;1;0;1
10;06/10/2024;13:30;Anderlecht;Standard Liège;3;0;3
