WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;03/08/2024;15:30;Veres Rivne;Karpaty Lviv;0;0;0
1;03/08/2024;18:00;Kryvbas;Chornomorets Odesa;1;0;1
1;04/08/2024;13:00;FC LNZ Cherkasy;FK Livyi Bereh;1;0;1
1;04/08/2024;15:30;Vorskla Poltava;Shakhtar;0;5;-5
1;04/08/2024;15:30;Obolon-Brovar Kyiv;FK Kolos;2;2;0
1;04/08/2024;18:00;Zorya Luhansk;FK Inhulets;2;1;1
2;09/08/2024;15:30;FK Livyi Bereh;Vorskla Poltava;0;3;-3
2;09/08/2024;18:00;Veres Rivne;Dynamo Kyiv;1;2;-1
2;10/08/2024;15:30;Chornomorets Odesa;Zorya Luhansk;0;1;-1
2;10/08/2024;18:00;FK Kolos;FK Inhulets;0;0;0
2;11/08/2024;13:00;Obolon-Brovar Kyiv;Rukh Lviv;0;4;-4
2;11/08/2024;15:30;Karpaty Lviv;Kryvbas;3;0;3
2;11/08/2024;18:00;Shakhtar;FC Polissya Zhytomyr;0;1;-1
2;12/08/2024;15:30;FC LNZ Cherkasy;FC Oleksandriya;0;2;-2
3;16/08/2024;15:30;Chornomorets Odesa;FK Kolos;1;0;1
3;16/08/2024;18:35;Vorskla Poltava;Obolon-Brovar Kyiv;2;0;2
3;17/08/2024;13:30;Zorya Luhansk;FC Oleksandriya;1;2;-1
3;17/08/2024;15:30;FC Polissya Zhytomyr;FK Inhulets;1;1;0
3;17/08/2024;18:00;Karpaty Lviv;Dynamo Kyiv;1;3;-2
3;18/08/2024;15:30;Veres Rivne;Kryvbas;0;2;-2
3;18/08/2024;15:30;FC LNZ Cherkasy;Rukh Lviv;3;1;2
3;18/08/2024;18:00;FK Livyi Bereh;Shakhtar;0;1;-1
4;24/08/2024;13:00;FC Oleksandriya;Shakhtar;4;3;1
4;25/08/2024;13:00;FC Polissya Zhytomyr;Obolon-Brovar Kyiv;4;0;4
4;25/08/2024;15:30;Rukh Lviv;Zorya Luhansk;3;0;3
4;25/08/2024;18:00;Kryvbas;FK Inhulets;1;1;0
4;26/08/2024;17:00;FK Livyi Bereh;Chornomorets Odesa;1;0;1
4;26/08/2024;18:00;FK Kolos;Veres Rivne;0;1;-1
4;26/08/2024;19:00;FC LNZ Cherkasy;Karpaty Lviv;2;1;1
5;30/08/2024;15:30;Obolon-Brovar Kyiv;Zorya Luhansk;0;2;-2
5;30/08/2024;18:00;Rukh Lviv;FK Inhulets;5;0;5
5;31/08/2024;13:00;Karpaty Lviv;Vorskla Poltava;1;1;0
5;31/08/2024;15:30;FC Oleksandriya;FK Kolos;2;1;1
5;31/08/2024;18:00;Chornomorets Odesa;FC Polissya Zhytomyr;1;4;-3
