WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;03/08/2024;12:30;Hearts;Rangers;0;0;0
1;03/08/2024;15:00;Motherwell;Ross County;0;0;0
1;04/08/2024;13:30;Dundee United;Dundee;2;2;0
1;04/08/2024;15:00;St Mirren;Hibernian;3;0;3
1;04/08/2024;16:30;Celtic;Kilmarnock;4;0;4
1;05/08/2024;20:00;St Johnstone;Aberdeen;1;2;-1
2;10/08/2024;15:00;Ross County;Dundee United;1;1;0
2;10/08/2024;15:00;Rangers;Motherwell;2;1;1
2;10/08/2024;17:30;Dundee;Hearts;3;1;2
2;11/08/2024;12:30;Hibernian;Celtic;0;2;-2
2;11/08/2024;15:00;Kilmarnock;St Johnstone;0;3;-3
2;11/08/2024;15:00;Aberdeen;St Mirren;3;1;2
3;24/08/2024;15:00;Hibernian;Dundee;2;2;0
3;24/08/2024;15:00;Dundee United;St Johnstone;2;0;2
3;24/08/2024;15:00;Rangers;Ross County;6;0;6
3;25/08/2024;12:00;St Mirren;Celtic;0;3;-3
3;25/08/2024;15:00;Motherwell;Hearts;3;1;2
3;25/08/2024;15:00;Aberdeen;Kilmarnock;2;0;2
4;31/08/2024;15:00;St Johnstone;Motherwell;1;2;-1
4;31/08/2024;15:00;Dundee;St Mirren;2;2;0
4;31/08/2024;17:45;Ross County;Aberdeen;0;1;-1
4;01/09/2024;12:30;Celtic;Rangers;3;0;3
4;01/09/2024;15:00;Kilmarnock;Hibernian;1;1;0
4;01/09/2024;15:00;Hearts;Dundee United;0;1;-1
5;14/09/2024;15:00;Ross County;Dundee;2;0;2
5;14/09/2024;15:00;Aberdeen;Motherwell;2;1;1
5;14/09/2024;15:00;Hibernian;St Johnstone;2;0;2
5;14/09/2024;15:00;Celtic;Hearts;2;0;2
5;14/09/2024;15:00;St Mirren;Kilmarnock;2;2;0
5;15/09/2024;12:00;Dundee United;Rangers;0;1;-1
15;21/09/2024;15:00;Ross County;St Johnstone;3;3;0
15;21/09/2024;15:00;St Mirren;Hearts;2;1;1
6;28/09/2024;15:00;Kilmarnock;Dundee United;3;3;0
6;28/09/2024;15:00;Hearts;Ross County;1;1;0
6;28/09/2024;15:00;Dundee;Aberdeen;1;2;-1
6;28/09/2024;15:00;Motherwell;St Mirren;2;1;1
6;28/09/2024;17:45;St Johnstone;Celtic;0;6;-6
6;29/09/2024;12:00;Rangers;Hibernian;1;0;1
7;05/10/2024;15:00;Dundee;Kilmarnock;2;3;-1
7;05/10/2024;15:00;St Mirren;Dundee United;0;1;-1
7;05/10/2024;15:00;Hibernian;Motherwell;1;2;-1
7;06/10/2024;12:00;Ross County;Celtic;1;2;-1
7;06/10/2024;15:00;Aberdeen;Hearts;3;2;1
7;06/10/2024;20:00;Rangers;St Johnstone;2;0;2
8;19/10/2024;15:00;St Johnstone;Ross County;3;0;3
8;19/10/2024;15:00;Hearts;St Mirren;4;0;4
8;19/10/2024;15:00;Celtic;Aberdeen;2;2;0
8;19/10/2024;15:00;Motherwell;Dundee;0;1;-1
8;19/10/2024;15:00;Dundee United;Hibernian;3;2;1
8;20/10/2024;12:00;Kilmarnock;Rangers;1;0;1
9;26/10/2024;15:00;Ross County;Kilmarnock;2;1;1
9;26/10/2024;15:00;Dundee;St Johnstone;1;2;-1
9;26/10/2024;17:30;Aberdeen;Dundee United;1;0;1
9;27/10/2024;12:00;Hibernian;Hearts;1;1;0
9;27/10/2024;15:00;Rangers;St Mirren;2;1;1
9;27/10/2024;15:00;Motherwell;Celtic;0;3;-3
10;30/10/2024;19:45;St Mirren;St Johnstone;3;1;2
10;30/10/2024;19:45;Hearts;Kilmarnock;1;2;-1
10;30/10/2024;19:45;Dundee United;Motherwell;1;2;-1
10;30/10/2024;19:45;Celtic;Dundee;2;0;2
10;30/10/2024;19:45;Ross County;Hibernian;0;0;0
10;30/10/2024;20:00;Aberdeen;Rangers;2;1;1
11;02/11/2024;15:00;St Johnstone;Hearts;1;2;-1
11;02/11/2024;15:00;St Mirren;Ross County;0;0;0
15;03/11/2024;15:00;Hibernian;Dundee United;1;1;0
23;03/11/2024;15:00;Dundee;Kilmarnock;3;2;1
12;09/11/2024;15:00;Hibernian;St Mirren;1;2;-1
12;09/11/2024;15:00;Dundee United;Ross County;3;0;3
12;09/11/2024;15:00;Motherwell;St Johnstone;2;1;1
12;09/11/2024;17:30;Aberdeen;Dundee;4;1;3
12;10/11/2024;15:00;Kilmarnock;Celtic;0;2;-2
12;10/11/2024;17:00;Rangers;Hearts;1;0;1
13;23/11/2024;15:00;Ross County;Motherwell;2;1;1
13;23/11/2024;15:00;St Johnstone;Kilmarnock;1;0;1
13;23/11/2024;15:45;Rangers;Dundee United;1;1;0
13;23/11/2024;16:00;St Mirren;Aberdeen;2;1;1
13;23/11/2024;17:45;Dundee;Hibernian;4;1;3
13;23/11/2024;19:45;Hearts;Celtic;1;4;-3
11;26/11/2024;19:45;Hibernian;Aberdeen;3;3;0
14;30/11/2024;15:00;Celtic;Ross County;5;0;5
14;30/11/2024;15:00;Motherwell;Hibernian;0;3;-3
14;30/11/2024;15:00;Dundee United;St Mirren;2;0;2
14;30/11/2024;15:00;Kilmarnock;Dundee;1;1;0
14;01/12/2024;12:00;St Johnstone;Rangers;0;1;-1
14;01/12/2024;15:00;Hearts;Aberdeen;1;1;0
15;04/12/2024;19:45;Dundee;Motherwell;4;1;3
15;04/12/2024;19:45;Rangers;Kilmarnock;6;0;6
15;04/12/2024;20:00;Aberdeen;Celtic;0;1;-1
16;07/12/2024;15:00;Hearts;Dundee;2;0;2
16;07/12/2024;15:00;St Mirren;Motherwell;0;1;-1
16;07/12/2024;15:00;Celtic;Hibernian;3;0;3
16;07/12/2024;15:00;Aberdeen;St Johnstone;1;1;0
16;07/12/2024;15:00;Dundee United;Kilmarnock;1;1;0
