WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;24/01/2025;18:00;Boyacá Chicó;CA Bucaramanga;1;0;1
1;25/01/2025;17:00;CD América;Llaneros;4;3;1
1;26/01/2025;15:00;Santa Fe;Pereira;2;1;1
1;26/01/2025;17:10;Junior;AD Cali;0;0;0
1;25/01/2025;19:30;Nacional;Once Caldas;4;0;4
1;27/01/2025;18:00;Rionegro;La Equidad;1;1;0
1;26/01/2025;19:20;Alianza;Independiente;1;1;0
1;27/01/2025;20:10;Tolima;Pasto;2;0;2
1;28/01/2025;20:00;Fortaleza FC;Envigado;0;0;0
2;01/02/2025;15:00;Once Caldas;Fortaleza FC;2;1;1
2;01/02/2025;17:10;Pasto;Millonarios;0;1;-1
2;31/01/2025;19:30;Santa Fe;Tolima;0;0;0
2;02/02/2025;14:00;La Equidad;Nacional;0;1;-1
2;02/02/2025;16:10;AD Cali;Envigado;1;0;1
2;02/02/2025;18:20;Independiente;Boyacá Chicó;3;0;3
2;01/02/2025;19:20;Junior;Rionegro;2;2;0
2;03/02/2025;18:30;Pereira;Alianza;0;0;0
2;02/02/2025;20:30;CA Bucaramanga;CD América;0;4;-4
2;03/02/2025;20:30;Llaneros;Unión Magdalena;2;0;2
3;07/02/2025;18:00;Rionegro;Santa Fe;0;0;0
3;08/02/2025;14:00;Boyacá Chicó;Llaneros;2;2;0
3;08/02/2025;16:10;CD América;Pasto;1;1;0
3;08/02/2025;18:20;Unión Magdalena;Junior;0;0;0
3;07/02/2025;20:10;Tolima;Alianza;3;1;2
3;09/02/2025;14:00;Envigado;Independiente;0;1;-1
3;09/02/2025;16:10;Once Caldas;CA Bucaramanga;2;1;1
3;09/02/2025;18:20;Fortaleza FC;AD Cali;1;0;1
3;08/02/2025;20:30;Millonarios;La Equidad;2;1;1
3;09/02/2025;20:30;Nacional;Pereira;3;0;3
4;12/02/2025;16:30;Pasto;Boyacá Chicó;3;0;3
4;12/02/2025;18:30;Independiente;Unión Magdalena;1;1;0
4;11/02/2025;19:30;Llaneros;Millonarios;2;2;0
4;13/02/2025;16:30;La Equidad;Envigado;2;3;-1
4;13/02/2025;18:30;Junior;Once Caldas;2;0;2
4;12/02/2025;20:30;Santa Fe;Nacional;2;2;0
4;13/02/2025;20:30;Pereira;Tolima;0;0;0
5;15/02/2025;16:00;CD América;Santa Fe;2;0;2
4;14/02/2025;19:30;AD Cali;CA Bucaramanga;0;0;0
5;16/02/2025;17:10;Unión Magdalena;La Equidad;0;0;0
5;15/02/2025;20:10;Millonarios;Independiente;0;1;-1
5;17/02/2025;16:00;Envigado;Pasto;0;1;-1
5;18/02/2025;16:00;CA Bucaramanga;Alianza;0;0;0
5;18/02/2025;18:10;Llaneros;AD Cali;0;1;-1
5;17/02/2025;20:10;Fortaleza FC;Rionegro;2;1;1
5;18/02/2025;20:20;Boyacá Chicó;Junior;0;2;-2
1;20/02/2025;18:30;Unión Magdalena;Millonarios;1;3;-2
5;19/02/2025;20:10;Once Caldas;Pereira;3;1;2
6;22/02/2025;18:20;Rionegro;Once Caldas;0;1;-1
6;21/02/2025;19:30;La Equidad;Boyacá Chicó;0;1;-1
6;23/02/2025;16:00;Alianza;Nacional;3;2;1
6;23/02/2025;18:10;AD Cali;Millonarios;3;1;2
6;22/02/2025;20:30;Pereira;Fortaleza FC;2;0;2
6;23/02/2025;20:20;Tolima;CD América;0;0;0
6;24/02/2025;19:30;Junior;Envigado;1;2;-1
6;25/02/2025;19:30;Pasto;Unión Magdalena;2;1;1
7;28/02/2025;16:10;Envigado;Santa Fe;1;7;-6
6;27/02/2025;20:00;Independiente;Llaneros;3;0;3
7;01/03/2025;15:00;CA Bucaramanga;Junior;1;1;0
7;28/02/2025;20:10;Boyacá Chicó;Rionegro;1;1;0
7;02/03/2025;15:00;Once Caldas;Alianza;1;2;-1
7;02/03/2025;17:30;Millonarios;Tolima;2;0;2
7;01/03/2025;20:00;CD América;Pereira;2;0;2
7;03/03/2025;17:00;Unión Magdalena;AD Cali;2;2;0
7;04/03/2025;18:30;Llaneros;La Equidad;1;0;1
7;03/03/2025;19:30;Independiente;Pasto;1;0;1
7;04/03/2025;20:30;Fortaleza FC;Nacional;1;5;-4
8;08/03/2025;14:00;Pereira;Envigado;2;0;2
8;08/03/2025;16:10;Alianza;Unión Magdalena;1;0;1
8;08/03/2025;18:20;Pasto;Llaneros;1;0;1
8;07/03/2025;19:30;Rionegro;CA Bucaramanga;0;1;-1
8;09/03/2025;15:00;Santa Fe;Fortaleza FC;2;0;2
8;09/03/2025;17:30;Junior;Millonarios;2;1;1
8;08/03/2025;20:30;La Equidad;Independiente;0;0;0
8;10/03/2025;18:20;AD Cali;Boyacá Chicó;0;0;0
8;09/03/2025;19:45;Nacional;CD América;1;0;1
8;10/03/2025;20:30;Tolima;Once Caldas;2;0;2
9;14/03/2025;18:30;CA Bucaramanga;Pereira;0;1;-1
9;15/03/2025;14:00;Envigado;Nacional;0;0;0
9;15/03/2025;16:10;Fortaleza FC;Tolima;1;1;0
9;15/03/2025;18:20;CD América;Alianza;3;0;3
9;14/03/2025;20:30;Pasto;La Equidad;2;1;1
9;16/03/2025;14:00;Millonarios;Rionegro;1;0;1
9;16/03/2025;16:10;Unión Magdalena;Boyacá Chicó;1;1;0
9;16/03/2025;18:20;Independiente;AD Cali;0;0;0
9;15/03/2025;20:30;Once Caldas;Santa Fe;0;1;-1
9;16/03/2025;20:30;Llaneros;Junior;0;1;-1
6;19/03/2025;18:30;Santa Fe;CA Bucaramanga;1;1;0
5;19/03/2025;20:30;Nacional;Tolima;4;3;1
10;22/03/2025;14:00;Boyacá Chicó;Pasto;0;0;0
10;22/03/2025;16:10;La Equidad;Fortaleza FC;1;1;0
10;22/03/2025;18:20;Pereira;Once Caldas;1;1;0
10;23/03/2025;15:30;Alianza;CA Bucaramanga;1;2;-1
10;23/03/2025;17:45;Nacional;Independiente;1;1;0
10;22/03/2025;20:30;Santa Fe;Millonarios;3;2;1
10;24/03/2025;16:00;Tolima;Llaneros;1;0;1
10;24/03/2025;18:10;AD Cali;CD América;1;1;0
10;23/03/2025;20:00;Rionegro;Envigado;1;0;1
4;26/03/2025;16:00;Alianza;Fortaleza FC;0;0;0
10;26/03/2025;18:30;Junior;Unión Magdalena;2;1;1
16;27/03/2025;18:00;Once Caldas;Llaneros;1;0;1
17;26/03/2025;20:30;Millonarios;Santa Fe;2;0;2
18;27/03/2025;20:10;CD América;Boyacá Chicó;3;0;3
