WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;05/04/2025;15:00;Ilves;HJK;3;2;1
1;05/04/2025;17:00;KTP;SJK;0;1;-1
1;05/04/2025;17:00;VPS;AC Oulu;4;3;1
1;05/04/2025;17:00;Inter Turku;KuPS;1;1;0
1;05/04/2025;17:00;IFK Mariehamn;FF Jaro;0;2;-2
1;05/04/2025;19:00;Haka;IF Gnistan;3;2;1
2;11/04/2025;18:00;KTP;VPS;2;2;0
2;11/04/2025;20:00;SJK;HJK;1;0;1
2;12/04/2025;14:30;Ilves;FF Jaro;2;1;1
2;12/04/2025;15:00;Haka;IFK Mariehamn;0;1;-1
2;12/04/2025;17:00;Inter Turku;IF Gnistan;3;0;3
2;12/04/2025;19:23;KuPS;AC Oulu;1;0;1
3;19/04/2025;15:00;VPS;Inter Turku;0;2;-2
3;19/04/2025;17:00;KTP;Ilves;0;5;-5
3;19/04/2025;17:00;Haka;AC Oulu;2;1;1
3;19/04/2025;17:00;IFK Mariehamn;SJK;1;2;-1
3;19/04/2025;19:00;KuPS;FF Jaro;1;0;1
3;22/04/2025;19:00;HJK;IF Gnistan;0;1;-1
15;23/04/2025;18:00;KuPS;IFK Mariehamn;4;1;3
13;23/04/2025;19:00;SJK;AC Oulu;3;1;2
4;26/04/2025;15:00;AC Oulu;Inter Turku;1;4;-3
4;26/04/2025;17:00;FF Jaro;KTP;2;3;-1
4;26/04/2025;19:00;HJK;VPS;3;1;2
4;27/04/2025;16:00;IF Gnistan;KuPS;1;2;-1
4;27/04/2025;18:30;IFK Mariehamn;Ilves;3;2;1
4;28/04/2025;19:00;SJK;Haka;2;2;0
5;02/05/2025;18:00;KTP;AC Oulu;1;3;-2
5;02/05/2025;18:00;Haka;FF Jaro;0;1;-1
5;02/05/2025;18:00;VPS;Ilves;1;0;1
5;02/05/2025;20:00;KuPS;SJK;1;0;1
5;03/05/2025;15:00;IF Gnistan;IFK Mariehamn;2;0;2
5;03/05/2025;17:00;Inter Turku;HJK;1;1;0
6;09/05/2025;19:31;Ilves;Haka;3;2;1
6;10/05/2025;15:00;KuPS;KTP;3;0;3
6;10/05/2025;17:00;IFK Mariehamn;Inter Turku;2;2;0
6;10/05/2025;19:00;AC Oulu;IF Gnistan;2;3;-1
6;11/05/2025;16:00;FF Jaro;HJK;0;3;-3
6;12/05/2025;19:00;SJK;VPS;2;3;-1
7;16/05/2025;18:00;IF Gnistan;SJK;2;2;0
7;16/05/2025;20:00;Haka;KuPS;1;3;-2
7;17/05/2025;17:00;AC Oulu;IFK Mariehamn;0;1;-1
7;17/05/2025;17:00;Inter Turku;Ilves;3;1;2
7;17/05/2025;17:00;HJK;KTP;4;1;3
7;17/05/2025;19:00;VPS;FF Jaro;0;0;0
15;20/05/2025;18:00;HJK;SJK;4;2;2
17;21/05/2025;18:00;Ilves;KuPS;3;0;3
8;23/05/2025;18:00;KTP;Haka;0;0;0
8;24/05/2025;15:00;FF Jaro;IF Gnistan;1;1;0
8;24/05/2025;17:00;Ilves;AC Oulu;0;0;0
8;24/05/2025;19:00;IFK Mariehamn;HJK;0;4;-4
8;25/05/2025;16:00;KuPS;VPS;0;2;-2
8;25/05/2025;18:30;SJK;Inter Turku;0;1;-1
9;31/05/2025;15:00;KTP;IFK Mariehamn;2;2;0
9;31/05/2025;17:00;AC Oulu;SJK;2;2;0
9;31/05/2025;17:00;Haka;VPS;2;1;1
9;31/05/2025;19:00;HJK;KuPS;0;0;0
9;01/06/2025;16:00;IF Gnistan;Ilves;0;2;-2
9;01/06/2025;18:30;FF Jaro;Inter Turku;0;1;-1
