WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;12/07/2024;18:30;Farul Constanța;Unirea Slobozia;0;1;-1
1;12/07/2024;21:30;Hermannstadt;CS U Craiova;0;0;0
1;13/07/2024;17:00;Sepsi;Poli Iași;1;0;1
1;13/07/2024;19:15;UTA Arad;Rapid București;1;1;0
1;13/07/2024;22:00;FCSB;Universitatea Cluj;1;1;0
1;14/07/2024;19:00;CFR Cluj;Dinamo;3;2;1
1;15/07/2024;18:30;Botoșani;Oțelul Galați;2;3;-1
1;15/07/2024;21:30;Petrolul Ploiești;SCM Gloria Buzău;0;0;0
2;19/07/2024;19:00;Poli Iași;Botoșani;1;0;1
2;19/07/2024;22:00;Unirea Slobozia;FCSB;2;2;0
2;20/07/2024;19:00;CS U Craiova;UTA Arad;4;2;2
2;20/07/2024;22:00;Rapid București;CFR Cluj;2;2;0
2;21/07/2024;19:00;Universitatea Cluj;Hermannstadt;3;1;2
2;21/07/2024;22:00;Dinamo;Petrolul Ploiești;4;1;3
2;22/07/2024;19:00;SCM Gloria Buzău;Sepsi;1;2;-1
2;22/07/2024;22:00;Oțelul Galați;Farul Constanța;0;0;0
3;26/07/2024;19:00;Hermannstadt;Unirea Slobozia;1;1;0
3;26/07/2024;22:00;FCSB;Oțelul Galați;0;2;-2
3;27/07/2024;19:00;Poli Iași;SCM Gloria Buzău;1;2;-1
3;27/07/2024;22:00;Sepsi;Dinamo;1;1;0
3;28/07/2024;19:00;Farul Constanța;Botoșani;0;1;-1
3;28/07/2024;22:00;CFR Cluj;CS U Craiova;0;2;-2
3;29/07/2024;19:00;UTA Arad;Universitatea Cluj;0;0;0
3;29/07/2024;22:00;Petrolul Ploiești;Rapid București;1;0;1
4;02/08/2024;19:00;Oțelul Galați;Hermannstadt;1;0;1
4;02/08/2024;22:00;Dinamo;SCM Gloria Buzău;4;1;3
4;03/08/2024;21:00;Farul Constanța;Poli Iași;2;0;2
4;04/08/2024;19:00;CS U Craiova;Petrolul Ploiești;0;0;0
4;04/08/2024;22:00;CFR Cluj;Universitatea Cluj;2;3;-1
4;05/08/2024;19:00;Unirea Slobozia;UTA Arad;0;1;-1
4;05/08/2024;22:00;Rapid București;Sepsi;2;2;0
5;09/08/2024;21:00;FCSB;Farul Constanța;3;2;1
5;10/08/2024;17:00;Hermannstadt;Botoșani;2;1;1
5;10/08/2024;19:00;UTA Arad;Oțelul Galați;1;1;0
5;10/08/2024;22:00;SCM Gloria Buzău;Rapid București;1;1;0
5;11/08/2024;19:00;Sepsi;CS U Craiova;1;2;-1
5;11/08/2024;22:00;CFR Cluj;Unirea Slobozia;3;0;3
5;12/08/2024;19:00;Petrolul Ploiești;Universitatea Cluj;0;0;0
5;12/08/2024;22:00;Poli Iași;Dinamo;2;2;0
6;16/08/2024;19:00;Unirea Slobozia;Petrolul Ploiești;1;2;-1
6;16/08/2024;22:00;CS U Craiova;SCM Gloria Buzău;5;1;4
6;17/08/2024;19:00;Botoșani;UTA Arad;1;0;1
6;17/08/2024;22:00;FCSB;Poli Iași;0;1;-1
6;18/08/2024;21:30;Rapid București;Dinamo;1;1;0
6;19/08/2024;19:00;Universitatea Cluj;Sepsi;3;0;3
6;19/08/2024;22:00;Farul Constanța;Hermannstadt;3;2;1
7;23/08/2024;19:00;Petrolul Ploiești;Oțelul Galați;0;0;0
7;23/08/2024;22:00;Poli Iași;Rapid București;1;2;-1
7;24/08/2024;19:00;Sepsi;Unirea Slobozia;0;1;-1
7;24/08/2024;22:00;Dinamo;CS U Craiova;2;1;1
7;25/08/2024;19:00;CFR Cluj;Botoșani;3;0;3
7;25/08/2024;22:00;Hermannstadt;FCSB;2;0;2
7;26/08/2024;19:00;SCM Gloria Buzău;Universitatea Cluj;0;2;-2
7;26/08/2024;22:00;UTA Arad;Farul Constanța;1;1;0
8;30/08/2024;21:00;Oțelul Galați;Sepsi;2;0;2
8;31/08/2024;18:30;Hermannstadt;Poli Iași;6;2;4
8;31/08/2024;21:30;CS U Craiova;Rapid București;1;1;0
8;01/09/2024;16:30;Botoșani;Petrolul Ploiești;0;2;-2
8;01/09/2024;18:45;Farul Constanța;CFR Cluj;0;3;-3
8;01/09/2024;21:30;FCSB;UTA Arad;2;0;2
8;02/09/2024;19:00;Unirea Slobozia;SCM Gloria Buzău;2;1;1
8;02/09/2024;21:30;Universitatea Cluj;Dinamo;1;0;1
9;13/09/2024;18:00;Sepsi;Botoșani;3;0;3
9;13/09/2024;21:00;Dinamo;Unirea Slobozia;1;0;1
9;14/09/2024;18:45;SCM Gloria Buzău;Oțelul Galați;0;0;0
9;14/09/2024;21:30;Petrolul Ploiești;Farul Constanța;1;1;0
9;15/09/2024;18:15;Poli Iași;CS U Craiova;2;0;2
9;15/09/2024;21:00;CFR Cluj;FCSB;2;2;0
9;16/09/2024;18:00;UTA Arad;Hermannstadt;1;1;0
9;16/09/2024;21:00;Rapid București;Universitatea Cluj;0;2;-2
10;20/09/2024;18:00;Botoșani;SCM Gloria Buzău;3;3;0
10;20/09/2024;21:00;Oțelul Galați;Dinamo;1;1;0
10;21/09/2024;18:30;Hermannstadt;CFR Cluj;0;0;0
10;21/09/2024;21:30;FCSB;Petrolul Ploiești;1;1;0
10;22/09/2024;16:00;Farul Constanța;Sepsi;2;1;1
10;22/09/2024;21:30;Universitatea Cluj;CS U Craiova;1;1;0
10;23/09/2024;18:00;UTA Arad;Poli Iași;0;0;0
10;23/09/2024;21:00;Unirea Slobozia;Rapid București;1;2;-1
11;27/09/2024;18:00;Petrolul Ploiești;Hermannstadt;4;1;3
11;27/09/2024;21:00;Dinamo;Botoșani;2;2;0
