WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;15/02/2025;14:00;Sagan Tosu;Vegalta Sendai;0;1;-1
1;15/02/2025;14:00;Júbilo Iwata;Mito HollyHock;3;2;1
1;15/02/2025;14:00;Omiya Ardija;Montedio;2;1;1
1;15/02/2025;14:00;Ventforet Kofu;Renofa;1;0;1
1;15/02/2025;14:00;Iwaki FC;JEF United;0;2;-2
1;15/02/2025;14:00;Fujieda MYFC;Vortis;0;2;-2
1;15/02/2025;19:00;V-V Nagasaki;Roasso Kumamoto;3;2;1
1;16/02/2025;12:50;Ehime FC;Kataller Toyama;0;1;-1
1;16/02/2025;13:10;FC Imabari;Blaublitz Akita;0;1;-1
1;16/02/2025;14:00;Oita Trinita;Consa Sapporo;2;0;2
2;22/02/2025;14:00;Júbilo Iwata;Sagan Tosu;1;0;1
2;22/02/2025;14:00;JEF United;Kataller Toyama;2;0;2
2;22/02/2025;14:00;Omiya Ardija;Ventforet Kofu;1;0;1
2;23/02/2025;13:00;Roasso Kumamoto;Consa Sapporo;3;0;3
2;23/02/2025;13:00;Renofa;V-V Nagasaki;2;2;0
2;23/02/2025;14:00;Vortis;Vegalta Sendai;1;0;1
2;23/02/2025;14:00;Oita Trinita;Iwaki FC;0;0;0
2;23/02/2025;14:00;FC Imabari;Fujieda MYFC;0;0;0
2;23/02/2025;14:00;Mito HollyHock;Montedio;1;0;1
2;23/02/2025;15:00;Ehime FC;Blaublitz Akita;1;2;-1
3;01/03/2025;13:00;Vegalta Sendai;Oita Trinita;2;0;2
3;01/03/2025;14:00;V-V Nagasaki;Júbilo Iwata;1;0;1
3;01/03/2025;14:00;Fujieda MYFC;Blaublitz Akita;2;1;1
3;01/03/2025;14:00;JEF United;Montedio;3;2;1
3;01/03/2025;14:00;Sagan Tosu;FC Imabari;1;4;-3
3;02/03/2025;13:00;Roasso Kumamoto;Omiya Ardija;0;4;-4
3;02/03/2025;14:00;Mito HollyHock;Ehime FC;1;1;0
3;02/03/2025;14:00;Renofa;Consa Sapporo;2;0;2
3;02/03/2025;14:00;Iwaki FC;Vortis;1;1;0
3;02/03/2025;14:00;Kataller Toyama;Ventforet Kofu;2;0;2
