WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;19/07/2024;18:00;AGF;Midtjylland;1;1;0
1;19/07/2024;20:00;Nordsjælland;Aalborg;3;0;3
1;21/07/2024;14:00;Silkeborg;SønderjyskE;1;0;1
1;21/07/2024;16:00;Vejle BK;Randers;2;3;-1
1;21/07/2024;18:00;Viborg;Brøndby;3;3;0
1;22/07/2024;19:00;Lyngby;FC Copenhagen;0;2;-2
2;26/07/2024;19:00;SønderjyskE;Lyngby;1;1;0
2;27/07/2024;16:00;Nordsjælland;Midtjylland;2;2;0
2;28/07/2024;14:00;Randers;Viborg;3;1;2
2;28/07/2024;16:00;Aalborg;Silkeborg;2;1;1
2;28/07/2024;18:00;FC Copenhagen;AGF;3;2;1
2;29/07/2024;19:00;Brøndby;Vejle BK;2;1;1
3;02/08/2024;19:00;AGF;SønderjyskE;4;0;4
3;03/08/2024;16:00;Midtjylland;Aalborg;2;0;2
3;04/08/2024;14:00;Silkeborg;Viborg;3;2;1
3;04/08/2024;16:00;FC Copenhagen;Randers;1;1;0
3;04/08/2024;18:00;Lyngby;Brøndby;0;2;-2
3;05/08/2024;19:00;Vejle BK;Nordsjælland;0;1;-1
4;09/08/2024;19:00;Midtjylland;Vejle BK;2;0;2
4;11/08/2024;14:00;Randers;Silkeborg;0;2;-2
4;11/08/2024;14:00;Nordsjælland;Lyngby;1;1;0
4;11/08/2024;16:00;Brøndby;AGF;0;1;-1
4;11/08/2024;18:00;SønderjyskE;FC Copenhagen;0;2;-2
4;12/08/2024;19:00;Viborg;Aalborg;2;3;-1
5;16/08/2024;19:00;Lyngby;Midtjylland;1;2;-1
5;18/08/2024;14:00;Randers;SønderjyskE;1;2;-1
5;18/08/2024;14:00;Silkeborg;Nordsjælland;4;1;3
5;18/08/2024;16:00;FC Copenhagen;Viborg;1;1;0
5;18/08/2024;18:00;Aalborg;Brøndby;0;4;-4
5;19/08/2024;19:00;AGF;Vejle BK;5;1;4
6;23/08/2024;19:00;Aalborg;AGF;0;4;-4
6;24/08/2024;16:00;Midtjylland;SønderjyskE;3;2;1
6;25/08/2024;14:00;Vejle BK;Silkeborg;1;3;-2
6;25/08/2024;16:00;Nordsjælland;FC Copenhagen;3;2;1
6;25/08/2024;18:00;Brøndby;Randers;2;2;0
6;26/08/2024;19:00;Viborg;Lyngby;1;0;1
7;30/08/2024;19:00;Lyngby;Vejle BK;1;0;1
7;31/08/2024;16:00;AGF;Nordsjælland;4;2;2
7;01/09/2024;14:00;FC Copenhagen;Brøndby;3;1;2
7;01/09/2024;14:00;SønderjyskE;Viborg;2;2;0
7;01/09/2024;16:00;Silkeborg;Midtjylland;1;3;-2
7;01/09/2024;18:00;Randers;Aalborg;1;0;1
8;13/09/2024;19:00;Aalborg;Lyngby;2;1;1
8;14/09/2024;18:00;Midtjylland;FC Copenhagen;2;1;1
8;15/09/2024;14:00;AGF;Silkeborg;1;1;0
8;15/09/2024;16:00;Vejle BK;Viborg;0;5;-5
8;15/09/2024;18:00;Brøndby;SønderjyskE;2;0;2
8;16/09/2024;19:00;Nordsjælland;Randers;1;1;0
9;20/09/2024;19:00;Viborg;Nordsjælland;3;2;1
9;22/09/2024;14:00;SønderjyskE;Vejle BK;2;1;1
9;22/09/2024;14:00;Randers;Midtjylland;2;2;0
9;22/09/2024;16:00;Lyngby;AGF;0;0;0
9;22/09/2024;18:00;Silkeborg;Brøndby;3;3;0
9;23/09/2024;19:00;FC Copenhagen;Aalborg;2;0;2
10;28/09/2024;16:00;AGF;Randers;2;2;0
10;29/09/2024;14:00;Midtjylland;Viborg;3;1;2
10;29/09/2024;14:00;Aalborg;SønderjyskE;3;0;3
10;29/09/2024;16:00;Lyngby;Silkeborg;2;2;0
10;29/09/2024;18:00;Vejle BK;FC Copenhagen;1;2;-1
