WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;09/08/2024;20:00;MVV Maastricht;Cambuur;0;1;-1
1;09/08/2024;20:00;Helmond Sport;Jong Utrecht;1;1;0
1;09/08/2024;20:00;Emmen;Dordrecht;1;2;-1
1;09/08/2024;20:00;Oss;Excelsior;3;1;2
1;09/08/2024;20:00;Vitesse;Telstar;2;3;-1
1;09/08/2024;20:00;FC Eindhoven;Den Bosch;2;0;2
1;10/08/2024;16:30;ADO Den Haag;VVV-Venlo;1;1;0
1;11/08/2024;16:45;De Graafschap;Volendam;4;3;1
1;12/08/2024;20:00;Jong AZ;Roda JC;6;1;5
1;12/08/2024;20:00;Jong PSV;Jong Ajax;2;2;0
2;16/08/2024;20:00;Roda JC;Oss;0;0;0
2;16/08/2024;20:00;Excelsior;De Graafschap;3;1;2
2;16/08/2024;20:00;Jong Utrecht;Jong PSV;0;2;-2
2;16/08/2024;20:00;VVV-Venlo;Vitesse;0;1;-1
2;16/08/2024;20:00;Telstar;FC Eindhoven;0;3;-3
2;16/08/2024;20:15;Den Bosch;Jong AZ;6;0;6
2;17/08/2024;16:30;Dordrecht;ADO Den Haag;1;1;0
2;18/08/2024;12:15;Cambuur;Helmond Sport;0;1;-1
2;18/08/2024;16:45;Volendam;Emmen;0;1;-1
2;19/08/2024;20:00;Jong Ajax;MVV Maastricht;0;0;0
3;23/08/2024;20:00;ADO Den Haag;Volendam;2;1;1
3;23/08/2024;20:00;Emmen;Helmond Sport;0;0;0
3;23/08/2024;20:00;De Graafschap;Jong Utrecht;2;2;0
3;23/08/2024;20:00;Den Bosch;MVV Maastricht;1;1;0
3;23/08/2024;20:00;Oss;Cambuur;1;0;1
3;24/08/2024;16:30;FC Eindhoven;Jong Ajax;0;3;-3
3;25/08/2024;12:15;Vitesse;Excelsior;1;1;0
3;25/08/2024;16:45;VVV-Venlo;Roda JC;1;1;0
3;26/08/2024;20:00;Jong PSV;Telstar;0;2;-2
3;26/08/2024;20:00;Jong AZ;Dordrecht;3;1;2
4;30/08/2024;20:00;Telstar;Jong AZ;0;0;0
4;30/08/2024;20:00;Jong Ajax;Den Bosch;1;2;-1
4;30/08/2024;20:00;Jong Utrecht;Emmen;1;2;-1
4;30/08/2024;20:00;MVV Maastricht;Jong PSV;3;2;1
4;30/08/2024;20:00;Vitesse;FC Eindhoven;1;1;0
4;30/08/2024;20:00;ADO Den Haag;Excelsior;0;5;-5
4;30/08/2024;20:00;Dordrecht;Cambuur;2;0;2
4;30/08/2024;20:00;Helmond Sport;VVV-Venlo;3;0;3
4;31/08/2024;16:30;Volendam;Oss;4;0;4
4;01/09/2024;16:45;Roda JC;De Graafschap;1;4;-3
5;06/09/2024;20:00;De Graafschap;FC Eindhoven;2;0;2
5;08/09/2024;14:30;Telstar;MVV Maastricht;4;0;4
6;13/09/2024;20:00;Jong AZ;Vitesse;0;1;-1
6;13/09/2024;20:00;FC Eindhoven;Dordrecht;0;0;0
6;13/09/2024;20:00;MVV Maastricht;Volendam;2;2;0
6;13/09/2024;20:00;Cambuur;Jong Ajax;0;1;-1
6;13/09/2024;20:00;Excelsior;Telstar;3;2;1
6;13/09/2024;20:00;Emmen;Roda JC;1;3;-2
6;13/09/2024;20:00;VVV-Venlo;Jong Utrecht;3;2;1
6;13/09/2024;20:00;De Graafschap;Helmond Sport;2;3;-1
6;13/09/2024;20:00;Den Bosch;ADO Den Haag;2;0;2
6;13/09/2024;20:00;Oss;Jong PSV;0;3;-3
5;16/09/2024;20:00;Jong PSV;ADO Den Haag;2;2;0
5;16/09/2024;20:00;Emmen;Vitesse;3;3;0
5;16/09/2024;20:00;Excelsior;VVV-Venlo;4;0;4
5;16/09/2024;20:00;Jong Utrecht;Den Bosch;0;3;-3
5;16/09/2024;20:00;Helmond Sport;Oss;1;0;1
5;16/09/2024;20:00;Cambuur;Roda JC;0;0;0
5;17/09/2024;20:00;Jong Ajax;Jong AZ;1;2;-1
