WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;14/09/2024;15:00;Royal Eagles FC;Cape Town City;1;1;0
1;14/09/2024;17:30;Marumo Gallants FC;Kaizer Chiefs;1;2;-1
1;14/09/2024;20:00;Polokwane City;AmaZulu;2;1;1
1;15/09/2024;15:00;Richards Bay FC;TS Galaxy;1;0;1
1;17/09/2024;19:30;Sundowns;SuperSport;2;0;2
1;18/09/2024;19:30;Sekhukhune United FC;Magesi FC;1;0;1
1;18/09/2024;19:30;Orlando Pirates;Chippa Utd;2;1;1
1;18/09/2024;19:30;Stellenbosch FC;Golden Arrows;0;2;-2
2;21/09/2024;15:00;Golden Arrows;Marumo Gallants FC;2;0;2
2;21/09/2024;15:00;Magesi FC;Polokwane City;0;2;-2
2;21/09/2024;17:30;SuperSport;Royal Eagles FC;0;0;0
2;21/09/2024;20:00;Chippa Utd;Richards Bay FC;1;0;1
3;24/09/2024;15:00;Orlando Pirates;Polokwane City;3;0;3
3;24/09/2024;17:30;Sundowns;Marumo Gallants FC;4;1;3
3;24/09/2024;19:30;Royal Eagles FC;Richards Bay FC;0;0;0
3;25/09/2024;19:30;AmaZulu;Kaizer Chiefs;1;3;-2
3;25/09/2024;19:30;Stellenbosch FC;Cape Town City;3;0;3
3;25/09/2024;19:30;SuperSport;TS Galaxy;1;0;1
3;25/09/2024;19:30;Sekhukhune United FC;Chippa Utd;1;1;0
3;25/09/2024;19:30;Golden Arrows;Magesi FC;0;1;-1
4;28/09/2024;15:00;Kaizer Chiefs;Sundowns;1;2;-1
4;28/09/2024;15:00;Sekhukhune United FC;Golden Arrows;2;0;2
4;28/09/2024;17:30;Magesi FC;Royal Eagles FC;0;0;0
4;28/09/2024;20:00;Cape Town City;SuperSport;1;0;1
4;28/09/2024;20:00;Marumo Gallants FC;AmaZulu;1;0;1
4;29/09/2024;15:00;Chippa Utd;TS Galaxy;2;1;1
4;29/09/2024;15:00;Richards Bay FC;Orlando Pirates;0;1;-1
4;29/09/2024;17:30;Polokwane City;Stellenbosch FC;1;1;0
12;22/10/2024;19:30;Orlando Pirates;SuperSport;2;0;2
12;23/10/2024;19:30;Chippa Utd;Stellenbosch FC;0;2;-2
12;23/10/2024;19:30;Sundowns;Royal Eagles FC;2;1;1
5;25/10/2024;19:30;Orlando Pirates;AmaZulu;2;1;1
5;26/10/2024;15:00;Marumo Gallants FC;TS Galaxy;1;1;0
5;26/10/2024;15:00;Royal Eagles FC;Sekhukhune United FC;2;0;2
5;26/10/2024;15:00;Richards Bay FC;Stellenbosch FC;0;0;0
5;26/10/2024;17:30;SuperSport;Kaizer Chiefs;1;0;1
5;26/10/2024;20:00;Chippa Utd;Golden Arrows;2;0;2
5;27/10/2024;15:00;Cape Town City;Magesi FC;0;0;0
5;27/10/2024;15:00;Polokwane City;Sundowns;1;0;1
6;29/10/2024;19:30;TS Galaxy;Orlando Pirates;0;2;-2
6;29/10/2024;19:30;AmaZulu;Chippa Utd;2;0;2
6;29/10/2024;19:30;Sekhukhune United FC;Richards Bay FC;2;0;2
6;30/10/2024;19:30;Sundowns;Cape Town City;3;0;3
6;30/10/2024;19:30;Golden Arrows;SuperSport;0;0;0
6;30/10/2024;19:30;Magesi FC;Kaizer Chiefs;2;2;0
6;30/10/2024;19:30;Royal Eagles FC;Polokwane City;0;1;-1
6;31/10/2024;19:30;Stellenbosch FC;Marumo Gallants FC;1;0;1
17;05/11/2024;19:30;Orlando Pirates;Richards Bay FC;1;0;1
13;06/11/2024;19:30;Stellenbosch FC;TS Galaxy;1;1;0
17;06/11/2024;19:30;Sundowns;Polokwane City;2;0;2
8;26/11/2024;19:30;Chippa Utd;SuperSport;0;0;0
8;26/11/2024;19:30;Royal Eagles FC;Golden Arrows;2;3;-1
8;26/11/2024;19:30;Sekhukhune United FC;TS Galaxy;1;3;-2
