WEEK;DATE;TIME;HOME;AWAY
9;10/12/2024;19:30;Stellenbosch FC;Royal Eagles FC
13;11/01/2025;17:45;Chippa Utd;Royal Eagles FC
14;23/01/2025;19:30;Royal Eagles FC;Orlando Pirates
15;01/02/2025;15:30;Marumo Gallants FC;Royal Eagles FC
16;04/02/2025;19:30;Royal Eagles FC;Stellenbosch FC
17;09/02/2025;15:30;Golden Arrows;Royal Eagles FC
18;18/02/2025;19:30;Richards Bay FC;Royal Eagles FC
19;21/02/2025;19:30;Royal Eagles FC;Kaizer Chiefs
24;25/02/2025;15:30;Orlando Pirates;Royal Eagles FC
20;02/03/2025;15:30;Sekhukhune United FC;Royal Eagles FC
