WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;19/07/2024;19:00;Radnički Kragujevac;FK Železničar Pančevo;2;3;-1
1;19/07/2024;21:00;Napredak Kruš;Partizan;0;1;-1
1;20/07/2024;20:00;Red Star;FK Jedinstvo Ub;4;0;4
1;20/07/2024;20:00;Mladost Lučani;OFK Beograd;1;2;-1
1;20/07/2024;20:00;Čukarički;Radnički Niš;2;0;2
1;21/07/2024;17:30;Novi Pazar;Spartak Subotic;3;2;1
1;21/07/2024;19:30;Tekstilac Odžaci;Vojvodina;1;3;-2
1;21/07/2024;19:30;TSC Bačka Top;FK IMT Novi Beograd;1;0;1
2;27/07/2024;20:00;FK Jedinstvo Ub;Partizan;0;4;-4
2;27/07/2024;20:00;Red Star;Mladost Lučani;2;2;0
2;27/07/2024;20:00;FK Železničar Pančevo;Napredak Kruš;1;1;0
2;28/07/2024;21:00;Radnički Niš;TSC Bačka Top;1;0;1
2;28/07/2024;21:00;Spartak Subotic;Čukarički;1;1;0
2;29/07/2024;20:00;OFK Beograd;Tekstilac Odžaci;1;0;1
3;02/08/2024;20:00;Napredak Kruš;FK IMT Novi Beograd;1;1;0
3;03/08/2024;17:30;Novi Pazar;OFK Beograd;0;0;0
3;03/08/2024;20:00;Tekstilac Odžaci;Red Star;0;4;-4
3;03/08/2024;20:00;Mladost Lučani;FK Jedinstvo Ub;2;1;1
3;04/08/2024;17:30;TSC Bačka Top;Spartak Subotic;0;0;0
3;04/08/2024;20:00;Partizan;FK Železničar Pančevo;2;0;2
3;04/08/2024;20:00;Čukarički;Vojvodina;3;1;2
3;04/08/2024;21:00;Radnički Kragujevac;Radnički Niš;4;0;4
4;09/08/2024;18:00;OFK Beograd;Čukarički;1;2;-1
4;09/08/2024;20:00;Radnički Niš;Napredak Kruš;3;1;2
4;10/08/2024;20:00;Mladost Lučani;Tekstilac Odžaci;1;2;-1
4;10/08/2024;20:00;Spartak Subotic;Radnički Kragujevac;1;0;1
4;10/08/2024;20:00;Red Star;Novi Pazar;4;1;3
4;11/08/2024;18:00;FK Jedinstvo Ub;FK Železničar Pančevo;0;1;-1
4;11/08/2024;20:00;Vojvodina;TSC Bačka Top;1;3;-2
4;11/08/2024;20:00;FK IMT Novi Beograd;Partizan;0;0;0
5;15/08/2024;20:00;Čukarički;Red Star;1;4;-3
5;16/08/2024;18:55;TSC Bačka Top;OFK Beograd;0;1;-1
5;17/08/2024;17:30;Novi Pazar;Mladost Lučani;0;1;-1
5;17/08/2024;19:30;Napredak Kruš;Spartak Subotic;2;0;2
5;17/08/2024;19:30;Tekstilac Odžaci;FK Jedinstvo Ub;1;1;0
5;18/08/2024;19:30;FK Železničar Pančevo;FK IMT Novi Beograd;2;1;1
5;19/08/2024;19:00;Radnički Kragujevac;Vojvodina;2;2;0
6;23/08/2024;21:00;Mladost Lučani;Čukarički;3;1;2
6;24/08/2024;19:00;Radnički Niš;FK Železničar Pančevo;2;1;1
6;24/08/2024;19:00;Tekstilac Odžaci;Novi Pazar;2;1;1
6;24/08/2024;21:00;FK Jedinstvo Ub;FK IMT Novi Beograd;2;3;-1
6;25/08/2024;19:00;OFK Beograd;Radnički Kragujevac;3;5;-2
6;25/08/2024;19:30;Vojvodina;Napredak Kruš;1;2;-1
7;30/08/2024;18:30;FK IMT Novi Beograd;Radnički Niš;3;1;2
7;30/08/2024;20:30;Čukarički;Tekstilac Odžaci;3;0;3
7;31/08/2024;17:00;Novi Pazar;FK Jedinstvo Ub;3;1;2
7;31/08/2024;20:30;FK Železničar Pančevo;Spartak Subotic;2;0;2
7;31/08/2024;20:30;Napredak Kruš;OFK Beograd;1;3;-2
7;01/09/2024;19:00;TSC Bačka Top;Mladost Lučani;1;2;-1
7;01/09/2024;19:00;Radnički Kragujevac;Red Star;0;1;-1
7;01/09/2024;21:05;Partizan;Vojvodina;0;0;0
8;13/09/2024;19:00;Spartak Subotic;FK IMT Novi Beograd;2;0;2
8;14/09/2024;18:00;Vojvodina;FK Železničar Pančevo;2;0;2
8;14/09/2024;20:00;Red Star;Napredak Kruš;2;0;2
8;14/09/2024;20:00;Mladost Lučani;Radnički Kragujevac;2;1;1
8;15/09/2024;17:00;Novi Pazar;Čukarički;2;2;0
8;15/09/2024;19:00;Tekstilac Odžaci;TSC Bačka Top;2;1;1
8;15/09/2024;19:00;OFK Beograd;Partizan;3;2;1
8;16/09/2024;20:00;FK Jedinstvo Ub;Radnički Niš;0;2;-2
2;18/09/2024;18:00;FK IMT Novi Beograd;Radnički Kragujevac;0;4;-4
9;21/09/2024;18:00;Čukarički;FK Jedinstvo Ub;2;1;1
