WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;15/02/2025;13:00;Pohang;Daejeon Citizen FC;0;3;-3
1;15/02/2025;15:30;Jeju United FC;FC Seoul;2;0;2
1;15/02/2025;16:30;Gwangju FC;Suwon FC;0;0;0
1;16/02/2025;14:00;Ulsan HD;FC Anyang;0;1;-1
1;16/02/2025;16:30;Daegu;Gangwon;2;1;1
1;16/02/2025;16:30;Jeonbuk Hyundai;Sangju Sangmu;2;1;1
2;22/02/2025;14:00;Jeju United FC;Sangju Sangmu;2;3;-1
2;22/02/2025;16:30;Daegu;Suwon FC;3;1;2
2;22/02/2025;16:30;FC Seoul;FC Anyang;2;1;1
2;23/02/2025;14:00;Daejeon Citizen FC;Ulsan HD;0;2;-2
2;23/02/2025;16:30;Gangwon;Pohang;2;1;1
2;23/02/2025;16:30;Jeonbuk Hyundai;Gwangju FC;2;2;0
3;01/03/2025;14:00;Ulsan HD;Jeonbuk Hyundai;1;0;1
3;01/03/2025;16:30;Gwangju FC;FC Anyang;2;1;1
3;01/03/2025;16:30;Pohang;Daegu;0;0;0
3;02/03/2025;14:00;Daejeon Citizen FC;Suwon FC;1;0;1
3;02/03/2025;16:30;Gangwon;Jeju United FC;0;0;0
3;03/03/2025;14:00;FC Seoul;Sangju Sangmu;0;0;0
4;08/03/2025;14:00;Suwon FC;FC Seoul;0;0;0
4;08/03/2025;16:30;Daegu;Daejeon Citizen FC;1;2;-1
4;08/03/2025;16:30;FC Anyang;Sangju Sangmu;1;3;-2
4;09/03/2025;14:00;Ulsan HD;Jeju United FC;2;0;2
4;09/03/2025;16:30;Jeonbuk Hyundai;Gangwon;0;1;-1
5;15/03/2025;14:00;Jeju United FC;Daejeon Citizen FC;1;3;-2
5;15/03/2025;16:30;Daegu;FC Anyang;0;1;-1
5;15/03/2025;16:30;Gangwon;FC Seoul;0;1;-1
5;16/03/2025;14:00;Suwon FC;Ulsan HD;1;1;0
5;16/03/2025;16:30;Jeonbuk Hyundai;Pohang;2;2;0
5;16/03/2025;16:30;Sangju Sangmu;Gwangju FC;0;0;0
