WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;20/07/2024;18:00;Lugano;Grasshopper;2;1;1
1;20/07/2024;18:00;Yverdon-Sport;Zürich;0;2;-2
1;20/07/2024;20:30;FC Winterthur;St. Gallen;1;0;1
1;21/07/2024;14:15;Young Boys;Sion;1;2;-1
1;21/07/2024;16:30;Luzern;Servette FC;1;2;-1
1;21/07/2024;16:30;Lausanne-Sport;Basel;3;2;1
5;24/07/2024;20:30;Servette FC;Young Boys;3;1;2
2;27/07/2024;18:00;Sion;Lausanne-Sport;4;0;4
2;27/07/2024;18:00;Grasshopper;Luzern;2;2;0
2;27/07/2024;20:30;Basel;Lugano;1;2;-1
2;28/07/2024;14:15;Servette FC;Yverdon-Sport;3;2;1
2;28/07/2024;16:30;St. Gallen;Young Boys;4;0;4
2;28/07/2024;16:30;Zürich;FC Winterthur;4;2;2
3;03/08/2024;18:00;Lugano;Servette FC;3;1;2
3;03/08/2024;18:00;Grasshopper;Basel;0;3;-3
3;03/08/2024;20:30;Luzern;Sion;1;0;1
3;04/08/2024;14:15;Lausanne-Sport;St. Gallen;3;4;-1
3;04/08/2024;16:30;FC Winterthur;Yverdon-Sport;0;0;0
3;04/08/2024;16:30;Young Boys;Zürich;2;2;0
4;10/08/2024;18:00;Sion;FC Winterthur;2;0;2
4;10/08/2024;20:30;Yverdon-Sport;Young Boys;2;2;0
4;11/08/2024;14:15;St. Gallen;Grasshopper;1;0;1
4;11/08/2024;16:30;Servette FC;Basel;0;6;-6
4;11/08/2024;16:30;Lugano;Luzern;2;3;-1
4;11/08/2024;16:30;Zürich;Lausanne-Sport;2;0;2
5;24/08/2024;18:00;Luzern;FC Winterthur;3;0;3
5;24/08/2024;20:30;Grasshopper;Sion;3;1;2
5;25/08/2024;16:30;Basel;Yverdon-Sport;2;0;2
6;31/08/2024;18:00;Yverdon-Sport;Grasshopper;2;1;1
6;31/08/2024;18:00;Sion;Basel;1;1;0
6;31/08/2024;20:30;Young Boys;Lausanne-Sport;1;1;0
6;01/09/2024;14:15;FC Winterthur;Servette FC;0;1;-1
6;01/09/2024;16:30;Zürich;Luzern;1;1;0
6;01/09/2024;16:30;Lugano;St. Gallen;1;1;0
5;18/09/2024;19:30;Lausanne-Sport;Lugano;1;2;-1
7;21/09/2024;18:00;Grasshopper;Servette FC;2;2;0
7;21/09/2024;18:00;St. Gallen;Luzern;2;3;-1
7;21/09/2024;20:30;Basel;Zürich;0;2;-2
7;22/09/2024;14:15;Lausanne-Sport;Yverdon-Sport;3;1;2
7;22/09/2024;16:30;FC Winterthur;Young Boys;1;4;-3
7;22/09/2024;16:30;Sion;Lugano;0;0;0
5;24/09/2024;20:30;St. Gallen;Zürich;4;1;3
8;28/09/2024;18:00;Servette FC;Lausanne-Sport;1;0;1
8;28/09/2024;18:00;Yverdon-Sport;St. Gallen;1;0;1
8;28/09/2024;20:30;Young Boys;Grasshopper;0;1;-1
8;29/09/2024;14:15;Zürich;Sion;1;0;1
8;29/09/2024;16:30;Lugano;FC Winterthur;2;1;1
8;29/09/2024;16:30;Luzern;Basel;1;0;1
9;05/10/2024;18:00;Sion;Yverdon-Sport;1;1;0
9;05/10/2024;18:00;Luzern;Lausanne-Sport;2;2;0
9;05/10/2024;20:30;FC Winterthur;Grasshopper;1;0;1
9;06/10/2024;14:15;Zürich;Lugano;1;1;0
9;06/10/2024;16:30;St. Gallen;Servette FC;1;1;0
9;06/10/2024;16:30;Basel;Young Boys;1;0;1
10;19/10/2024;18:00;Grasshopper;Zürich;1;2;-1
10;19/10/2024;18:00;Young Boys;Luzern;2;1;1
10;19/10/2024;20:30;Servette FC;Sion;3;0;3
10;20/10/2024;16:30;Basel;St. Gallen;2;1;1
10;20/10/2024;16:30;Lausanne-Sport;FC Winterthur;2;0;2
10;20/10/2024;16:30;Yverdon-Sport;Lugano;2;0;2
11;26/10/2024;18:00;Lausanne-Sport;Grasshopper;3;0;3
11;26/10/2024;18:00;FC Winterthur;Basel;1;6;-5
11;26/10/2024;20:30;Luzern;Yverdon-Sport;2;3;-1
11;27/10/2024;14:15;Sion;St. Gallen;2;2;0
11;27/10/2024;16:30;Lugano;Young Boys;2;0;2
11;27/10/2024;16:30;Zürich;Servette FC;1;3;-2
12;29/10/2024;20:30;Yverdon-Sport;Lausanne-Sport;0;3;-3
12;30/10/2024;20:30;St. Gallen;FC Winterthur;2;2;0
12;30/10/2024;20:30;Young Boys;Basel;3;2;1
