WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;02/08/2024;19:00;1860 Munich;Saarbrücken;0;1;-1
1;03/08/2024;14:00;Sandhausen;Osnabrück;1;0;1
1;03/08/2024;14:00;Rot-Weiss Essen;Aachen;1;2;-1
1;03/08/2024;14:00;Dortmund II;Unterhaching;3;0;3
1;03/08/2024;14:00;Verl;Wehen;2;2;0
1;03/08/2024;14:00;Erzgebirge Aue;Hannover 96 II;2;1;1
1;03/08/2024;16:30;Hansa Rostock;Stuttgart II;1;1;0
1;04/08/2024;13:30;Viktoria Köln;Dresden;1;2;-1
1;04/08/2024;16:30;Energie Cottbus;Arminia;1;2;-1
1;04/08/2024;19:30;Ingolstadt 04;SV Waldhof;2;1;1
2;09/08/2024;19:00;Dresden;Energie Cottbus;4;2;2
2;10/08/2024;14:00;SV Waldhof;Viktoria Köln;1;2;-1
2;10/08/2024;14:00;Wehen;Hansa Rostock;1;0;1
2;10/08/2024;14:00;Osnabrück;Erzgebirge Aue;0;2;-2
2;10/08/2024;14:00;Aachen;Verl;1;1;0
2;10/08/2024;14:00;Unterhaching;Ingolstadt 04;2;1;1
2;10/08/2024;16:30;Arminia;Dortmund II;1;0;1
2;11/08/2024;13:30;Hannover 96 II;Rot-Weiss Essen;1;3;-2
2;11/08/2024;16:30;Stuttgart II;1860 Munich;3;1;2
2;11/08/2024;19:30;Saarbrücken;Sandhausen;0;1;-1
3;23/08/2024;19:00;Erzgebirge Aue;Dresden;2;0;2
3;24/08/2024;14:00;Sandhausen;Hannover 96 II;0;1;-1
3;24/08/2024;14:00;Rot-Weiss Essen;Arminia;0;0;0
3;24/08/2024;14:00;Saarbrücken;Ingolstadt 04;2;3;-1
3;24/08/2024;14:00;Hansa Rostock;Dortmund II;1;1;0
3;24/08/2024;14:00;Osnabrück;Unterhaching;4;2;2
3;24/08/2024;16:30;Energie Cottbus;Aachen;2;1;1
3;25/08/2024;13:30;1860 Munich;Viktoria Köln;1;3;-2
3;25/08/2024;16:30;Verl;SV Waldhof;1;1;0
3;25/08/2024;19:30;Stuttgart II;Wehen;2;2;0
4;30/08/2024;19:00;Viktoria Köln;Hansa Rostock;3;0;3
4;31/08/2024;14:00;Aachen;Erzgebirge Aue;1;2;-1
4;31/08/2024;14:00;Dresden;Stuttgart II;2;0;2
4;31/08/2024;14:00;Ingolstadt 04;1860 Munich;1;2;-1
4;31/08/2024;14:00;Arminia;Sandhausen;1;1;0
4;31/08/2024;14:00;SV Waldhof;Saarbrücken;0;1;-1
4;31/08/2024;16:30;Dortmund II;Osnabrück;1;1;0
4;01/09/2024;13:30;Wehen;Energie Cottbus;2;1;1
4;01/09/2024;16:30;Unterhaching;Rot-Weiss Essen;2;0;2
4;01/09/2024;19:30;Hannover 96 II;Verl;1;2;-1
5;13/09/2024;19:00;Sandhausen;Dortmund II;3;1;2
5;14/09/2024;14:00;Rot-Weiss Essen;Wehen;0;3;-3
5;14/09/2024;14:00;Saarbrücken;Unterhaching;1;1;0
5;14/09/2024;14:00;Stuttgart II;Ingolstadt 04;3;2;1
5;14/09/2024;14:00;1860 Munich;Dresden;2;3;-1
5;14/09/2024;14:00;Hansa Rostock;SV Waldhof;1;1;0
5;14/09/2024;16:30;Osnabrück;Hannover 96 II;1;1;0
5;15/09/2024;13:30;Erzgebirge Aue;Arminia;1;3;-2
5;15/09/2024;16:30;Verl;Energie Cottbus;0;3;-3
5;15/09/2024;19:30;Aachen;Viktoria Köln;1;0;1
6;20/09/2024;19:00;Unterhaching;Erzgebirge Aue;2;2;0
6;21/09/2024;14:00;Energie Cottbus;Stuttgart II;4;0;4
6;21/09/2024;14:00;Dresden;Hansa Rostock;1;1;0
6;21/09/2024;14:00;Wehen;Sandhausen;1;3;-2
6;21/09/2024;14:00;Ingolstadt 04;Rot-Weiss Essen;2;2;0
6;21/09/2024;14:00;SV Waldhof;Osnabrück;3;2;1
