WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;24/01/2025;18:00;Sportivo Trinidense;Sportivo Ameliano;1;2;-1
1;24/01/2025;20:30;Sport Luqueño;Club Atlético Tembetary;1;1;0
1;25/01/2025;09:00;2 de Mayo;Nacional;0;0;0
1;25/01/2025;19:30;General Caballero (JLM);Deportivo Recoleta;2;2;0
1;26/01/2025;18:15;Olimpia;Guaraní;0;1;-1
1;26/01/2025;20:45;Cerro Porteño;Libertad;2;2;0
2;28/01/2025;18:00;Club Atlético Tembetary;Sportivo Trinidense;2;2;0
2;28/01/2025;20:30;Deportivo Recoleta;2 de Mayo;0;2;-2
2;29/01/2025;18:00;Sport Luqueño;Cerro Porteño;1;1;0
2;29/01/2025;20:30;Nacional;Libertad;0;3;-3
2;30/01/2025;18:00;Guaraní;General Caballero (JLM);2;1;1
2;30/01/2025;20:00;Sportivo Ameliano;Olimpia;2;2;0
3;01/02/2025;18:00;Sportivo Trinidense;Sport Luqueño;1;0;1
3;01/02/2025;20:30;Cerro Porteño;Nacional;3;1;2
3;02/02/2025;18:00;General Caballero (JLM);Sportivo Ameliano;1;0;1
3;02/02/2025;20:30;Libertad;Deportivo Recoleta;5;2;3
3;03/02/2025;09:00;2 de Mayo;Guaraní;0;2;-2
3;03/02/2025;20:00;Olimpia;Club Atlético Tembetary;3;0;3
4;08/02/2025;18:15;Deportivo Recoleta;Nacional;1;0;1
4;08/02/2025;20:30;Sportivo Trinidense;Cerro Porteño;1;0;1
4;09/02/2025;18:15;Sport Luqueño;Olimpia;0;1;-1
4;09/02/2025;20:30;Guaraní;Libertad;0;1;-1
4;10/02/2025;18:15;Club Atlético Tembetary;General Caballero (JLM);1;0;1
4;10/02/2025;20:30;Sportivo Ameliano;2 de Mayo;1;1;0
5;14/02/2025;09:00;2 de Mayo;Club Atlético Tembetary;1;1;0
5;14/02/2025;19:30;General Caballero (JLM);Sport Luqueño;3;0;3
5;15/02/2025;18:15;Nacional;Guaraní;1;2;-1
5;15/02/2025;20:30;Cerro Porteño;Deportivo Recoleta;2;1;1
5;16/02/2025;18:15;Olimpia;Sportivo Trinidense;4;2;2
5;16/02/2025;20:30;Libertad;Sportivo Ameliano;2;0;2
6;21/02/2025;18:15;Guaraní;Deportivo Recoleta;1;3;-2
6;21/02/2025;20:30;Sport Luqueño;2 de Mayo;0;0;0
6;22/02/2025;18:15;Sportivo Ameliano;Nacional;2;1;1
6;22/02/2025;20:30;Club Atlético Tembetary;Libertad;1;2;-1
6;23/02/2025;18:00;Olimpia;Cerro Porteño;2;1;1
6;24/02/2025;19:30;Sportivo Trinidense;General Caballero (JLM);0;0;0
7;28/02/2025;18:15;Deportivo Recoleta;Sportivo Ameliano;1;1;0
7;28/02/2025;20:30;Libertad;Sport Luqueño;3;0;3
7;01/03/2025;18:15;General Caballero (JLM);Olimpia;1;1;0
7;01/03/2025;20:30;Nacional;Club Atlético Tembetary;1;0;1
7;02/03/2025;09:00;2 de Mayo;Sportivo Trinidense;1;1;0
7;02/03/2025;19:30;Cerro Porteño;Guaraní;0;1;-1
8;08/03/2025;18:15;Club Atlético Tembetary;Deportivo Recoleta;2;3;-1
