WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;22/02/2025;19:35;Chengdu Rongcheng;Wuhan Three Towns;1;0;1
1;22/02/2025;20:00;Shanghai Shen;Changchun Yatai;2;1;1
1;22/02/2025;20:00;Yunnan Yukun;Beijing Guoan;0;2;-2
1;23/02/2025;15:30;Shandong Taishan;Henan;0;0;0
1;23/02/2025;15:30;Jinmen Tiger;Meizhou Hakka;2;2;0
1;23/02/2025;15:30;Zhejiang;Dalian Yingbo;1;1;0
1;23/02/2025;15:30;Qingdao Hainiu;Qingdao West Coast;2;2;0
1;23/02/2025;19:35;Shanghai Port;Shenzhen Peng City;3;1;2
2;28/02/2025;15:30;Shandong Taishan;Dalian Yingbo;4;1;3
2;28/02/2025;19:35;Shanghai Port;Changchun Yatai;2;0;2
2;01/03/2025;15:30;Qingdao Hainiu;Shenzhen Peng City;0;1;-1
2;01/03/2025;19:35;Meizhou Hakka;Henan;2;1;1
2;01/03/2025;19:35;Shanghai Shen;Beijing Guoan;2;2;0
2;01/03/2025;20:00;Yunnan Yukun;Zhejiang;1;1;0
2;02/03/2025;18:30;Chengdu Rongcheng;Jinmen Tiger;1;2;-1
2;03/03/2025;14:00;Qingdao West Coast;Wuhan Three Towns;2;0;2
3;28/03/2025;19:00;Qingdao West Coast;Shanghai Port;3;3;0
3;28/03/2025;19:35;Wuhan Three Towns;Zhejiang;0;4;-4
3;28/03/2025;20:00;Shenzhen Peng City;Yunnan Yukun;3;4;-1
3;29/03/2025;15:30;Dalian Yingbo;Changchun Yatai;2;0;2
3;29/03/2025;15:30;Jinmen Tiger;Qingdao Hainiu;1;0;1
3;29/03/2025;18:00;Henan;Shanghai Shen;1;3;-2
3;29/03/2025;19:00;Meizhou Hakka;Shandong Taishan;3;4;-1
3;29/03/2025;19:35;Beijing Guoan;Chengdu Rongcheng;1;1;0
4;01/04/2025;19:00;Henan;Qingdao West Coast;2;3;-1
4;01/04/2025;19:35;Zhejiang;Shenzhen Peng City;3;0;3
4;02/04/2025;15:30;Changchun Yatai;Wuhan Three Towns;1;1;0
4;02/04/2025;18:00;Shanghai Shen;Yunnan Yukun;3;1;2
4;02/04/2025;19:00;Qingdao Hainiu;Dalian Yingbo;1;1;0
4;02/04/2025;19:35;Shandong Taishan;Chengdu Rongcheng;0;3;-3
4;02/04/2025;19:35;Jinmen Tiger;Beijing Guoan;2;2;0
4;02/04/2025;20:00;Shanghai Port;Meizhou Hakka;2;1;1
5;05/04/2025;19:35;Shenzhen Peng City;Henan;1;3;-2
5;06/04/2025;15:30;Changchun Yatai;Shandong Taishan;1;2;-1
5;06/04/2025;18:30;Qingdao West Coast;Jinmen Tiger;2;2;0
5;06/04/2025;19:00;Meizhou Hakka;Wuhan Three Towns;3;1;2
5;06/04/2025;19:00;Chengdu Rongcheng;Dalian Yingbo;2;0;2
5;06/04/2025;19:35;Shanghai Port;Shanghai Shen;1;1;0
5;06/04/2025;19:35;Beijing Guoan;Zhejiang;2;0;2
5;06/04/2025;20:00;Yunnan Yukun;Qingdao Hainiu;1;0;1
6;11/04/2025;19:35;Meizhou Hakka;Changchun Yatai;1;3;-2
6;11/04/2025;19:35;Shandong Taishan;Shenzhen Peng City;4;0;4
6;12/04/2025;15:30;Dalian Yingbo;Jinmen Tiger;1;1;0
6;12/04/2025;19:00;Qingdao Hainiu;Chengdu Rongcheng;0;1;-1
6;12/04/2025;19:35;Wuhan Three Towns;Yunnan Yukun;3;1;2
6;12/04/2025;20:00;Shanghai Shen;Zhejiang;3;2;1
7;15/04/2025;18:30;Qingdao West Coast;Shandong Taishan;1;5;-4
7;15/04/2025;19:35;Wuhan Three Towns;Beijing Guoan;4;4;0
7;15/04/2025;20:00;Shenzhen Peng City;Changchun Yatai;3;1;2
7;16/04/2025;18:00;Jinmen Tiger;Shanghai Port;1;4;-3
7;16/04/2025;19:00;Zhejiang;Meizhou Hakka;2;2;0
7;16/04/2025;19:00;Dalian Yingbo;Henan;1;0;1
7;16/04/2025;19:35;Chengdu Rongcheng;Yunnan Yukun;1;1;0
7;16/04/2025;20:00;Shanghai Shen;Qingdao Hainiu;3;2;1
8;19/04/2025;19:00;Shanghai Shen;Wuhan Three Towns;2;0;2
8;19/04/2025;19:35;Beijing Guoan;Shandong Taishan;6;1;5
8;20/04/2025;15:30;Changchun Yatai;Yunnan Yukun;0;0;0
8;20/04/2025;18:30;Qingdao West Coast;Dalian Yingbo;2;0;2
8;20/04/2025;18:30;Henan;Qingdao Hainiu;3;1;2
8;20/04/2025;19:00;Meizhou Hakka;Shenzhen Peng City;3;0;3
8;20/04/2025;19:35;Shanghai Port;Chengdu Rongcheng;1;3;-2
8;20/04/2025;19:35;Jinmen Tiger;Zhejiang;2;0;2
9;25/04/2025;19:35;Beijing Guoan;Henan;1;0;1
9;25/04/2025;20:00;Yunnan Yukun;Shanghai Port;2;3;-1
9;26/04/2025;15:30;Changchun Yatai;Chengdu Rongcheng;1;2;-1
9;26/04/2025;19:00;Shenzhen Peng City;Dalian Yingbo;1;1;0
9;26/04/2025;19:35;Shandong Taishan;Shanghai Shen;0;1;-1
9;27/04/2025;19:00;Wuhan Three Towns;Jinmen Tiger;2;1;1
9;27/04/2025;19:35;Qingdao Hainiu;Meizhou Hakka;1;1;0
9;27/04/2025;20:00;Zhejiang;Qingdao West Coast;2;1;1
10;01/05/2025;15:30;Dalian Yingbo;Yunnan Yukun;3;2;1
10;01/05/2025;18:30;Shenzhen Peng City;Jinmen Tiger;1;0;1
10;01/05/2025;19:00;Zhejiang;Changchun Yatai;4;2;2
10;01/05/2025;19:00;Henan;Wuhan Three Towns;1;2;-1
10;01/05/2025;19:35;Shandong Taishan;Qingdao Hainiu;1;1;0
10;01/05/2025;19:35;Shanghai Port;Beijing Guoan;1;2;-1
10;02/05/2025;19:00;Qingdao West Coast;Meizhou Hakka;3;1;2
10;02/05/2025;19:35;Chengdu Rongcheng;Shanghai Shen;1;0;1
11;05/05/2025;15:30;Dalian Yingbo;Beijing Guoan;0;2;-2
11;05/05/2025;19:00;Wuhan Three Towns;Shanghai Port;0;2;-2
11;05/05/2025;19:00;Henan;Jinmen Tiger;3;4;-1
11;05/05/2025;19:35;Qingdao Hainiu;Changchun Yatai;3;0;3
11;05/05/2025;19:35;Chengdu Rongcheng;Zhejiang;2;1;1
11;05/05/2025;20:00;Yunnan Yukun;Shandong Taishan;3;2;1
11;06/05/2025;19:00;Meizhou Hakka;Shanghai Shen;1;3;-2
11;06/05/2025;19:35;Qingdao West Coast;Shenzhen Peng City;0;0;0
12;09/05/2025;19:35;Shanghai Port;Qingdao Hainiu;3;1;2
12;10/05/2025;19:00;Shanghai Shen;Qingdao West Coast;4;0;4
12;10/05/2025;19:35;Shandong Taishan;Zhejiang;4;2;2
12;10/05/2025;19:35;Meizhou Hakka;Chengdu Rongcheng;0;4;-4
12;10/05/2025;20:00;Beijing Guoan;Shenzhen Peng City;3;1;2
12;11/05/2025;19:00;Changchun Yatai;Henan;0;1;-1
12;11/05/2025;19:00;Jinmen Tiger;Yunnan Yukun;0;1;-1
12;11/05/2025;19:35;Wuhan Three Towns;Dalian Yingbo;2;2;0
13;16/05/2025;19:35;Zhejiang;Henan;2;2;0
13;16/05/2025;20:00;Yunnan Yukun;Meizhou Hakka;2;0;2
13;17/05/2025;18:00;Dalian Yingbo;Shanghai Shen;0;3;-3
13;17/05/2025;19:00;Changchun Yatai;Jinmen Tiger;1;2;-1
13;17/05/2025;19:35;Qingdao Hainiu;Beijing Guoan;1;1;0
13;17/05/2025;19:35;Chengdu Rongcheng;Qingdao West Coast;1;1;0
13;17/05/2025;20:00;Shanghai Port;Shandong Taishan;1;1;0
