WEEK;DATE;TIME;HOME;AWAY
14;13/06/2025;19:35;Dalian Yingbo;Meizhou Hakka
14;13/06/2025;20:00;Wuhan Three Towns;Qingdao Hainiu
14;14/06/2025;15:30;Zhejiang;Shanghai Port
14;14/06/2025;19:00;Qingdao West Coast;Yunnan Yukun
14;14/06/2025;19:00;Beijing Guoan;Changchun Yatai
14;14/06/2025;19:35;Henan;Chengdu Rongcheng
14;14/06/2025;19:35;Shenzhen Peng City;Shanghai Shen
14;14/06/2025;20:00;Jinmen Tiger;Shandong Taishan
6;17/06/2025;19:35;Beijing Guoan;Qingdao West Coast
6;18/06/2025;19:35;Henan;Shanghai Port
