WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;15/08/2024;20:30;Persepolis;Zob Ahan;1;1;0
1;15/08/2024;20:45;Malavan;Gol Gohar;1;0;1
1;15/08/2024;21:30;Esteghlal Khuz;Aluminium Arak;0;0;0
1;16/08/2024;20:15;Mes Rafsanjan;Tractor Sazi;0;2;-2
1;16/08/2024;20:15;Sepahan;Chadormalu SC;3;1;2
1;16/08/2024;20:30;Shams Azar;Esteghlal;1;2;-1
1;16/08/2024;20:30;SorkhPooshan FC;Kheybar;0;1;-1
1;16/08/2024;20:30;Nassaji;Foolad;0;1;-1
2;22/08/2024;20:30;Gol Gohar;Esteghlal Khuz;2;0;2
2;22/08/2024;20:30;Aluminium Arak;Nassaji;1;1;0
2;22/08/2024;20:45;Tractor Sazi;Persepolis;1;1;0
2;22/08/2024;21:30;Foolad;Mes Rafsanjan;0;0;0
2;23/08/2024;20:15;Zob Ahan;SorkhPooshan FC;0;0;0
2;23/08/2024;20:30;Kheybar;Sepahan;1;2;-1
2;23/08/2024;20:30;Chadormalu SC;Shams Azar;1;1;0
2;23/08/2024;20:30;Esteghlal;Malavan;2;2;0
3;29/08/2024;20:15;Mes Rafsanjan;Aluminium Arak;3;1;2
3;29/08/2024;20:15;SorkhPooshan FC;Tractor Sazi;0;4;-4
3;29/08/2024;20:30;Kheybar;Zob Ahan;1;1;0
3;29/08/2024;21:30;Esteghlal Khuz;Esteghlal;1;0;1
3;30/08/2024;20:15;Nassaji;Gol Gohar;0;1;-1
3;30/08/2024;20:15;Sepahan;Shams Azar;1;0;1
3;30/08/2024;20:30;Persepolis;Foolad;2;0;2
3;30/08/2024;20:30;Malavan;Chadormalu SC;3;1;2
4;13/09/2024;19:45;Shams Azar;Esteghlal Khuz;2;2;0
4;13/09/2024;19:45;Sepahan;Malavan;1;0;1
4;13/09/2024;20:30;Tractor Sazi;Zob Ahan;0;1;-1
4;14/09/2024;20:00;Chadormalu SC;Nassaji;1;0;1
4;14/09/2024;20:00;Aluminium Arak;SorkhPooshan FC;0;0;0
4;14/09/2024;20:30;Foolad;Kheybar;1;1;0
5;20/09/2024;18:15;Nassaji;Esteghlal;2;2;0
5;20/09/2024;19:30;Mes Rafsanjan;Gol Gohar;0;0;0
5;20/09/2024;20:00;Malavan;Shams Azar;2;0;2
5;20/09/2024;21:00;Persepolis;Aluminium Arak;2;0;2
5;21/09/2024;18:45;SorkhPooshan FC;Foolad;0;1;-1
5;21/09/2024;19:30;Esteghlal Khuz;Chadormalu SC;1;1;0
5;22/09/2024;19:00;Zob Ahan;Sepahan;1;1;0
5;22/09/2024;19:00;Kheybar;Tractor Sazi;1;2;-1
6;25/09/2024;19:00;Esteghlal;Persepolis;0;1;-1
6;26/09/2024;18:30;Shams Azar;Nassaji;0;0;0
6;27/09/2024;18:15;Gol Gohar;SorkhPooshan FC;0;0;0
6;27/09/2024;18:30;Sepahan;Tractor Sazi;0;1;-1
6;27/09/2024;18:30;Aluminium Arak;Kheybar;1;0;1
6;27/09/2024;18:30;Malavan;Esteghlal Khuz;1;0;1
6;27/09/2024;18:30;Chadormalu SC;Mes Rafsanjan;1;0;1
6;28/09/2024;19:00;Foolad;Zob Ahan;1;0;1
7;04/10/2024;18:00;Mes Rafsanjan;Shams Azar;0;1;-1
7;04/10/2024;18:15;Nassaji;Malavan;1;1;0
7;04/10/2024;18:30;Zob Ahan;Aluminium Arak;0;4;-4
7;04/10/2024;18:30;Kheybar;Gol Gohar;0;0;0
7;05/10/2024;17:00;Persepolis;Chadormalu SC;1;0;1
7;05/10/2024;19:00;Esteghlal Khuz;Sepahan;0;1;-1
7;05/10/2024;20:00;SorkhPooshan FC;Esteghlal;1;2;-1
7;06/10/2024;17:30;Tractor Sazi;Foolad;1;2;-1
8;17/10/2024;18:00;Chadormalu SC;Kheybar;1;0;1
8;17/10/2024;18:00;Shams Azar;SorkhPooshan FC;1;1;0
8;17/10/2024;18:30;Esteghlal Khuz;Mes Rafsanjan;3;2;1
8;18/10/2024;18:30;Esteghlal;Zob Ahan;0;3;-3
8;20/10/2024;18:15;Aluminium Arak;Foolad;4;2;2
9;25/10/2024;17:45;Zob Ahan;Gol Gohar;0;2;-2
9;25/10/2024;17:45;Nassaji;Esteghlal Khuz;0;0;0
9;25/10/2024;18:00;SorkhPooshan FC;Chadormalu SC;0;1;-1
9;25/10/2024;18:00;Mes Rafsanjan;Malavan;1;1;0
9;26/10/2024;17:00;Kheybar;Esteghlal;3;1;2
9;26/10/2024;19:15;Persepolis;Shams Azar;2;0;2
9;27/10/2024;17:00;Tractor Sazi;Aluminium Arak;2;0;2
9;27/10/2024;18:15;Foolad;Sepahan;2;2;0
10;30/10/2024;18:00;Esteghlal Khuz;Persepolis;1;0;1
10;31/10/2024;17:45;Esteghlal;Tractor Sazi;0;2;-2
10;01/11/2024;17:30;Chadormalu SC;Zob Ahan;1;0;1
10;01/11/2024;17:30;Gol Gohar;Foolad;0;1;-1
10;01/11/2024;17:45;Shams Azar;Kheybar;2;0;2
10;01/11/2024;17:45;Sepahan;Aluminium Arak;1;0;1
10;01/11/2024;17:45;Nassaji;Mes Rafsanjan;0;1;-1
10;01/11/2024;17:45;Malavan;SorkhPooshan FC;0;2;-2
4;09/11/2024;16:15;Gol Gohar;Persepolis;0;1;-1
8;09/11/2024;18:00;Sepahan;Nassaji;1;1;0
4;09/11/2024;18:30;Esteghlal;Mes Rafsanjan;1;0;1
11;01/12/2024;15:45;Zob Ahan;Shams Azar;3;0;3
