WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;18/10/2024;19:35;Central Coast;Melb Victory;0;0;0
1;19/10/2024;17:00;Auckland FC;Brisbane;2;0;2
1;19/10/2024;17:00;Newcastle;Melb City;0;1;-1
1;19/10/2024;19:35;W Sydney;Sydney FC;1;2;-1
1;20/10/2024;16:00;Macarthur FC;Perth Glory;6;1;5
1;20/10/2024;16:00;Wellington;Western United;1;1;0
2;25/10/2024;19:05;Macarthur FC;Newcastle;1;2;-1
2;26/10/2024;16:30;Adelaide;Central Coast;1;1;0
2;26/10/2024;19:35;Melb City;Melb Victory;1;3;-2
2;26/10/2024;21:45;Perth Glory;Wellington;0;2;-2
2;27/10/2024;16:00;Western United;W Sydney;1;1;0
2;27/10/2024;16:00;Auckland FC;Sydney FC;1;0;1
3;01/11/2024;18:35;Brisbane;Sydney FC;2;3;-1
3;02/11/2024;17:00;Central Coast;Perth Glory;0;0;0
3;02/11/2024;17:00;Wellington;Auckland FC;0;2;-2
3;02/11/2024;19:35;W Sydney;Adelaide;3;4;-1
3;03/11/2024;16:00;Melb Victory;Macarthur FC;2;1;1
3;04/11/2024;19:00;Western United;Melb City;0;1;-1
4;08/11/2024;19:35;W Sydney;Newcastle;4;1;3
4;09/11/2024;17:00;Melb Victory;Brisbane;2;0;2
4;09/11/2024;19:05;Adelaide;Western United;2;1;1
4;10/11/2024;16:00;Central Coast;Wellington;0;3;-3
4;10/11/2024;18:00;Sydney FC;Macarthur FC;1;2;-1
4;10/11/2024;20:45;Perth Glory;Melb City;0;5;-5
5;22/11/2024;17:30;Perth Glory;Western United;1;3;-2
5;22/11/2024;20:00;Newcastle;Central Coast;1;2;-1
5;23/11/2024;16:00;Brisbane;Adelaide;2;3;-1
5;23/11/2024;19:35;Sydney FC;W Sydney;4;2;2
5;24/11/2024;15:30;Macarthur FC;Auckland FC;0;1;-1
5;24/11/2024;15:30;Wellington;Melb Victory;1;0;1
6;29/11/2024;19:05;Adelaide;Perth Glory;2;2;0
6;30/11/2024;17:00;Auckland FC;Newcastle;2;0;2
6;30/11/2024;17:00;Melb City;W Sydney;0;2;-2
6;30/11/2024;19:35;Macarthur FC;Brisbane;4;4;0
6;01/12/2024;16:00;Western United;Melb Victory;1;3;-2
7;06/12/2024;18:35;Brisbane;Melb City;1;4;-3
7;07/12/2024;17:00;Auckland FC;Wellington;2;1;1
7;07/12/2024;18:00;Newcastle;Adelaide;0;1;-1
7;07/12/2024;18:00;Western United;Macarthur FC;0;0;0
7;08/12/2024;17:00;Melb Victory;Perth Glory;2;0;2
7;08/12/2024;18:00;Central Coast;Sydney FC;2;1;1
8;13/12/2024;19:35;Central Coast;Adelaide;0;4;-4
8;14/12/2024;17:00;Wellington;Macarthur FC;1;2;-1
8;14/12/2024;17:00;Sydney FC;Western United;3;4;-1
8;14/12/2024;19:35;W Sydney;Brisbane;2;2;0
8;14/12/2024;21:45;Perth Glory;Newcastle;0;4;-4
8;15/12/2024;17:00;Melb City;Auckland FC;2;2;0
9;20/12/2024;19:05;Adelaide;Sydney FC;3;3;0
9;21/12/2024;16:00;Brisbane;Perth Glory;0;1;-1
9;21/12/2024;17:00;Auckland FC;Western United;0;4;-4
9;21/12/2024;19:35;Melb Victory;Melb City;1;1;0
9;22/12/2024;17:00;W Sydney;Wellington;4;1;3
9;23/12/2024;18:30;Macarthur FC;Central Coast;1;1;0
