WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;19/07/2024;19:00;Sparta Prague;FK Pardubice;2;1;1
1;20/07/2024;14:30;Jablonec;Mladá Boleslav;2;0;2
1;20/07/2024;17:00;Bohemians 1905;Baník Ostrava;2;1;1
1;20/07/2024;17:00;České Budĕjov.;Sigma Olomouc;0;2;-2
1;20/07/2024;20:00;Dukla Prague;Viktoria Plzeň;1;3;-2
1;21/07/2024;14:30;Karviná;Slovan Liberec;1;3;-2
1;21/07/2024;17:00;Slovácko;Slavia Prague;0;0;0
1;21/07/2024;20:00;Hradec Králové;Teplice;1;0;1
2;27/07/2024;14:30;Dukla Prague;Bohemians 1905;1;0;1
2;27/07/2024;17:00;Teplice;Sparta Prague;1;4;-3
2;27/07/2024;17:00;FK Pardubice;Karviná;0;1;-1
2;27/07/2024;20:00;Slavia Prague;České Budĕjov.;4;0;4
2;28/07/2024;14:30;Slovan Liberec;Sigma Olomouc;1;1;0
2;28/07/2024;17:00;Mladá Boleslav;Slovácko;3;0;3
2;28/07/2024;17:00;Baník Ostrava;Jablonec;1;0;1
2;28/07/2024;20:00;Viktoria Plzeň;Hradec Králové;1;0;1
3;02/08/2024;17:30;Slovan Liberec;Slavia Prague;0;1;-1
3;02/08/2024;20:00;Sparta Prague;Dukla Prague;2;0;2
3;03/08/2024;14:30;Slovácko;Bohemians 1905;0;0;0
3;03/08/2024;17:00;Jablonec;Viktoria Plzeň;0;0;0
3;03/08/2024;20:00;Sigma Olomouc;Teplice;2;1;1
3;04/08/2024;14:30;České Budĕjov.;FK Pardubice;1;3;-2
3;04/08/2024;17:00;Hradec Králové;Mladá Boleslav;2;1;1
4;10/08/2024;14:30;Dukla Prague;Jablonec;0;2;-2
4;10/08/2024;17:00;Teplice;Slovan Liberec;2;1;1
4;10/08/2024;17:00;Bohemians 1905;Sparta Prague;1;2;-1
4;10/08/2024;20:00;Slavia Prague;Sigma Olomouc;2;0;2
4;11/08/2024;14:30;FK Pardubice;Slovácko;0;1;-1
4;11/08/2024;17:00;Mladá Boleslav;České Budĕjov.;4;0;4
4;11/08/2024;17:00;Baník Ostrava;Hradec Králové;1;0;1
4;11/08/2024;20:00;Viktoria Plzeň;Karviná;5;0;5
5;17/08/2024;14:30;Hradec Králové;Dukla Prague;1;0;1
5;17/08/2024;17:00;Slavia Prague;Teplice;2;1;1
5;17/08/2024;17:00;Karviná;Bohemians 1905;1;2;-1
5;17/08/2024;20:00;Jablonec;Sparta Prague;1;2;-1
5;18/08/2024;14:30;Sigma Olomouc;Mladá Boleslav;3;2;1
5;18/08/2024;17:00;Slovan Liberec;FK Pardubice;3;0;3
5;18/08/2024;17:00;České Budĕjov.;Viktoria Plzeň;0;3;-3
5;18/08/2024;20:00;Slovácko;Baník Ostrava;1;0;1
6;24/08/2024;14:30;Bohemians 1905;Jablonec;1;2;-1
6;24/08/2024;17:00;Sparta Prague;Slovácko;2;2;0
6;24/08/2024;17:00;Teplice;Karviná;1;3;-2
6;24/08/2024;20:00;FK Pardubice;Hradec Králové;2;1;1
6;25/08/2024;14:30;Baník Ostrava;Slovan Liberec;2;0;2
6;25/08/2024;17:00;Dukla Prague;České Budĕjov.;3;0;3
3;28/08/2024;18:00;Karviná;Baník Ostrava;0;0;0
7;31/08/2024;14:30;České Budĕjov.;Bohemians 1905;0;0;0
