WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;19/07/2024;18:45;Cherno More;CSKA 1948;0;0;0
1;19/07/2024;21:15;FK Levski 2005;Slavia Sofia;1;0;1
1;20/07/2024;19:00;Loko Plovdiv;Arda;1;0;1
1;20/07/2024;21:15;Lokomotiv Sofia;Levski Sofia;1;6;-5
1;21/07/2024;19:00;Botev Vratsa;Botev Plovdiv;1;3;-2
1;21/07/2024;21:15;Ludogorets;CSKA Sofia;1;0;1
1;22/07/2024;19:00;PFC Hebar Pazardzhik;FC Spartak Varna;0;2;-2
1;22/07/2024;21:15;Septemvri Sofia;Beroe;0;1;-1
2;26/07/2024;19:00;Arda;FK Levski 2005;1;0;1
2;26/07/2024;21:15;Levski Sofia;Botev Vratsa;4;0;4
2;27/07/2024;19:00;CSKA Sofia;PFC Hebar Pazardzhik;3;1;2
2;28/07/2024;19:00;CSKA 1948;FC Spartak Varna;2;2;0
2;28/07/2024;21:15;Botev Plovdiv;Loko Plovdiv;2;2;0
2;29/07/2024;19:00;Beroe;Lokomotiv Sofia;0;0;0
2;29/07/2024;21:15;Cherno More;Septemvri Sofia;2;0;2
3;02/08/2024;19:00;PFC Hebar Pazardzhik;Slavia Sofia;1;1;0
3;02/08/2024;21:15;Loko Plovdiv;Levski Sofia;0;2;-2
3;03/08/2024;19:00;FC Spartak Varna;CSKA Sofia;3;0;3
3;03/08/2024;21:15;Ludogorets;Arda;5;1;4
3;04/08/2024;19:00;Lokomotiv Sofia;Cherno More;2;1;1
3;04/08/2024;21:15;FK Levski 2005;Botev Plovdiv;0;1;-1
3;05/08/2024;21:15;Botev Vratsa;Beroe;1;2;-1
4;09/08/2024;19:00;Slavia Sofia;FC Spartak Varna;3;1;2
4;09/08/2024;21:15;Arda;PFC Hebar Pazardzhik;2;1;1
4;10/08/2024;19:00;Beroe;Loko Plovdiv;0;2;-2
4;10/08/2024;21:15;Levski Sofia;FK Levski 2005;3;0;3
4;12/08/2024;19:00;Septemvri Sofia;Lokomotiv Sofia;0;1;-1
4;12/08/2024;21:15;Cherno More;Botev Vratsa;2;1;1
5;16/08/2024;19:00;FC Spartak Varna;Arda;1;0;1
5;16/08/2024;21:15;FK Levski 2005;Beroe;0;1;-1
5;17/08/2024;19:00;CSKA Sofia;Slavia Sofia;0;1;-1
5;17/08/2024;21:15;Ludogorets;Levski Sofia;1;0;1
5;18/08/2024;19:00;Lokomotiv Sofia;CSKA 1948;0;0;0
5;18/08/2024;21:15;PFC Hebar Pazardzhik;Botev Plovdiv;0;1;-1
5;19/08/2024;19:00;Botev Vratsa;Septemvri Sofia;2;0;2
