WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;16/08/2024;20:00;RSCA Futures;Deinze;1;4;-3
1;16/08/2024;20:00;Seraing;Jong Genk;0;2;-2
1;17/08/2024;16:00;Club NXT;Lokeren-Temse;4;0;4
1;17/08/2024;20:00;RWDM;Patro Eisden;1;1;0
1;17/08/2024;20:00;Beveren;Lommel;2;1;1
1;18/08/2024;13:30;Francs Borains;La Louvière;0;1;-1
1;18/08/2024;16:00;RFC Liège;Eupen;0;3;-3
1;18/08/2024;19:15;Zulte Waregem;Lierse;0;1;-1
2;23/08/2024;20:00;Eupen;Beveren;2;2;0
2;23/08/2024;20:00;Lokeren-Temse;Francs Borains;0;1;-1
2;24/08/2024;16:00;Patro Eisden;RSCA Futures;3;1;2
2;24/08/2024;20:00;La Louvière;Club NXT;1;1;0
2;24/08/2024;20:00;Lierse;Seraing;3;2;1
2;25/08/2024;13:30;Lommel;RWDM;0;2;-2
2;25/08/2024;16:00;Deinze;Zulte Waregem;2;2;0
2;25/08/2024;19:15;Jong Genk;RFC Liège;4;1;3
3;30/08/2024;20:00;Zulte Waregem;Lokeren-Temse;1;0;1
3;30/08/2024;20:00;RWDM;Eupen;2;1;1
3;31/08/2024;16:00;RSCA Futures;La Louvière;1;2;-1
3;31/08/2024;20:00;Patro Eisden;Club NXT;2;2;0
3;31/08/2024;20:00;RFC Liège;Beveren;0;0;0
3;01/09/2024;13:30;Jong Genk;Francs Borains;1;2;-1
3;01/09/2024;16:00;Lierse;Deinze;0;1;-1
3;01/09/2024;19:15;Seraing;Lommel;1;2;-1
4;13/09/2024;20:00;Club NXT;Seraing;1;1;0
4;13/09/2024;20:00;Lokeren-Temse;Patro Eisden;2;2;0
4;14/09/2024;16:00;Francs Borains;Lommel;1;3;-2
4;14/09/2024;20:00;RFC Liège;RSCA Futures;3;3;0
4;14/09/2024;20:00;RWDM;Lierse;3;0;3
4;15/09/2024;13:30;Eupen;Zulte Waregem;1;3;-2
4;15/09/2024;16:00;Beveren;Jong Genk;3;2;1
4;15/09/2024;19:15;Deinze;La Louvière;1;2;-1
5;20/09/2024;20:00;Beveren;Seraing;0;0;0
5;20/09/2024;20:00;Lommel;RSCA Futures;2;1;1
5;21/09/2024;16:00;Lierse;Eupen;3;0;3
5;21/09/2024;20:00;Patro Eisden;Francs Borains;4;1;3
5;21/09/2024;20:00;Jong Genk;RWDM;0;3;-3
5;22/09/2024;13:30;Zulte Waregem;RFC Liège;3;1;2
5;22/09/2024;16:00;Deinze;Club NXT;2;0;2
