WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;22/08/2024;19:10;Al-Taawoun;Al-Fayha;1;0;1
1;22/08/2024;21:00;Al-Nassr;Al-Raed;1;1;0
1;22/08/2024;21:00;Al-Wehda;Al-Riyadh SC;3;3;0
1;23/08/2024;19:10;Damac;Al-Khaleej;0;1;-1
1;23/08/2024;21:00;Al-Qadsiah;Al-Fateh;3;0;3
1;23/08/2024;21:00;Al-Ahli;Al-Orobah;2;0;2
1;24/08/2024;19:10;Al Kholood Saudi Club;Al-Ittihad;0;1;-1
1;24/08/2024;21:00;Al Okhdood SC;Al-Hilal;0;3;-3
1;24/08/2024;21:00;Al-Shabab;Al-Ettifaq;0;1;-1
2;27/08/2024;18:45;Al-Fateh;Al-Ahli;1;0;1
2;27/08/2024;21:00;Al-Raed;Al-Qadsiah;0;1;-1
2;27/08/2024;21:00;Al-Fayha;Al-Nassr;1;4;-3
2;28/08/2024;18:45;Al-Ettifaq;Al Okhdood SC;1;0;1
2;28/08/2024;21:00;Al-Wehda;Al-Orobah;2;1;1
2;28/08/2024;21:00;Al-Hilal;Damac;3;2;1
2;29/08/2024;18:55;Al-Riyadh SC;Al Kholood Saudi Club;3;1;2
2;29/08/2024;21:00;Al-Ittihad;Al-Taawoun;2;1;1
2;29/08/2024;21:00;Al-Khaleej;Al-Shabab;0;1;-1
3;13/09/2024;18:45;Al-Taawoun;Al-Khaleej;2;0;2
3;13/09/2024;18:50;Damac;Al Okhdood SC;3;1;2
3;13/09/2024;21:00;Al-Nassr;Al-Ahli;1;1;0
3;14/09/2024;18:20;Al-Fateh;Al-Ettifaq;1;2;-1
3;14/09/2024;18:45;Al-Fayha;Al-Raed;0;5;-5
3;14/09/2024;21:00;Al-Riyadh SC;Al-Hilal;0;3;-3
3;15/09/2024;18:20;Al-Qadsiah;Al-Shabab;0;1;-1
3;15/09/2024;18:50;Al Kholood Saudi Club;Al-Orobah;3;3;0
3;15/09/2024;21:00;Al-Ittihad;Al-Wehda;7;1;6
4;19/09/2024;18:40;Al Okhdood SC;Al-Qadsiah;0;0;0
4;19/09/2024;18:55;Al-Orobah;Al-Fateh;1;0;1
4;19/09/2024;21:00;Al-Wehda;Al Kholood Saudi Club;0;1;-1
4;20/09/2024;18:15;Al-Khaleej;Al-Fayha;0;0;0
4;20/09/2024;18:55;Al-Ahli;Damac;4;2;2
4;20/09/2024;21:00;Al-Ettifaq;Al-Nassr;0;3;-3
4;21/09/2024;18:30;Al-Shabab;Al-Taawoun;1;0;1
4;21/09/2024;18:35;Al-Raed;Al-Riyadh SC;1;2;-1
4;21/09/2024;21:00;Al-Hilal;Al-Ittihad;3;1;2
5;27/09/2024;18:20;Al-Nassr;Al-Wehda;2;0;2
5;27/09/2024;21:00;Al-Qadsiah;Al-Ahli;1;0;1
5;27/09/2024;21:00;Al-Ittihad;Al-Khaleej;4;1;3
5;28/09/2024;18:10;Al-Fateh;Al Okhdood SC;2;4;-2
5;28/09/2024;18:45;Al-Orobah;Damac;1;0;1
5;28/09/2024;21:00;Al Kholood Saudi Club;Al-Hilal;2;4;-2
5;29/09/2024;18:25;Al-Fayha;Al-Riyadh SC;2;0;2
5;29/09/2024;21:00;Al-Shabab;Al-Raed;2;1;1
5;29/09/2024;21:00;Al-Taawoun;Al-Ettifaq;1;1;0
6;03/10/2024;18:00;Al-Ettifaq;Al-Raed;0;1;-1
6;03/10/2024;21:00;Al Okhdood SC;Al-Ittihad;1;2;-1
6;03/10/2024;21:00;Al-Wehda;Al-Fayha;2;2;0
6;04/10/2024;18:00;Al-Khaleej;Al Kholood Saudi Club;1;0;1
6;04/10/2024;18:15;Al-Riyadh SC;Al-Qadsiah;2;1;1
6;04/10/2024;21:00;Damac;Al-Shabab;1;0;1
6;05/10/2024;18:15;Al-Nassr;Al-Orobah;3;0;3
6;05/10/2024;18:25;Al-Taawoun;Al-Fateh;2;0;2
6;05/10/2024;21:00;Al-Ahli;Al-Hilal;1;2;-1
7;18/10/2024;17:45;Al-Khaleej;Al-Ahli;0;3;-3
7;18/10/2024;18:00;Al-Hilal;Al-Fayha;3;0;3
7;18/10/2024;21:00;Al-Shabab;Al-Nassr;1;2;-1
7;19/10/2024;18:05;Al-Raed;Al-Wehda;2;2;0
7;19/10/2024;18:20;Damac;Al-Taawoun;2;2;0
7;19/10/2024;21:00;Al-Ittihad;Al-Qadsiah;3;1;2
7;20/10/2024;17:45;Al-Fateh;Al Kholood Saudi Club;1;1;0
7;20/10/2024;18:20;Al Okhdood SC;Al-Riyadh SC;0;1;-1
7;20/10/2024;21:00;Al-Ettifaq;Al-Orobah;2;3;-1
8;24/10/2024;18:15;Al-Orobah;Al-Shabab;0;3;-3
8;24/10/2024;21:00;Al-Wehda;Al-Khaleej;1;3;-2
8;24/10/2024;21:00;Al-Riyadh SC;Al-Ittihad;0;1;-1
8;25/10/2024;17:35;Al-Qadsiah;Damac;2;1;1
8;25/10/2024;18:05;Al Kholood Saudi Club;Al-Nassr;3;3;0
8;25/10/2024;21:00;Al-Ahli;Al Okhdood SC;1;1;0
8;26/10/2024;18:00;Al-Fayha;Al-Ettifaq;1;1;0
8;26/10/2024;18:05;Al-Raed;Al-Fateh;2;1;1
8;26/10/2024;21:00;Al-Hilal;Al-Taawoun;2;0;2
9;31/10/2024;17:50;Al-Shabab;Al-Wehda;3;1;2
9;31/10/2024;18:10;Al Okhdood SC;Al-Orobah;4;0;4
9;31/10/2024;21:00;Al-Ittihad;Al-Ahli;1;0;1
9;01/11/2024;17:35;Al-Khaleej;Al-Raed;4;0;4
9;01/11/2024;18:15;Damac;Al-Riyadh SC;2;2;0
9;01/11/2024;21:00;Al-Nassr;Al-Hilal;1;1;0
9;02/11/2024;17:35;Al-Fateh;Al-Fayha;1;1;0
