WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;02/08/2024;19:45;Falkirk;Queen's Park FC;2;1;1
1;03/08/2024;15:00;Hamilton Acad.;Ayr United;0;2;-2
1;03/08/2024;15:00;Partick Thistle;Morton;0;0;0
1;03/08/2024;15:00;Livingston;Dunfermline Ath.;2;0;2
1;03/08/2024;15:00;Airdrieonians;Raith Rovers;1;0;1
2;09/08/2024;19:45;Queen's Park FC;Livingston;1;1;0
2;09/08/2024;19:45;Ayr United;Airdrieonians;5;0;5
2;10/08/2024;15:00;Morton;Hamilton Acad.;0;0;0
2;10/08/2024;15:00;Raith Rovers;Partick Thistle;1;0;1
2;10/08/2024;15:00;Dunfermline Ath.;Falkirk;0;2;-2
11;17/08/2024;15:00;Ayr United;Hamilton Acad.;3;2;1
3;24/08/2024;15:00;Hamilton Acad.;Dunfermline Ath.;1;0;1
3;24/08/2024;15:00;Falkirk;Partick Thistle;2;1;1
3;24/08/2024;15:00;Airdrieonians;Queen's Park FC;0;2;-2
3;24/08/2024;15:00;Livingston;Morton;1;1;0
3;24/08/2024;15:00;Ayr United;Raith Rovers;2;0;2
4;31/08/2024;15:00;Hamilton Acad.;Airdrieonians;2;2;0
4;31/08/2024;15:00;Partick Thistle;Queen's Park FC;3;0;3
4;31/08/2024;15:00;Morton;Falkirk;2;3;-1
4;31/08/2024;15:00;Raith Rovers;Livingston;0;1;-1
4;31/08/2024;15:00;Dunfermline Ath.;Ayr United;1;1;0
5;13/09/2024;19:45;Dunfermline Ath.;Raith Rovers;2;0;2
5;14/09/2024;15:00;Airdrieonians;Falkirk;0;2;-2
5;14/09/2024;15:00;Livingston;Hamilton Acad.;3;0;3
5;14/09/2024;15:00;Ayr United;Partick Thistle;1;1;0
5;14/09/2024;15:00;Queen's Park FC;Morton;1;0;1
6;21/09/2024;15:00;Queen's Park FC;Ayr United;1;1;0
6;21/09/2024;15:00;Partick Thistle;Dunfermline Ath.;1;0;1
6;21/09/2024;15:00;Raith Rovers;Hamilton Acad.;3;3;0
6;21/09/2024;15:00;Morton;Airdrieonians;2;0;2
7;28/09/2024;15:00;Hamilton Acad.;Partick Thistle;1;0;1
7;28/09/2024;15:00;Raith Rovers;Falkirk;1;0;1
7;28/09/2024;15:00;Dunfermline Ath.;Queen's Park FC;1;2;-1
7;28/09/2024;15:00;Ayr United;Morton;1;0;1
7;28/09/2024;15:00;Livingston;Airdrieonians;2;1;1
8;05/10/2024;15:00;Queen's Park FC;Hamilton Acad.;1;0;1
8;05/10/2024;15:00;Airdrieonians;Dunfermline Ath.;1;1;0
8;05/10/2024;15:00;Falkirk;Ayr United;2;0;2
