WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;13/09/2024;19:30;Mohun Bagan;Mumbai City;2;2;0
1;14/09/2024;17:00;Odisha;Chennaiyin;2;3;-1
1;14/09/2024;19:30;Bengaluru;East Bengal;1;0;1
1;15/09/2024;19:30;Kerala Blasters;Punjab;1;2;-1
1;16/09/2024;19:30;Mohammedan;NorthEast Utd;0;1;-1
1;17/09/2024;19:30;Goa;Jamshedpur;1;2;-1
2;19/09/2024;19:30;Bengaluru;Hyderabad FC;3;0;3
2;20/09/2024;19:30;Punjab;Odisha;2;1;1
2;21/09/2024;17:00;Jamshedpur;Mumbai City;3;2;1
2;21/09/2024;19:30;Mohammedan;Goa;1;1;0
2;22/09/2024;19:30;Kerala Blasters;East Bengal;2;1;1
2;23/09/2024;19:30;Mohun Bagan;NorthEast Utd;3;2;1
3;25/09/2024;19:30;Punjab;Hyderabad FC;2;0;2
3;26/09/2024;19:30;Chennaiyin;Mohammedan;0;1;-1
3;27/09/2024;19:30;East Bengal;Goa;2;3;-1
3;28/09/2024;17:00;Odisha;Jamshedpur;2;1;1
3;28/09/2024;19:30;Bengaluru;Mohun Bagan;3;0;3
3;29/09/2024;19:30;NorthEast Utd;Kerala Blasters;1;1;0
4;01/10/2024;19:30;Hyderabad FC;Chennaiyin;0;0;0
4;02/10/2024;19:30;Mumbai City;Bengaluru;0;0;0
4;03/10/2024;19:30;Odisha;Kerala Blasters;2;2;0
4;04/10/2024;19:30;Goa;NorthEast Utd;3;3;0
4;05/10/2024;17:00;Jamshedpur;East Bengal;2;0;2
4;05/10/2024;19:30;Mohun Bagan;Mohammedan;3;0;3
5;17/10/2024;19:30;NorthEast Utd;Chennaiyin;2;3;-1
5;18/10/2024;19:30;Bengaluru;Punjab;1;0;1
5;19/10/2024;17:00;Goa;Mumbai City;1;2;-1
5;19/10/2024;19:30;East Bengal;Mohun Bagan;0;2;-2
5;20/10/2024;19:30;Mohammedan;Kerala Blasters;1;2;-1
5;21/10/2024;19:30;Jamshedpur;Hyderabad FC;2;1;1
6;22/10/2024;19:30;Odisha;East Bengal;2;1;1
6;24/10/2024;19:30;Chennaiyin;Goa;2;2;0
6;25/10/2024;19:30;Kerala Blasters;Bengaluru;1;3;-2
6;26/10/2024;17:00;NorthEast Utd;Jamshedpur;5;0;5
6;26/10/2024;19:30;Mohammedan;Hyderabad FC;0;4;-4
6;27/10/2024;19:30;Mumbai City;Odisha;1;1;0
7;30/10/2024;19:30;Hyderabad FC;Mohun Bagan;0;2;-2
7;31/10/2024;19:30;Punjab;Chennaiyin;3;2;1
7;02/11/2024;19:30;Goa;Bengaluru;3;0;3
7;03/11/2024;17:00;NorthEast Utd;Odisha;3;2;1
7;03/11/2024;19:30;Mumbai City;Kerala Blasters;4;2;2
7;04/11/2024;19:30;Jamshedpur;Chennaiyin;1;5;-4
8;06/11/2024;19:30;Goa;Punjab;2;1;1
8;07/11/2024;19:30;Kerala Blasters;Hyderabad FC;1;2;-1
8;08/11/2024;19:30;Bengaluru;NorthEast Utd;2;2;0
8;09/11/2024;17:00;Chennaiyin;Mumbai City;1;1;0
8;09/11/2024;19:30;East Bengal;Mohammedan;0;0;0
8;10/11/2024;19:30;Odisha;Mohun Bagan;1;1;0
9;23/11/2024;17:00;Punjab;NorthEast Utd;1;2;-1
9;23/11/2024;19:30;Mohun Bagan;Jamshedpur;3;0;3
9;24/11/2024;19:30;Kerala Blasters;Chennaiyin;3;0;3
9;25/11/2024;19:30;Hyderabad FC;Odisha;0;6;-6
9;26/11/2024;19:30;Mumbai City;Punjab;0;3;-3
9;27/11/2024;19:30;Mohammedan;Bengaluru;1;2;-1
10;28/11/2024;19:30;Kerala Blasters;Goa;0;1;-1
10;29/11/2024;19:30;East Bengal;NorthEast Utd;1;0;1
10;30/11/2024;17:00;Mumbai City;Hyderabad FC;1;0;1
10;30/11/2024;19:30;Mohun Bagan;Chennaiyin;1;0;1
10;01/12/2024;19:30;Odisha;Bengaluru;4;2;2
10;02/12/2024;19:30;Jamshedpur;Mohammedan;3;1;2
