WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;24/01/2025;18:00;Metropolitanos;Acad Pr Cabello;2;1;1
1;25/01/2025;17:00;Universidad Central;Anzoátegui;1;1;0
1;25/01/2025;17:00;Estud Mérida;Carabobo;0;2;-2
1;24/01/2025;20:30;Monagas;Dep La Guaira;1;1;0
1;26/01/2025;15:30;Rayo Zuliano;Caracas;1;1;0
1;26/01/2025;17:45;Dep Táchira;Zamora;0;0;0
1;26/01/2025;20:00;Portuguesa;Yaracuyanos FC;1;0;1
2;31/01/2025;19:00;Anzoátegui;Rayo Zuliano;3;1;2
2;30/01/2025;20:30;Monagas;Dep Táchira;1;4;-3
2;01/02/2025;15:00;Yaracuyanos FC;Acad Pr Cabello;0;3;-3
2;02/02/2025;17:00;Zamora;Estud Mérida;2;1;1
2;02/02/2025;18:00;Dep La Guaira;Universidad Central;2;2;0
2;02/02/2025;19:30;Carabobo;Portuguesa;0;0;0
2;03/02/2025;19:00;Caracas;Metropolitanos;1;0;1
3;06/02/2025;19:30;Estud Mérida;Monagas;2;0;2
3;07/02/2025;19:00;Portuguesa;Zamora;2;1;1
3;08/02/2025;15:30;Rayo Zuliano;Dep La Guaira;1;1;0
3;08/02/2025;17:45;Dep Táchira;Universidad Central;1;0;1
3;09/02/2025;15:00;Yaracuyanos FC;Metropolitanos;0;0;0
3;09/02/2025;18:00;Caracas;Anzoátegui;1;0;1
3;08/02/2025;20:00;Acad Pr Cabello;Carabobo;1;3;-2
4;14/02/2025;19:00;Universidad Central;Estud Mérida;2;1;1
4;15/02/2025;15:30;Rayo Zuliano;Dep Táchira;1;0;1
4;15/02/2025;17:45;Carabobo;Yaracuyanos FC;2;2;0
4;16/02/2025;17:00;Monagas;Portuguesa;0;2;-2
4;16/02/2025;19:30;Zamora;Acad Pr Cabello;0;2;-2
4;15/02/2025;20:00;Dep La Guaira;Caracas;1;0;1
4;17/02/2025;19:00;Anzoátegui;Metropolitanos;3;1;2
5;21/02/2025;17:30;Estud Mérida;Rayo Zuliano;1;0;1
5;22/02/2025;15:00;Yaracuyanos FC;Zamora;2;2;0
5;22/02/2025;17:45;Anzoátegui;Dep La Guaira;0;1;-1
5;23/02/2025;17:00;Dep Táchira;Caracas;1;0;1
5;23/02/2025;18:45;Metropolitanos;Carabobo;3;0;3
5;23/02/2025;19:30;Acad Pr Cabello;Monagas;1;0;1
5;22/02/2025;20:00;Portuguesa;Universidad Central;0;1;-1
6;28/02/2025;15:30;Rayo Zuliano;Portuguesa;1;0;1
6;01/03/2025;16:00;Dep La Guaira;Metropolitanos;4;1;3
6;01/03/2025;18:15;Anzoátegui;Dep Táchira;0;0;0
6;01/03/2025;18:15;Caracas;Estud Mérida;0;0;0
6;02/03/2025;17:30;Zamora;Carabobo;0;1;-1
6;01/03/2025;20:30;Universidad Central;Acad Pr Cabello;1;0;1
6;02/03/2025;20:00;Monagas;Yaracuyanos FC;2;1;1
7;07/03/2025;18:30;Estud Mérida;Anzoátegui;3;4;-1
7;08/03/2025;15:00;Yaracuyanos FC;Universidad Central;0;2;-2
7;08/03/2025;17:30;Carabobo;Monagas;1;0;1
7;09/03/2025;17:00;Dep Táchira;Dep La Guaira;2;1;1
7;09/03/2025;18:00;Portuguesa;Caracas;0;2;-2
7;09/03/2025;19:00;Metropolitanos;Zamora;0;0;0
7;09/03/2025;20:30;Acad Pr Cabello;Rayo Zuliano;1;0;1
8;14/03/2025;18:00;Monagas;Zamora;2;1;1
8;15/03/2025;15:30;Rayo Zuliano;Yaracuyanos FC;2;0;2
8;15/03/2025;17:45;Anzoátegui;Portuguesa;0;0;0
8;14/03/2025;20:30;Caracas;Acad Pr Cabello;0;0;0
8;16/03/2025;17:00;Dep Táchira;Metropolitanos;1;1;0
8;16/03/2025;19:30;Dep La Guaira;Estud Mérida;2;1;1
8;15/03/2025;20:00;Universidad Central;Carabobo;1;1;0
9;27/03/2025;15:00;Yaracuyanos FC;Caracas;3;3;0
9;28/03/2025;17:30;Estud Mérida;Dep Táchira;2;3;-1
9;29/03/2025;17:30;Zamora;Universidad Central;0;1;-1
9;28/03/2025;20:00;Carabobo;Rayo Zuliano;1;0;1
9;30/03/2025;17:30;Metropolitanos;Monagas;2;2;0
9;29/03/2025;20:00;Acad Pr Cabello;Anzoátegui;0;0;0
9;30/03/2025;20:00;Portuguesa;Dep La Guaira;1;3;-2
10;04/04/2025;17:30;Universidad Central;Monagas;0;0;0
10;05/04/2025;15:00;Caracas;Carabobo;0;1;-1
10;05/04/2025;15:30;Rayo Zuliano;Zamora;2;0;2
10;05/04/2025;17:45;Estud Mérida;Metropolitanos;1;2;-1
10;05/04/2025;19:00;Dep La Guaira;Acad Pr Cabello;0;0;0
10;04/04/2025;20:00;Anzoátegui;Yaracuyanos FC;1;1;0
10;06/04/2025;17:30;Dep Táchira;Portuguesa;1;1;0
11;10/04/2025;18:30;Monagas;Rayo Zuliano;3;2;1
11;11/04/2025;19:00;Portuguesa;Estud Mérida;4;2;2
11;12/04/2025;15:00;Yaracuyanos FC;Dep La Guaira;1;2;-1
11;12/04/2025;18:00;Metropolitanos;Universidad Central;0;1;-1
11;13/04/2025;17:00;Carabobo;Anzoátegui;1;0;1
11;13/04/2025;18:00;Zamora;Caracas;3;0;3
11;13/04/2025;20:00;Acad Pr Cabello;Dep Táchira;3;2;1
12;17/04/2025;18:00;Dep La Guaira;Carabobo;0;0;0
12;18/04/2025;16:00;Caracas;Monagas;1;4;-3
12;18/04/2025;18:00;Estud Mérida;Acad Pr Cabello;1;0;1
12;19/04/2025;17:30;Dep Táchira;Yaracuyanos FC;4;0;4
12;20/04/2025;15:30;Rayo Zuliano;Universidad Central;0;2;-2
12;20/04/2025;18:00;Portuguesa;Metropolitanos;2;1;1
12;19/04/2025;20:00;Anzoátegui;Zamora;2;0;2
13;25/04/2025;17:30;Zamora;Dep La Guaira;1;2;-1
13;26/04/2025;15:00;Yaracuyanos FC;Estud Mérida;2;0;2
13;26/04/2025;17:30;Metropolitanos;Rayo Zuliano;4;2;2
13;26/04/2025;17:30;Monagas;Anzoátegui;2;3;-1
13;27/04/2025;17:30;Universidad Central;Caracas;1;3;-2
13;27/04/2025;17:30;Carabobo;Dep Táchira;0;0;0
13;27/04/2025;20:00;Acad Pr Cabello;Portuguesa;2;1;1
1;02/05/2025;18:00;Metropolitanos;Carabobo;1;3;-2
1;02/05/2025;20:30;Acad Pr Cabello;Dep Táchira;1;2;-1
1;03/05/2025;20:00;Anzoátegui;Universidad Central;4;4;0
1;03/05/2025;21:00;Portuguesa;Dep La Guaira;1;2;-1
2;10/05/2025;17:00;Carabobo;Acad Pr Cabello;0;0;0
2;10/05/2025;19:30;Dep Táchira;Metropolitanos;1;0;1
2;11/05/2025;16:00;Universidad Central;Portuguesa;2;2;0
2;11/05/2025;20:00;Dep La Guaira;Anzoátegui;3;1;2
3;16/05/2025;18:00;Universidad Central;Dep La Guaira;3;2;1
3;17/05/2025;17:00;Dep Táchira;Carabobo;1;0;1
3;17/05/2025;19:30;Metropolitanos;Acad Pr Cabello;1;1;0
3;16/05/2025;20:30;Portuguesa;Anzoátegui;0;0;0
4;21/05/2025;18:00;Dep La Guaira;Universidad Central;0;1;-1
4;22/05/2025;18:00;Carabobo;Dep Táchira;2;4;-2
4;21/05/2025;20:30;Anzoátegui;Portuguesa;1;1;0
4;22/05/2025;20:30;Acad Pr Cabello;Metropolitanos;1;1;0
5;31/05/2025;17:00;Metropolitanos;Dep Táchira;2;1;1
5;31/05/2025;19:30;Anzoátegui;Dep La Guaira;0;2;-2
5;31/05/2025;19:30;Portuguesa;Universidad Central;1;3;-2
5;01/06/2025;18:00;Acad Pr Cabello;Carabobo;1;3;-2
