WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;30/08/2024;17:00;Turbine Potsdam;Bayern Munich;0;2;-2
1;31/08/2024;12:00;Eint Frankfurt;Carl-Zeiss Jena;2;0;2
1;01/09/2024;14:00;Essen;Hoffenheim;1;2;-1
1;01/09/2024;18:30;RB Leipzig;Köln;2;1;1
1;02/09/2024;18:00;Wolfsburg;Werder Bremen;3;3;0
2;13/09/2024;18:30;Bayern Munich;RB Leipzig;6;2;4
2;14/09/2024;12:00;Carl-Zeiss Jena;Wolfsburg;0;1;-1
2;14/09/2024;14:00;Werder Bremen;Turbine Potsdam;2;0;2
2;15/09/2024;14:00;Leverkusen;Eint Frankfurt;2;2;0
2;15/09/2024;18:30;Köln;Essen;2;2;0
2;16/09/2024;18:00;Hoffenheim;Freiburg;2;3;-1
3;20/09/2024;18:30;RB Leipzig;Werder Bremen;2;0;2
3;21/09/2024;12:00;Freiburg;Carl-Zeiss Jena;1;1;0
3;21/09/2024;14:00;Essen;Leverkusen;0;2;-2
3;22/09/2024;14:00;Turbine Potsdam;Eint Frankfurt;0;6;-6
3;22/09/2024;18:30;Wolfsburg;Köln;5;1;4
3;23/09/2024;18:00;Bayern Munich;Hoffenheim;5;1;4
4;27/09/2024;18:30;Leverkusen;Hoffenheim;2;1;1
4;28/09/2024;12:00;Köln;Freiburg;0;2;-2
4;28/09/2024;14:00;Turbine Potsdam;RB Leipzig;0;3;-3
4;29/09/2024;14:00;Werder Bremen;Bayern Munich;0;4;-4
4;29/09/2024;17:00;Eint Frankfurt;Wolfsburg;3;0;3
4;30/09/2024;18:00;Carl-Zeiss Jena;Essen;0;2;-2
5;04/10/2024;18:30;Wolfsburg;RB Leipzig;5;0;5
5;05/10/2024;12:00;Freiburg;Turbine Potsdam;3;0;3
5;05/10/2024;14:00;Bayern Munich;Köln;1;0;1
5;06/10/2024;14:00;Essen;Eint Frankfurt;1;3;-2
5;06/10/2024;18:30;Hoffenheim;Werder Bremen;1;0;1
5;07/10/2024;18:00;Leverkusen;Carl-Zeiss Jena;1;0;1
6;11/10/2024;18:30;Turbine Potsdam;Essen;0;3;-3
6;12/10/2024;14:00;Werder Bremen;Leverkusen;1;1;0
6;12/10/2024;17:45;Wolfsburg;Bayern Munich;2;0;2
6;13/10/2024;14:00;Köln;Hoffenheim;0;3;-3
6;13/10/2024;18:30;RB Leipzig;Carl-Zeiss Jena;2;0;2
6;14/10/2024;18:00;Eint Frankfurt;Freiburg;6;0;6
7;18/10/2024;18:30;Hoffenheim;Turbine Potsdam;6;0;6
7;19/10/2024;12:00;Eint Frankfurt;Werder Bremen;0;1;-1
7;19/10/2024;14:00;Carl-Zeiss Jena;Köln;2;2;0
7;20/10/2024;14:00;Essen;Wolfsburg;0;2;-2
7;20/10/2024;16:00;Freiburg;RB Leipzig;4;1;3
7;20/10/2024;18:30;Leverkusen;Bayern Munich;2;3;-1
8;01/11/2024;18:30;Köln;Leverkusen;1;2;-1
8;02/11/2024;12:00;Werder Bremen;Essen;1;0;1
8;02/11/2024;14:00;Turbine Potsdam;Carl-Zeiss Jena;0;0;0
8;03/11/2024;14:00;RB Leipzig;Hoffenheim;3;1;2
8;03/11/2024;18:30;Wolfsburg;Freiburg;3;0;3
8;04/11/2024;18:00;Bayern Munich;Eint Frankfurt;1;1;0
9;08/11/2024;18:30;Freiburg;Bayern Munich;2;2;0
9;09/11/2024;12:00;Hoffenheim;Wolfsburg;0;3;-3
9;09/11/2024;14:00;Eint Frankfurt;Köln;8;0;8
9;10/11/2024;14:00;Leverkusen;Turbine Potsdam;3;0;3
9;10/11/2024;18:30;Carl-Zeiss Jena;Werder Bremen;0;1;-1
9;11/11/2024;18:00;Essen;RB Leipzig;0;0;0
10;15/11/2024;18:30;Freiburg;Essen;1;0;1
10;16/11/2024;14:00;Wolfsburg;Turbine Potsdam;3;1;2
10;16/11/2024;17:10;Hoffenheim;Eint Frankfurt;0;1;-1
10;17/11/2024;14:00;Bayern Munich;Carl-Zeiss Jena;5;0;5
10;17/11/2024;18:30;RB Leipzig;Leverkusen;0;1;-1
10;18/11/2024;18:00;Köln;Werder Bremen;1;4;-3
11;06/12/2024;18:30;Leverkusen;Wolfsburg;1;0;1
11;07/12/2024;12:00;Turbine Potsdam;Köln;0;1;-1
11;07/12/2024;14:00;Essen;Bayern Munich;0;2;-2
11;08/12/2024;14:00;Werder Bremen;Freiburg;0;3;-3
11;09/12/2024;18:00;Eint Frankfurt;RB Leipzig;3;0;3
12;13/12/2024;18:30;Carl-Zeiss Jena;Eint Frankfurt;0;3;-3
12;14/12/2024;12:00;Leverkusen;Freiburg;2;0;2
12;14/12/2024;14:00;Werder Bremen;Wolfsburg;1;3;-2
12;15/12/2024;14:00;Bayern Munich;Turbine Potsdam;2;0;2
12;15/12/2024;18:30;Hoffenheim;Essen;1;0;1
12;16/12/2024;18:00;Köln;RB Leipzig;1;3;-2
1;26/01/2025;12:00;Freiburg;Leverkusen;1;2;-1
11;26/01/2025;14:00;Carl-Zeiss Jena;Hoffenheim;0;3;-3
13;31/01/2025;18:30;Eint Frankfurt;Leverkusen;3;2;1
13;01/02/2025;14:00;Turbine Potsdam;Werder Bremen;1;4;-3
13;02/02/2025;14:00;Freiburg;Hoffenheim;0;3;-3
13;02/02/2025;18:30;RB Leipzig;Bayern Munich;0;1;-1
13;03/02/2025;18:00;Wolfsburg;Carl-Zeiss Jena;3;0;3
14;07/02/2025;18:30;Köln;Wolfsburg;0;0;0
14;08/02/2025;12:00;Leverkusen;Essen;1;1;0
14;08/02/2025;14:00;Werder Bremen;RB Leipzig;1;4;-3
14;09/02/2025;14:00;Hoffenheim;Bayern Munich;1;3;-2
14;09/02/2025;18:30;Eint Frankfurt;Turbine Potsdam;9;0;9
13;11/02/2025;18:30;Essen;Köln;0;0;0
15;14/02/2025;18:30;RB Leipzig;Turbine Potsdam;4;1;3
15;15/02/2025;12:00;Freiburg;Köln;2;0;2
15;15/02/2025;14:00;Essen;Carl-Zeiss Jena;4;1;3
15;16/02/2025;14:00;Hoffenheim;Leverkusen;1;0;1
15;16/02/2025;15:15;Bayern Munich;Werder Bremen;1;0;1
15;16/02/2025;16:45;Wolfsburg;Eint Frankfurt;6;1;5
14;05/03/2025;18:30;Carl-Zeiss Jena;Freiburg;0;2;-2
16;07/03/2025;18:30;Eint Frankfurt;Essen;2;1;1
16;08/03/2025;12:00;Turbine Potsdam;Freiburg;0;1;-1
16;08/03/2025;14:00;RB Leipzig;Wolfsburg;0;2;-2
16;09/03/2025;14:00;Köln;Bayern Munich;0;3;-3
16;09/03/2025;18:30;Carl-Zeiss Jena;Leverkusen;0;2;-2
16;10/03/2025;18:00;Werder Bremen;Hoffenheim;1;0;1
17;14/03/2025;16:55;Bayern Munich;Wolfsburg;3;1;2
17;15/03/2025;12:00;Carl-Zeiss Jena;RB Leipzig;1;1;0
17;15/03/2025;14:00;Hoffenheim;Köln;5;1;4
17;16/03/2025;14:00;Leverkusen;Werder Bremen;6;0;6
17;16/03/2025;18:30;Essen;Turbine Potsdam;2;1;1
17;17/03/2025;18:00;Freiburg;Eint Frankfurt;3;2;1
18;28/03/2025;18:30;Köln;Carl-Zeiss Jena;0;1;-1
18;29/03/2025;12:00;Werder Bremen;Eint Frankfurt;1;4;-3
18;29/03/2025;14:00;Turbine Potsdam;Hoffenheim;0;7;-7
18;30/03/2025;14:00;RB Leipzig;Freiburg;1;1;0
18;30/03/2025;15:15;Bayern Munich;Leverkusen;2;0;2
18;30/03/2025;18:30;Wolfsburg;Essen;5;1;4
19;11/04/2025;18:30;Essen;Werder Bremen;0;1;-1
19;12/04/2025;12:00;Carl-Zeiss Jena;Turbine Potsdam;1;0;1
