WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;20/09/2024;19:00;Chelsea;Aston Villa;1;0;1
1;21/09/2024;12:00;Manchester Utd;West Ham;3;0;3
1;21/09/2024;12:30;Brighton;Everton;4;0;4
1;22/09/2024;12:30;Arsenal;Manchester City;2;2;0
1;22/09/2024;14:00;Tottenham;Crystal Palace;4;0;4
1;22/09/2024;14:00;Liverpool;Leicester City;1;1;0
2;27/09/2024;19:30;Crystal Palace;Chelsea;0;7;-7
2;29/09/2024;12:30;Manchester City;Brighton;1;0;1
2;29/09/2024;14:00;Everton;Manchester Utd;0;1;-1
2;29/09/2024;15:00;West Ham;Liverpool;1;1;0
2;29/09/2024;15:00;Leicester City;Arsenal;0;1;-1
2;29/09/2024;16:30;Aston Villa;Tottenham;2;2;0
3;05/10/2024;12:30;Brighton;Aston Villa;4;2;2
3;06/10/2024;13:00;Manchester City;West Ham;2;0;2
3;06/10/2024;14:00;Arsenal;Everton;0;0;0
3;06/10/2024;14:15;Tottenham;Liverpool;2;3;-1
3;06/10/2024;15:00;Leicester City;Crystal Palace;0;2;-2
4;12/10/2024;13:45;Arsenal;Chelsea;1;2;-1
4;13/10/2024;12:30;Manchester Utd;Tottenham;3;0;3
4;13/10/2024;14:00;Crystal Palace;Brighton;0;1;-1
4;13/10/2024;14:00;Aston Villa;Leicester City;0;0;0
4;13/10/2024;14:00;Everton;West Ham;1;1;0
4;13/10/2024;15:00;Liverpool;Manchester City;1;2;-1
5;19/10/2024;12:30;Brighton;Manchester Utd;1;1;0
5;20/10/2024;12:15;Manchester City;Aston Villa;2;1;1
5;20/10/2024;14:00;Liverpool;Crystal Palace;1;1;0
5;20/10/2024;15:00;West Ham;Arsenal;0;2;-2
5;20/10/2024;15:00;Leicester City;Everton;1;0;1
5;20/10/2024;18:45;Chelsea;Tottenham;5;2;3
6;03/11/2024;12:30;Manchester Utd;Arsenal;1;1;0
6;03/11/2024;14:00;Tottenham;West Ham;2;1;1
6;03/11/2024;14:00;Crystal Palace;Manchester City;0;3;-3
6;03/11/2024;14:00;Brighton;Leicester City;1;0;1
6;03/11/2024;16:30;Aston Villa;Liverpool;1;2;-1
6;03/11/2024;18:45;Everton;Chelsea;0;5;-5
7;08/11/2024;19:00;Arsenal;Brighton;5;0;5
7;08/11/2024;19:30;Manchester City;Tottenham;4;0;4
7;10/11/2024;12:30;Liverpool;Chelsea;0;3;-3
7;10/11/2024;14:00;Crystal Palace;Everton;1;1;0
7;10/11/2024;15:00;West Ham;Leicester City;1;0;1
7;10/11/2024;18:45;Manchester Utd;Aston Villa;0;0;0
8;16/11/2024;12:30;Brighton;West Ham;3;2;1
8;16/11/2024;13:45;Tottenham;Arsenal;0;3;-3
8;16/11/2024;17:30;Chelsea;Manchester City;2;0;2
8;17/11/2024;14:00;Aston Villa;Crystal Palace;3;2;1
8;17/11/2024;15:00;Leicester City;Manchester Utd;0;2;-2
8;17/11/2024;15:00;Everton;Liverpool;1;0;1
