WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;20/09/2024;21:00;Fleury;Lyon;2;6;-4
1;21/09/2024;17:00;Strasbourg;Dijon;1;1;0
1;21/09/2024;17:00;Le Havre;Nantes;0;1;-1
1;21/09/2024;17:00;Stade de Reims;Saint-Étienne;1;2;-1
1;21/09/2024;21:00;Montpellier;Paris S-G;1;3;-2
1;22/09/2024;14:30;Guingamp;Paris FC;0;6;-6
2;27/09/2024;21:00;Lyon;Strasbourg;6;0;6
2;28/09/2024;17:00;Nantes;Saint-Étienne;0;1;-1
2;28/09/2024;17:00;Dijon;Fleury;2;2;0
2;28/09/2024;21:00;Montpellier;Stade de Reims;1;0;1
2;29/09/2024;15:00;Paris FC;Le Havre;8;0;8
2;29/09/2024;15:00;Paris S-G;Guingamp;4;0;4
3;04/10/2024;21:00;Paris S-G;Le Havre;3;0;3
3;05/10/2024;14:00;Saint-Étienne;Paris FC;1;0;1
3;05/10/2024;17:00;Strasbourg;Fleury;0;2;-2
3;05/10/2024;17:00;Guingamp;Nantes;0;1;-1
3;05/10/2024;17:00;Stade de Reims;Dijon;0;2;-2
3;05/10/2024;21:00;Lyon;Montpellier;4;0;4
4;11/10/2024;21:00;Le Havre;Saint-Étienne;5;1;4
4;12/10/2024;17:00;Fleury;Guingamp;4;1;3
4;12/10/2024;17:00;Montpellier;Strasbourg;0;0;0
4;12/10/2024;17:00;Dijon;Lyon;0;3;-3
4;12/10/2024;17:00;Paris FC;Stade de Reims;3;2;1
4;12/10/2024;21:00;Nantes;Paris S-G;0;1;-1
5;18/10/2024;19:00;Le Havre;Montpellier;0;1;-1
5;18/10/2024;21:00;Paris S-G;Fleury;2;1;1
5;19/10/2024;15:30;Saint-Étienne;Dijon;0;2;-2
5;19/10/2024;17:00;Guingamp;Strasbourg;3;2;1
5;19/10/2024;21:00;Stade de Reims;Nantes;1;3;-2
5;20/10/2024;15:00;Paris FC;Lyon;0;0;0
6;02/11/2024;17:00;Dijon;Le Havre;4;2;2
6;02/11/2024;17:00;Fleury;Stade de Reims;4;1;3
6;02/11/2024;17:00;Nantes;Paris FC;0;0;0
6;02/11/2024;17:00;Montpellier;Guingamp;7;0;7
6;02/11/2024;21:00;Strasbourg;Saint-Étienne;2;0;2
6;03/11/2024;14:00;Lyon;Paris S-G;1;0;1
7;08/11/2024;19:00;Le Havre;Stade de Reims;0;3;-3
7;08/11/2024;21:00;Guingamp;Lyon;0;8;-8
7;09/11/2024;15:00;Paris S-G;Strasbourg;4;0;4
7;09/11/2024;17:00;Nantes;Dijon;0;2;-2
7;09/11/2024;17:00;Saint-Étienne;Fleury;3;2;1
7;09/11/2024;21:00;Paris FC;Montpellier;4;2;2
8;15/11/2024;19:00;Fleury;Le Havre;2;0;2
8;15/11/2024;21:00;Montpellier;Nantes;1;0;1
8;16/11/2024;17:00;Dijon;Guingamp;4;0;4
8;16/11/2024;17:00;Stade de Reims;Paris S-G;1;2;-1
8;16/11/2024;17:00;Strasbourg;Paris FC;1;4;-3
8;16/11/2024;21:00;Lyon;Saint-Étienne;11;0;11
9;23/11/2024;15:30;Saint-Étienne;Montpellier;0;2;-2
9;23/11/2024;17:00;Le Havre;Lyon;0;3;-3
9;23/11/2024;17:00;Guingamp;Stade de Reims;1;4;-3
9;23/11/2024;21:00;Paris S-G;Dijon;6;1;5
9;24/11/2024;12:30;Fleury;Paris FC;1;4;-3
10;06/12/2024;21:00;Stade de Reims;Lyon;0;3;-3
10;07/12/2024;17:00;Dijon;Montpellier;4;2;2
10;07/12/2024;17:00;Saint-Étienne;Guingamp;2;0;2
10;07/12/2024;17:00;Nantes;Fleury;0;0;0
10;07/12/2024;17:00;Le Havre;Strasbourg;1;1;0
10;07/12/2024;21:00;Paris FC;Paris S-G;1;1;0
9;11/12/2024;13:00;Strasbourg;Nantes;1;2;-1
11;13/12/2024;21:00;Saint-Étienne;Paris S-G;0;3;-3
11;14/12/2024;17:00;Guingamp;Le Havre;0;1;-1
11;14/12/2024;17:00;Paris FC;Dijon;4;0;4
11;14/12/2024;17:00;Montpellier;Fleury;0;1;-1
11;14/12/2024;17:00;Stade de Reims;Strasbourg;0;0;0
11;14/12/2024;21:00;Lyon;Nantes;5;1;4
12;07/01/2025;21:00;Fleury;Paris S-G;0;0;0
12;08/01/2025;17:00;Le Havre;Paris FC;0;2;-2
12;08/01/2025;17:00;Nantes;Guingamp;2;1;1
12;08/01/2025;17:00;Strasbourg;Montpellier;1;2;-1
12;08/01/2025;17:00;Saint-Étienne;Stade de Reims;0;3;-3
12;08/01/2025;21:00;Lyon;Dijon;2;0;2
13;17/01/2025;21:00;Fleury;Saint-Étienne;6;0;6
13;18/01/2025;17:00;Paris FC;Guingamp;6;0;6
13;18/01/2025;17:00;Montpellier;Le Havre;1;3;-2
13;18/01/2025;17:00;Dijon;Strasbourg;1;0;1
13;18/01/2025;17:00;Nantes;Stade de Reims;1;1;0
13;18/01/2025;21:00;Paris S-G;Lyon;0;2;-2
14;31/01/2025;21:00;Montpellier;Lyon;1;4;-3
14;01/02/2025;15:00;Stade de Reims;Paris FC;0;3;-3
14;01/02/2025;17:00;Saint-Étienne;Nantes;2;2;0
14;01/02/2025;17:00;Le Havre;Fleury;0;0;0
14;01/02/2025;17:00;Guingamp;Dijon;0;3;-3
14;01/02/2025;21:00;Strasbourg;Paris S-G;1;2;-1
15;14/02/2025;21:00;Paris FC;Saint-Étienne;4;0;4
15;15/02/2025;17:00;Fleury;Strasbourg;1;1;0
15;15/02/2025;17:00;Lyon;Guingamp;7;0;7
15;15/02/2025;17:00;Dijon;Stade de Reims;2;1;1
15;15/02/2025;17:00;Nantes;Le Havre;2;2;0
15;15/02/2025;21:00;Paris S-G;Montpellier;4;1;3
16;01/03/2025;13:30;Dijon;Paris S-G;0;1;-1
16;01/03/2025;14:30;Saint-Étienne;Le Havre;1;2;-1
16;01/03/2025;17:00;Paris FC;Nantes;0;0;0
16;01/03/2025;17:00;Stade de Reims;Montpellier;2;4;-2
16;01/03/2025;17:00;Guingamp;Fleury;0;6;-6
16;01/03/2025;21:00;Strasbourg;Lyon;0;4;-4
17;14/03/2025;21:00;Lyon;Stade de Reims;8;1;7
17;15/03/2025;14:00;Nantes;Strasbourg;0;0;0
17;15/03/2025;17:00;Fleury;Dijon;0;0;0
17;15/03/2025;17:00;Le Havre;Guingamp;2;1;1
17;15/03/2025;21:00;Paris S-G;Paris FC;0;0;0
17;16/03/2025;13:30;Montpellier;Saint-Étienne;1;0;1
18;21/03/2025;21:00;Guingamp;Paris S-G;2;6;-4
18;22/03/2025;17:00;Paris FC;Strasbourg;3;1;2
18;22/03/2025;17:00;Le Havre;Dijon;0;2;-2
18;22/03/2025;17:00;Stade de Reims;Fleury;0;1;-1
18;22/03/2025;17:00;Nantes;Montpellier;2;2;0
18;22/03/2025;21:00;Saint-Étienne;Lyon;0;5;-5
19;29/03/2025;15:00;Stade de Reims;Le Havre;1;1;0
19;29/03/2025;17:00;Dijon;Nantes;3;0;3
19;29/03/2025;17:00;Strasbourg;Guingamp;6;0;6
19;29/03/2025;17:00;Montpellier;Paris FC;2;0;2
19;29/03/2025;21:00;Paris S-G;Saint-Étienne;6;0;6
19;30/03/2025;17:30;Lyon;Fleury;4;0;4
20;11/04/2025;21:00;Paris S-G;Stade de Reims;6;0;6
20;12/04/2025;17:00;Guingamp;Montpellier;3;1;2
20;12/04/2025;17:00;Dijon;Saint-Étienne;1;0;1
20;12/04/2025;17:00;Fleury;Nantes;4;0;4
20;12/04/2025;21:00;Lyon;Paris FC;2;2;0
20;13/04/2025;14:30;Strasbourg;Le Havre;1;1;0
21;23/04/2025;21:00;Le Havre;Paris S-G;2;2;0
21;23/04/2025;21:00;Paris FC;Fleury;4;0;4
21;23/04/2025;21:00;Saint-Étienne;Strasbourg;1;1;0
21;23/04/2025;21:00;Stade de Reims;Guingamp;1;0;1
21;23/04/2025;21:00;Montpellier;Dijon;0;0;0
21;23/04/2025;21:00;Nantes;Lyon;0;2;-2
22;07/05/2025;17:00;Strasbourg;Stade de Reims;2;1;1
22;07/05/2025;17:00;Lyon;Le Havre;2;0;2
22;07/05/2025;17:00;Dijon;Paris FC;6;0;6
22;07/05/2025;17:00;Paris S-G;Nantes;1;0;1
22;07/05/2025;17:00;Guingamp;Saint-Étienne;3;2;1
22;07/05/2025;17:00;Fleury;Montpellier;1;2;-1
