WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;28/09/2024;14:00;PSV;Telstar 1963;4;0;4
1;28/09/2024;14:00;FC Utrecht;Excelsior;2;0;2
1;28/09/2024;16:30;Heerenveen;ADO Den Haag;1;3;-2
1;29/09/2024;12:15;Feyenoord Vrouwen;VV Alkmaar;1;1;0
1;29/09/2024;12:15;Ajax;Zwolle;5;1;4
1;29/09/2024;16:45;Fortuna Sittard;Twente;1;3;-2
2;05/10/2024;14:00;Zwolle;FC Utrecht;0;4;-4
2;05/10/2024;16:30;Telstar 1963;Fortuna Sittard;1;4;-3
2;05/10/2024;16:30;Twente;PSV;0;0;0
2;06/10/2024;12:15;VV Alkmaar;Ajax;1;2;-1
2;06/10/2024;12:15;Excelsior;Heerenveen;1;1;0
2;06/10/2024;16:45;ADO Den Haag;Feyenoord Vrouwen;1;3;-2
3;12/10/2024;14:00;Twente;Excelsior;1;1;0
3;12/10/2024;16:30;Ajax;Fortuna Sittard;5;1;4
3;12/10/2024;16:30;ADO Den Haag;VV Alkmaar;1;4;-3
3;13/10/2024;12:15;Heerenveen;PSV;0;1;-1
3;13/10/2024;12:15;Feyenoord Vrouwen;FC Utrecht;0;3;-3
3;13/10/2024;16:45;Zwolle;Telstar 1963;0;0;0
4;19/10/2024;14:00;PSV;Zwolle;4;0;4
4;19/10/2024;16:30;Fortuna Sittard;Heerenveen;1;1;0
4;19/10/2024;16:30;VV Alkmaar;Excelsior;4;0;4
4;20/10/2024;12:15;FC Utrecht;ADO Den Haag;4;3;1
4;20/10/2024;12:15;Feyenoord Vrouwen;Ajax;0;0;0
4;20/10/2024;16:45;Telstar 1963;Twente;1;2;-1
5;02/11/2024;14:00;Excelsior;PSV;0;4;-4
5;02/11/2024;16:30;Heerenveen;Feyenoord Vrouwen;0;3;-3
5;02/11/2024;16:30;Zwolle;Fortuna Sittard;0;1;-1
5;03/11/2024;12:15;ADO Den Haag;Ajax;0;2;-2
5;03/11/2024;16:45;Twente;FC Utrecht;3;1;2
