WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;01/11/2024;19:00;Western United;Wellington Phoenix;4;2;2
1;02/11/2024;14:15;Central Coast Mariners;Sydney FC;3;1;2
1;02/11/2024;15:00;Canberra Utd;Brisbane Roar;3;2;1
1;02/11/2024;16:30;Adelaide Utd;Melb Victory;2;3;-1
1;03/11/2024;15:00;Melb City;Perth Glory;5;2;3
1;03/11/2024;16:00;Newcastle Jets;W Sydney;2;2;0
2;08/11/2024;19:00;Western United;Central Coast Mariners;0;0;0
2;09/11/2024;14:15;Melb Victory;Melb City;2;3;-1
2;09/11/2024;15:00;Brisbane Roar;Sydney FC;1;0;1
2;10/11/2024;15:00;W Sydney;Adelaide Utd;0;2;-2
2;10/11/2024;16:00;Wellington Phoenix;Canberra Utd;0;1;-1
2;10/11/2024;18:00;Perth Glory;Newcastle Jets;3;2;1
3;15/11/2024;18:00;Brisbane Roar;Perth Glory;3;0;3
3;16/11/2024;14:15;Sydney FC;W Sydney;1;0;1
3;16/11/2024;15:00;Canberra Utd;Adelaide Utd;0;2;-2
3;16/11/2024;16:00;Melb City;Central Coast Mariners;2;2;0
3;17/11/2024;15:00;Newcastle Jets;Wellington Phoenix;1;0;1
3;17/11/2024;16:00;Melb Victory;Western United;4;1;3
4;22/11/2024;17:00;Adelaide Utd;Wellington Phoenix;0;1;-1
4;22/11/2024;20:15;W Sydney;Brisbane Roar;0;4;-4
4;23/11/2024;14:15;Central Coast Mariners;Melb Victory;1;1;0
4;23/11/2024;17:00;Newcastle Jets;Western United;1;1;0
4;24/11/2024;12:30;Canberra Utd;Perth Glory;1;1;0
4;24/11/2024;16:15;Sydney FC;Melb City;1;1;0
5;30/11/2024;14:15;Melb City;W Sydney;2;0;2
5;30/11/2024;16:00;Central Coast Mariners;Canberra Utd;2;1;1
5;08/12/2024;16:00;Wellington Phoenix;Brisbane Roar;2;1;1
5;08/12/2024;17:00;Adelaide Utd;Newcastle Jets;2;0;2
5;08/12/2024;17:00;Western United;Sydney FC;2;1;1
5;08/12/2024;20:00;Perth Glory;Melb Victory;0;1;-1
6;13/12/2024;19:00;Melb Victory;Wellington Phoenix;1;1;0
6;14/12/2024;16:50;W Sydney;Western United;5;1;4
6;14/12/2024;19:45;Sydney FC;Newcastle Jets;1;2;-1
6;15/12/2024;17:00;Brisbane Roar;Central Coast Mariners;2;1;1
6;15/12/2024;19:45;Melb City;Canberra Utd;4;2;2
6;15/12/2024;20:00;Perth Glory;Adelaide Utd;3;1;2
7;20/12/2024;16:20;Adelaide Utd;Melb City;1;3;-2
7;20/12/2024;19:00;W Sydney;Perth Glory;1;1;0
7;21/12/2024;16:00;Canberra Utd;Melb Victory;0;2;-2
7;21/12/2024;16:00;Wellington Phoenix;Sydney FC;2;0;2
7;21/12/2024;17:00;Newcastle Jets;Brisbane Roar;1;6;-5
7;22/12/2024;17:00;Central Coast Mariners;Western United;1;3;-2
8;27/12/2024;16:20;Adelaide Utd;W Sydney;1;0;1
8;27/12/2024;17:00;Perth Glory;Central Coast Mariners;0;1;-1
8;28/12/2024;16:50;Sydney FC;Melb Victory;0;1;-1
8;28/12/2024;17:00;Melb City;Wellington Phoenix;2;1;1
8;29/12/2024;16:00;Canberra Utd;Newcastle Jets;0;0;0
8;29/12/2024;19:45;Western United;Brisbane Roar;2;8;-6
9;31/12/2024;16:15;Central Coast Mariners;Melb City;0;0;0
10;03/01/2025;19:00;Western United;Newcastle Jets;2;0;2
10;04/01/2025;16:00;Wellington Phoenix;Perth Glory;2;0;2
10;04/01/2025;17:00;Central Coast Mariners;Adelaide Utd;0;1;-1
10;04/01/2025;17:00;Brisbane Roar;Canberra Utd;1;2;-1
10;05/01/2025;17:00;Sydney FC;Melb City;1;1;0
10;05/01/2025;20:00;Melb Victory;W Sydney;4;4;0
9;08/01/2025;17:00;Newcastle Jets;Adelaide Utd;3;3;0
9;08/01/2025;18:00;Brisbane Roar;Melb Victory;2;0;2
9;09/01/2025;19:00;W Sydney;Wellington Phoenix;0;3;-3
11;10/01/2025;22:00;Perth Glory;Sydney FC;1;1;0
11;11/01/2025;16:00;Canberra Utd;Western United;2;1;1
11;11/01/2025;17:00;Newcastle Jets;Melb Victory;0;2;-2
11;11/01/2025;19:45;Melb City;Brisbane Roar;2;0;2
11;12/01/2025;17:00;Adelaide Utd;Wellington Phoenix;2;1;1
11;12/01/2025;17:45;W Sydney;Central Coast Mariners;1;3;-2
9;15/01/2025;19:00;Sydney FC;Canberra Utd;2;0;2
12;17/01/2025;19:35;Western United;Melb City;1;1;0
12;18/01/2025;16:00;Canberra Utd;W Sydney;1;0;1
12;18/01/2025;18:00;Melb Victory;Perth Glory;1;0;1
12;19/01/2025;16:00;Wellington Phoenix;Newcastle Jets;3;2;1
12;19/01/2025;17:00;Brisbane Roar;Adelaide Utd;2;3;-1
12;19/01/2025;17:00;Sydney FC;Central Coast Mariners;0;0;0
9;21/01/2025;19:00;Western United;Perth Glory;4;1;3
13;24/01/2025;16:50;Melb Victory;Sydney FC;2;0;2
13;25/01/2025;17:00;Adelaide Utd;Western United;1;1;0
13;25/01/2025;17:00;W Sydney;Melb City;0;1;-1
13;25/01/2025;19:45;Newcastle Jets;Canberra Utd;2;2;0
13;26/01/2025;17:00;Central Coast Mariners;Wellington Phoenix;1;0;1
13;26/01/2025;20:00;Perth Glory;Brisbane Roar;3;2;1
14;31/01/2025;19:00;Sydney FC;Adelaide Utd;2;3;-1
14;31/01/2025;19:00;Western United;W Sydney;4;1;3
14;01/02/2025;16:00;Canberra Utd;Perth Glory;1;0;1
14;01/02/2025;16:50;Central Coast Mariners;Newcastle Jets;5;1;4
14;01/02/2025;18:00;Melb City;Melb Victory;1;1;0
14;02/02/2025;17:00;Brisbane Roar;Wellington Phoenix;1;0;1
20;05/02/2025;17:00;Melb City;Western United;5;1;4
15;07/02/2025;16:20;Adelaide Utd;Perth Glory;3;0;3
15;08/02/2025;16:00;Canberra Utd;Central Coast Mariners;1;1;0
15;08/02/2025;16:00;Wellington Phoenix;Melb Victory;1;1;0
15;08/02/2025;19:45;Newcastle Jets;Melb City;0;2;-2
15;09/02/2025;17:00;W Sydney;Brisbane Roar;2;1;1
15;09/02/2025;17:00;Sydney FC;Western United;1;2;-1
16;14/02/2025;19:00;W Sydney;Newcastle Jets;4;1;3
16;15/02/2025;16:20;Adelaide Utd;Canberra Utd;1;1;0
16;15/02/2025;19:45;Melb City;Sydney FC;2;1;1
16;16/02/2025;17:00;Melb Victory;Central Coast Mariners;2;0;2
16;16/02/2025;17:00;Brisbane Roar;Western United;0;0;0
16;16/02/2025;20:00;Perth Glory;Wellington Phoenix;2;1;1
17;28/02/2025;16:50;Central Coast Mariners;W Sydney;1;2;-1
17;01/03/2025;15:00;Canberra Utd;Melb City;1;1;0
17;01/03/2025;16:30;Newcastle Jets;Perth Glory;2;1;1
17;01/03/2025;18:00;Western United;Melb Victory;1;2;-1
17;02/03/2025;16:00;Wellington Phoenix;Adelaide Utd;1;3;-2
17;02/03/2025;17:00;Sydney FC;Brisbane Roar;3;2;1
18;07/03/2025;22:00;Perth Glory;Western United;3;0;3
18;08/03/2025;16:30;Newcastle Jets;Sydney FC;1;0;1
18;08/03/2025;19:15;Adelaide Utd;Central Coast Mariners;1;0;1
18;09/03/2025;16:00;Wellington Phoenix;W Sydney;2;1;1
18;09/03/2025;17:00;Melb Victory;Canberra Utd;2;0;2
19;14/03/2025;19:00;Western United;Canberra Utd;4;3;1
19;14/03/2025;19:00;Central Coast Mariners;Perth Glory;3;3;0
19;15/03/2025;17:00;Sydney FC;Wellington Phoenix;2;1;1
19;16/03/2025;16:00;Melb City;Adelaide Utd;4;3;1
19;16/03/2025;17:30;Brisbane Roar;Newcastle Jets;2;3;-1
20;21/03/2025;19:00;Melb Victory;Newcastle Jets;4;3;1
20;22/03/2025;15:00;Canberra Utd;Sydney FC;0;1;-1
20;22/03/2025;16:00;Wellington Phoenix;Central Coast Mariners;0;2;-2
20;22/03/2025;20:00;Perth Glory;W Sydney;1;0;1
20;23/03/2025;16:00;Adelaide Utd;Brisbane Roar;3;1;2
18;26/03/2025;18:00;Brisbane Roar;Melb City;0;4;-4
21;28/03/2025;19:00;W Sydney;Sydney FC;0;2;-2
21;29/03/2025;16:50;Melb Victory;Adelaide Utd;2;1;1
21;29/03/2025;20:00;Perth Glory;Canberra Utd;1;2;-1
21;30/03/2025;16:00;Wellington Phoenix;Melb City;0;1;-1
21;30/03/2025;17:00;Newcastle Jets;Western United;0;2;-2
21;30/03/2025;17:45;Central Coast Mariners;Brisbane Roar;2;1;1
19;06/04/2025;17:00;W Sydney;Melb Victory;0;1;-1
22;11/04/2025;16:50;Melb City;Newcastle Jets;4;1;3
22;11/04/2025;19:00;Central Coast Mariners;Melb Victory;0;1;-1
22;12/04/2025;14:15;Sydney FC;Perth Glory;1;0;1
22;12/04/2025;16:00;Western United;Adelaide Utd;1;3;-2
22;13/04/2025;15:00;Canberra Utd;Wellington Phoenix;1;0;1
22;13/04/2025;15:00;Brisbane Roar;W Sydney;4;4;0
23;18/04/2025;16:20;Adelaide Utd;Sydney FC;2;1;1
23;18/04/2025;21:00;Perth Glory;Melb City;1;5;-4
23;19/04/2025;14:15;Melb Victory;Brisbane Roar;2;0;2
23;19/04/2025;16:00;Newcastle Jets;Central Coast Mariners;1;2;-1
23;19/04/2025;16:50;W Sydney;Canberra Utd;1;3;-2
23;20/04/2025;16:00;Wellington Phoenix;Western United;1;1;0
