WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;22/03/2025;16:00;Juventude;América (MG);1;1;0
1;22/03/2025;16:00;Internacional;EC Bahia;2;3;-1
1;23/03/2025;16:00;Ferroviária;Sport Recife;7;0;7
1;23/03/2025;17:00;AE 3B da Amazônia;Fluminense FC;0;1;-1
1;23/03/2025;18:30;Cruzeiro EC;Grêmio FBPA;4;3;1
1;22/03/2025;21:00;Palmeiras;Red Bull Bragantino;0;0;0
1;24/03/2025;19:00;Real Brasília FC;Corinthians;2;8;-6
1;24/03/2025;21:30;Flamengo;São Paulo;0;1;-1
2;26/03/2025;16:00;América (MG);Palmeiras;1;2;-1
2;26/03/2025;17:00;Red Bull Bragantino;Internacional;3;0;3
2;26/03/2025;19:00;Grêmio FBPA;Ferroviária;1;1;0
2;27/03/2025;15:00;EC Bahia;Flamengo;3;3;0
2;27/03/2025;15:00;Sport Recife;Real Brasília FC;0;2;-2
2;27/03/2025;15:00;São Paulo;AE 3B da Amazônia;8;0;8
2;27/03/2025;16:00;Corinthians;Juventude;2;0;2
2;26/03/2025;21:30;Fluminense FC;Cruzeiro EC;1;2;-1
3;29/03/2025;15:00;Palmeiras;Grêmio FBPA;3;3;0
3;30/03/2025;15:00;Ferroviária;Real Brasília FC;3;2;1
3;30/03/2025;15:00;São Paulo;Cruzeiro EC;1;1;0
3;30/03/2025;16:00;Juventude;Fluminense FC;1;2;-1
3;30/03/2025;17:00;Red Bull Bragantino;Corinthians;2;2;0
3;30/03/2025;18:00;Flamengo;AE 3B da Amazônia;5;1;4
3;31/03/2025;16:00;Internacional;Sport Recife;2;2;0
3;31/03/2025;20:00;América (MG);EC Bahia;1;1;0
4;11/04/2025;18:30;Sport Recife;Flamengo;1;2;-1
4;12/04/2025;11:00;Corinthians;Palmeiras;1;2;-1
4;12/04/2025;15:00;Cruzeiro EC;Juventude;4;0;4
4;12/04/2025;16:00;Grêmio FBPA;EC Bahia;1;0;1
4;12/04/2025;17:00;Fluminense FC;Internacional;0;0;0
4;13/04/2025;15:00;Real Brasília FC;Red Bull Bragantino;2;1;1
