WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;05/04/2025;14:00;Atlético Ottawa;HFX Wanderers;2;2;0
1;05/04/2025;17:30;Forge FC;Cavalry FC;1;0;1
1;06/04/2025;16:00;Vancouver FC;York United;0;2;-2
1;05/04/2025;19:00;Pacific FC;Valour FC;2;0;2
2;12/04/2025;16:00;Pacific FC;Forge FC;0;2;-2
2;13/04/2025;15:00;York United;HFX Wanderers;1;2;-1
2;13/04/2025;15:00;Vancouver FC;Atlético Ottawa;1;4;-3
2;18/04/2025;17:00;Cavalry FC;Vancouver FC;1;1;0
3;19/04/2025;13:00;Atlético Ottawa;York United;3;2;1
3;19/04/2025;16:30;HFX Wanderers;Pacific FC;3;1;2
3;19/04/2025;18:00;Forge FC;Valour FC;1;1;0
4;26/04/2025;15:00;Cavalry FC;Atlético Ottawa;1;3;-2
3;25/04/2025;19:00;Valour FC;HFX Wanderers;0;1;-1
4;27/04/2025;14:00;York United;Forge FC;2;2;0
4;26/04/2025;17:00;Vancouver FC;Pacific FC;1;1;0
5;03/05/2025;13:00;Atlético Ottawa;Pacific FC;3;1;2
5;03/05/2025;17:00;HFX Wanderers;Forge FC;0;0;0
5;03/05/2025;18:00;Valour FC;Vancouver FC;1;3;-2
4;02/05/2025;20:00;York United;Cavalry FC;1;2;-1
5;10/05/2025;14:00;Atlético Ottawa;Valour FC;5;2;3
6;10/05/2025;18:30;HFX Wanderers;Cavalry FC;0;3;-3
6;10/05/2025;19:00;Pacific FC;York United;2;1;1
6;13/05/2025;11:00;Forge FC;Atlético Ottawa;2;2;0
7;17/05/2025;15:30;Cavalry FC;Pacific FC;4;0;4
6;16/05/2025;19:00;Valour FC;York United;2;1;1
7;17/05/2025;17:00;Vancouver FC;HFX Wanderers;0;2;-2
7;24/05/2025;16:00;HFX Wanderers;Atlético Ottawa;2;0;2
7;24/05/2025;17:00;Pacific FC;Forge FC;0;1;-1
8;25/05/2025;14:00;York United;Vancouver FC;1;0;1
8;25/05/2025;15:00;Cavalry FC;Valour FC;4;0;4
8;31/05/2025;16:00;Forge FC;Cavalry FC;1;1;0
8;30/05/2025;19:00;Vancouver FC;Atlético Ottawa;2;2;0
9;;;York United;HFX Wanderers;2;0;2
9;01/06/2025;15:00;Valour FC;Pacific FC;0;0;0
9;04/06/2025;11:00;Valour FC;Vancouver FC;3;1;2
