WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;30/08/2024;20:30;KAA La Gantoise;DVL Zonhoven;2;1;1
1;31/08/2024;13:30;Club Brugge;OH Leuven;0;1;-1
1;31/08/2024;15:30;KVC Westerlo;Anderlecht;0;5;-5
1;31/08/2024;19:00;Standard Liège;Zulte Waregem;2;1;1
2;06/09/2024;20:30;DVL Zonhoven;KVC Westerlo;1;2;-1
2;07/09/2024;13:30;OH Leuven;Standard Liège;2;1;1
2;07/09/2024;16:00;Zulte Waregem;KAA La Gantoise;1;3;-2
3;14/09/2024;16:00;Zulte Waregem;Club Brugge;0;4;-4
3;14/09/2024;17:00;KVC Westerlo;KAA La Gantoise;2;0;2
3;14/09/2024;20:00;OH Leuven;DVL Zonhoven;3;0;3
4;20/09/2024;20:30;DVL Zonhoven;Standard Liège;2;2;0
4;21/09/2024;13:30;KAA La Gantoise;OH Leuven;0;0;0
4;21/09/2024;16:15;Club Brugge;KVC Westerlo;1;3;-2
5;28/09/2024;13:30;KVC Westerlo;Standard Liège;1;0;1
5;28/09/2024;16:00;Zulte Waregem;OH Leuven;0;4;-4
5;28/09/2024;18:30;Anderlecht;DVL Zonhoven;5;1;4
5;29/09/2024;14:30;Club Brugge;KAA La Gantoise;1;0;1
6;04/10/2024;20:30;KAA La Gantoise;Anderlecht;0;3;-3
6;05/10/2024;13:30;DVL Zonhoven;Zulte Waregem;1;0;1
6;05/10/2024;19:00;Standard Liège;Club Brugge;3;1;2
6;05/10/2024;20:00;OH Leuven;KVC Westerlo;1;0;1
2;08/10/2024;20:00;Anderlecht;Club Brugge;2;0;2
7;11/10/2024;20:30;DVL Zonhoven;Club Brugge;2;1;1
7;12/10/2024;13:30;Anderlecht;OH Leuven;4;0;4
7;12/10/2024;16:00;Zulte Waregem;KVC Westerlo;0;2;-2
7;12/10/2024;19:00;Standard Liège;KAA La Gantoise;4;0;4
3;16/10/2024;20:30;Standard Liège;Anderlecht;2;2;0
8;19/10/2024;13:30;Zulte Waregem;Standard Liège;0;1;-1
8;19/10/2024;16:00;KVC Westerlo;DVL Zonhoven;1;3;-2
8;19/10/2024;16:15;Club Brugge;Anderlecht;2;1;1
8;19/10/2024;20:00;OH Leuven;KAA La Gantoise;5;0;5
9;08/11/2024;20:30;KAA La Gantoise;Zulte Waregem;0;3;-3
9;09/11/2024;13:30;DVL Zonhoven;Anderlecht;1;1;0
9;09/11/2024;15:30;OH Leuven;Club Brugge;2;0;2
9;09/11/2024;19:00;Standard Liège;KVC Westerlo;1;0;1
4;13/11/2024;20:00;Anderlecht;Zulte Waregem;7;0;7
10;16/11/2024;13:30;KVC Westerlo;OH Leuven;0;2;-2
10;16/11/2024;16:00;Zulte Waregem;DVL Zonhoven;1;2;-1
10;16/11/2024;16:15;Club Brugge;Standard Liège;4;3;1
10;16/11/2024;18:30;Anderlecht;KAA La Gantoise;2;1;1
11;23/11/2024;13:30;KAA La Gantoise;Standard Liège;0;1;-1
11;23/11/2024;16:15;Club Brugge;DVL Zonhoven;2;2;0
11;23/11/2024;18:30;Anderlecht;KVC Westerlo;4;0;4
11;23/11/2024;20:00;OH Leuven;Zulte Waregem;2;1;1
12;13/12/2024;20:30;DVL Zonhoven;KAA La Gantoise;3;1;2
12;14/12/2024;13:30;Zulte Waregem;Anderlecht;0;5;-5
12;14/12/2024;16:00;KVC Westerlo;Club Brugge;0;7;-7
12;14/12/2024;19:00;Standard Liège;OH Leuven;1;2;-1
13;17/01/2025;20:30;KAA La Gantoise;KVC Westerlo;0;4;-4
13;18/01/2025;13:30;OH Leuven;Anderlecht;3;4;-1
13;18/01/2025;16:15;Club Brugge;Zulte Waregem;4;0;4
13;18/01/2025;19:00;Standard Liège;DVL Zonhoven;2;0;2
14;24/01/2025;20:30;KAA La Gantoise;Club Brugge;0;4;-4
