WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;09/08/2024;19:00;B93 København;HB Køge;0;3;-3
1;10/08/2024;13:00;Aarhus GF;Odense Q;0;2;-2
1;10/08/2024;15:00;Nordsjælland;KoldingQ;4;0;4
1;11/08/2024;12:30;Brøndby;Hjørring;0;3;-3
2;16/08/2024;19:00;KoldingQ;Aarhus GF;2;1;1
2;17/08/2024;15:00;Odense Q;Brøndby;0;0;0
2;18/08/2024;13:00;HB Køge;Nordsjælland;1;2;-1
2;18/08/2024;15:00;Hjørring;B93 København;2;0;2
3;24/08/2024;13:00;Aarhus GF;Hjørring;0;3;-3
3;24/08/2024;15:00;Nordsjælland;Odense Q;2;0;2
3;25/08/2024;13:00;KoldingQ;B93 København;2;2;0
3;25/08/2024;14:30;Brøndby;HB Køge;1;0;1
4;29/08/2024;18:30;Nordsjælland;Brøndby;3;2;1
4;30/08/2024;19:00;B93 København;Aarhus GF;0;1;-1
4;31/08/2024;15:00;HB Køge;Odense Q;0;1;-1
4;01/09/2024;13:00;Hjørring;KoldingQ;4;1;3
5;13/09/2024;19:00;B93 København;Nordsjælland;1;4;-3
5;14/09/2024;13:00;Brøndby;KoldingQ;0;0;0
5;14/09/2024;15:00;HB Køge;Aarhus GF;4;1;3
5;15/09/2024;15:00;Hjørring;Odense Q;2;2;0
6;20/09/2024;19:00;KoldingQ;HB Køge;1;2;-1
6;21/09/2024;13:00;Aarhus GF;Brøndby;2;3;-1
6;21/09/2024;15:00;Odense Q;B93 København;2;2;0
6;22/09/2024;15:00;Nordsjælland;Hjørring;0;2;-2
7;27/09/2024;19:00;Brøndby;B93 København;4;0;4
7;28/09/2024;13:00;HB Køge;Hjørring;0;0;0
7;28/09/2024;15:00;Odense Q;KoldingQ;4;0;4
7;29/09/2024;13:00;Aarhus GF;Nordsjælland;0;2;-2
8;05/10/2024;13:00;Hjørring;Aarhus GF;3;0;3
8;05/10/2024;15:00;Nordsjælland;HB Køge;2;0;2
8;06/10/2024;13:00;B93 København;KoldingQ;3;0;3
8;06/10/2024;14:30;Brøndby;Odense Q;3;0;3
9;11/10/2024;19:00;KoldingQ;Nordsjælland;0;1;-1
9;12/10/2024;13:00;Odense Q;HB Køge;1;1;0
9;12/10/2024;15:00;Aarhus GF;B93 København;0;1;-1
9;13/10/2024;13:00;Hjørring;Brøndby;2;2;0
10;19/10/2024;13:00;Brøndby;Aarhus GF;0;1;-1
10;19/10/2024;15:00;Odense Q;Nordsjælland;0;2;-2
10;20/10/2024;13:00;B93 København;Hjørring;0;4;-4
10;20/10/2024;15:00;HB Køge;KoldingQ;5;0;5
11;01/11/2024;19:00;KoldingQ;Odense Q;2;2;0
11;01/11/2024;19:00;B93 København;Brøndby;0;3;-3
11;02/11/2024;13:00;Aarhus GF;HB Køge;1;0;1
11;03/11/2024;13:00;Hjørring;Nordsjælland;2;1;1
12;09/11/2024;15:00;Nordsjælland;B93 København;2;0;2
12;10/11/2024;13:00;KoldingQ;Hjørring;2;5;-3
12;10/11/2024;15:00;Odense Q;Aarhus GF;0;0;0
12;10/11/2024;16:00;HB Køge;Brøndby;0;1;-1
13;16/11/2024;13:00;Brøndby;Nordsjælland;3;0;3
13;16/11/2024;15:00;Aarhus GF;KoldingQ;2;1;1
13;17/11/2024;13:00;B93 København;Odense Q;1;4;-3
13;17/11/2024;15:00;Hjørring;HB Køge;2;1;1
14;23/11/2024;14:00;Nordsjælland;Aarhus GF;1;2;-1
14;23/11/2024;14:00;KoldingQ;Brøndby;0;2;-2
14;23/11/2024;14:00;Odense Q;Hjørring;1;2;-1
14;23/11/2024;14:00;HB Køge;B93 København;5;0;5
1;22/03/2025;13:00;Midtjylland;Thy-ThistedQ;2;0;2
1;22/03/2025;14:00;Østerbro IF;KoldingQ;2;5;-3
1;23/03/2025;13:00;B93 København;ASA Aarhus;1;1;0
2;29/03/2025;13:00;ASA Aarhus;Midtjylland;1;1;0
2;29/03/2025;14:00;Thy-ThistedQ;Østerbro IF;1;1;0
2;29/03/2025;16:00;KoldingQ;B93 København;3;1;2
3;11/04/2025;19:00;B93 København;Østerbro IF;4;1;3
3;12/04/2025;13:00;ASA Aarhus;Thy-ThistedQ;3;1;2
3;12/04/2025;14:00;Midtjylland;KoldingQ;2;1;1
4;17/04/2025;13:00;Østerbro IF;Midtjylland;0;2;-2
4;19/04/2025;14:00;KoldingQ;ASA Aarhus;4;2;2
4;19/04/2025;15:00;B93 København;Thy-ThistedQ;0;0;0
5;26/04/2025;14:00;ASA Aarhus;Østerbro IF;4;1;3
5;26/04/2025;14:00;Midtjylland;B93 København;4;1;3
5;26/04/2025;17:00;Thy-ThistedQ;KoldingQ;0;5;-5
6;03/05/2025;13:00;ASA Aarhus;B93 København;1;0;1
6;03/05/2025;14:00;KoldingQ;Østerbro IF;2;0;2
6;04/05/2025;14:00;Thy-ThistedQ;Midtjylland;1;3;-2
7;09/05/2025;19:00;B93 København;KoldingQ;1;5;-4
7;09/05/2025;19:00;Midtjylland;ASA Aarhus;1;1;0
7;10/05/2025;15:00;Østerbro IF;Thy-ThistedQ;1;0;1
8;24/05/2025;12:00;Thy-ThistedQ;ASA Aarhus;1;2;-1
8;24/05/2025;13:00;Østerbro IF;B93 København;1;1;0
8;24/05/2025;18:00;KoldingQ;Midtjylland;0;1;-1
