WEEK;DATE;TIME;HOME;AWAY;FTHG;FTAG;DIFF
1;09/08/2024;19:00;Basel;Young Boys;2;1;1
1;10/08/2024;16:00;FC Zürich;Thun Berner-Oberland;5;1;4
1;10/08/2024;16:00;St. Gallen-Staad;Servette;1;0;1
1;10/08/2024;18:00;Grasshopper;FC Aarau;1;1;0
1;11/08/2024;14:00;FC Luzern;FC Rapperswil-Jona;0;1;-1
2;17/08/2024;16:00;Young Boys;St. Gallen-Staad;0;0;0
2;17/08/2024;16:30;FC Aarau;Basel;2;1;1
2;17/08/2024;18:00;FC Rapperswil-Jona;Servette;0;2;-2
2;17/08/2024;18:00;Thun Berner-Oberland;Grasshopper;1;8;-7
2;17/08/2024;19:00;FC Luzern;FC Zürich;1;2;-1
3;24/08/2024;16:00;FC Zürich;FC Rapperswil-Jona;3;0;3
3;24/08/2024;17:30;St. Gallen-Staad;FC Aarau;5;0;5
3;24/08/2024;18:00;Servette;Young Boys;3;0;3
3;24/08/2024;19:00;Grasshopper;FC Luzern;4;3;1
3;24/08/2024;19:30;Thun Berner-Oberland;Basel;0;3;-3
4;31/08/2024;15:00;Servette;FC Aarau;2;0;2
4;31/08/2024;16:00;FC Zürich;Grasshopper;0;0;0
4;31/08/2024;17:00;Thun Berner-Oberland;St. Gallen-Staad;0;3;-3
4;31/08/2024;19:00;FC Rapperswil-Jona;Young Boys;0;4;-4
4;31/08/2024;19:00;FC Luzern;Basel;1;6;-5
5;13/09/2024;19:00;Basel;FC Zürich;1;2;-1
5;14/09/2024;15:00;Servette;Thun Berner-Oberland;2;0;2
5;14/09/2024;16:00;Young Boys;FC Aarau;2;0;2
5;14/09/2024;17:00;St. Gallen-Staad;FC Luzern;0;1;-1
5;14/09/2024;18:00;Grasshopper;FC Rapperswil-Jona;3;0;3
6;21/09/2024;16:00;FC Zürich;St. Gallen-Staad;0;2;-2
6;21/09/2024;17:00;Thun Berner-Oberland;Young Boys;1;7;-6
6;21/09/2024;18:00;FC Rapperswil-Jona;FC Aarau;0;1;-1
6;21/09/2024;20:00;FC Luzern;Servette;0;2;-2
6;22/09/2024;16:00;Grasshopper;Basel;2;6;-4
7;28/09/2024;16:30;FC Aarau;Thun Berner-Oberland;3;1;2
7;29/09/2024;13:30;Servette;FC Zürich;1;2;-1
7;29/09/2024;14:00;Young Boys;FC Luzern;5;1;4
7;29/09/2024;14:00;St. Gallen-Staad;Grasshopper;1;0;1
8;12/10/2024;16:00;FC Zürich;Young Boys;1;4;-3
8;12/10/2024;18:00;Basel;St. Gallen-Staad;2;1;1
8;12/10/2024;18:00;Grasshopper;Servette;0;1;-1
8;12/10/2024;19:00;FC Luzern;FC Aarau;1;1;0
8;12/10/2024;19:00;FC Rapperswil-Jona;Thun Berner-Oberland;2;2;0
9;19/10/2024;14:30;St. Gallen-Staad;FC Rapperswil-Jona;4;0;4
9;19/10/2024;15:00;Servette;Basel;1;2;-1
9;19/10/2024;16:30;FC Aarau;FC Zürich;2;1;1
9;19/10/2024;18:00;Thun Berner-Oberland;FC Luzern;1;1;0
9;19/10/2024;20:00;Grasshopper;Young Boys;0;3;-3
10;02/11/2024;16:00;Servette;St. Gallen-Staad;2;0;2
10;02/11/2024;16:30;Young Boys;Basel;1;1;0
10;02/11/2024;16:30;FC Aarau;Grasshopper;1;3;-2
10;02/11/2024;18:00;FC Rapperswil-Jona;FC Luzern;0;3;-3
10;02/11/2024;18:00;Thun Berner-Oberland;FC Zürich;0;3;-3
7;13/11/2024;20:00;FC Rapperswil-Jona;Basel;0;3;-3
11;16/11/2024;16:00;FC Zürich;FC Luzern;3;2;1
11;16/11/2024;16:00;Servette;FC Rapperswil-Jona;5;0;5
11;16/11/2024;18:00;Grasshopper;Thun Berner-Oberland;2;1;1
11;17/11/2024;13:00;St. Gallen-Staad;Young Boys;2;2;0
11;17/11/2024;16:00;Basel;FC Aarau;2;0;2
12;23/11/2024;18:00;Young Boys;Servette;0;4;-4
12;03/12/2024;20:00;FC Rapperswil-Jona;FC Zürich;1;3;-2
13;07/12/2024;16:00;St. Gallen-Staad;Thun Berner-Oberland;4;0;4
